ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
54434,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
54439,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54444,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
54449,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54454,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
54459,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54464,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
54469,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54474,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
54479,0.000000,-1.000000,1.570000,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54482,,,,,,,,,-0.000000,0.000000,21.757206,29.710180,,,,,0.028325,0.001859,0.112211,,,,,,,,,
54489,,,,,,,,,,,,,0.000000,0.000000,0.221923,0.303044,,,,,,,,,,,,
54494,,,,,,,,,0.054990,0.000000,,,,,,,,,,,,,,,,,,
54499,,,,,,,,,,,,,0.543456,1.086913,0.220732,0.297899,,,,,,,,,,,,
54505,,,,,,,,,0.082419,0.652565,,,,,,,,,,,,,,,,,,
54509,,,,,,,,,,,,,1.546786,2.548812,0.214740,0.288713,,,,,,,,,,,,
54515,,,,,,,,,0.137461,1.959066,,,,,,,,,,,,,,,,,,
54519,,,,,,,,,,,,,1.846773,4.325796,0.215723,0.276020,,,,,,,,,,,,
54525,,,,,,,,,0.191602,1.950476,,,,,,,,,,,,,,,,,,
54529,-0.000459,-0.990431,1.667524,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,3.182618,5.811382,0.206079,0.265944,,,,,,,,,,,,
54532,,,,,,,,,,,31.861032,38.276585,,,,,0.040039,0.000361,0.057717,,,,,,,,,
54537,,,,,,,,,0.088548,0.000000,,,,,,,,,,,,,,,,,,
54540,,,,,,,,,,,,,3.767158,7.068305,0.306891,0.345280,,,,,,,,,,,,
54545,,,,,,,,,0.325487,0.859031,,,,,,,,,,,,,,,,,,
54549,,,,,,,,,,,,,5.900595,8.678180,0.290749,0.335101,,,,,,,,,,,,
54555,,,,,,,,,0.302203,0.652565,,,,,,,,,,,,,,,,,,
54559,,,,,,,,,,,,,7.683670,10.564510,0.277753,0.321780,,,,,,,,,,,,
54565,,,,,,,,,0.329610,0.000000,,,,,,,,,,,,,,,,,,
54569,,,,,,,,,,,,,9.735568,12.704596,0.261659,0.305494,,,,,,,,,,,,
54575,,,,,,,,,0.412095,1.957694,,,,,,,,,,,,,,,,,,
54579,-0.003450,-0.970044,1.765409,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,12.003308,15.590534,0.242953,0.281171,,,,,,,,,,,,
54582,,,,,,,,,,,39.879997,43.632805,,,,,0.044648,-0.003114,-0.007323,,,,,,,,,
54585,,,,,,,,,0.439832,1.305913,,,,,,,,,,,,,,,,,,
54589,,,,,,,,,,,,,13.904535,18.009956,0.309326,0.315664,,,,,,,,,,,,
54597,,,,,,,,,0.223277,0.000000,,,,,,,,,,,,,,,,,,
54600,,,,,,,,,,,,,16.062601,19.516903,0.292509,0.305418,,,,,,,,,,,,
54605,,,,,,,,,0.820031,-0.846877,,,,,,,,,,,,,,,,,,
54609,,,,,,,,,,,,,18.405689,20.768736,0.273373,0.297472,,,,,,,,,,,,
54615,,,,,,,,,0.521830,-0.652369,,,,,,,,,,,,,,,,,,
54619,,,,,,,,,,,,,21.485518,22.383062,0.246253,0.285579,,,,,,,,,,,,
54625,,,,,,,,,0.521986,-0.652564,,,,,,,,,,,,,,,,,,
54629,-0.008079,-0.944359,1.732780,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,22.984690,24.285080,0.234641,0.270428,,,,,,,,,,,,
54632,,,,,,,,,,,45.289303,49.765686,,,,,0.047789,-0.000994,0.046849,,,,,,,,,
54635,,,,,,,,,0.495207,0.000000,,,,,,,,,,,,,,,,,,
54640,,,,,,,,,,,,,25.320318,25.327011,0.269371,0.326226,,,,,,,,,,,,
54645,,,,,,,,,0.577799,-0.653544,,,,,,,,,,,,,,,,,,
54649,,,,,,,,,,,,,27.298084,26.758844,0.253192,0.316509,,,,,,,,,,,,
54655,,,,,,,,,0.603379,0.000000,,,,,,,,,,,,,,,,,,
54659,,,,,,,,,,,,,28.963375,29.054638,0.239804,0.297693,,,,,,,,,,,,
54665,,,,,,,,,0.657969,0.000000,,,,,,,,,,,,,,,,,,
54669,,,,,,,,,,,,,30.898422,30.975212,0.223332,0.282245,,,,,,,,,,,,
54677,,,,,,,,,0.358788,0.000000,,,,,,,,,,,,,,,,,,
54680,-0.010972,-0.926654,1.732780,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,54.430470,58.299995,32.525917,32.590530,0.209610,0.269527,0.062677,0.000738,0.056432,,,,,,,,,
54685,,,,,,,,,1.132242,0.000000,,,,,,,,,,,,,,,,,,
54689,,,,,,,,,,,,,33.366879,33.966660,0.296824,0.345975,,,,,,,,,,,,
54695,,,,,,,,,0.661071,0.000000,,,,,,,,,,,,,,,,,,
54699,,,,,,,,,,,,,35.139820,35.644474,0.282953,0.333728,,,,,,,,,,,,
54705,,,,,,,,,0.742067,0.652825,,,,,,,,,,,,,,,,,,
54709,,,,,,,,,,,,,36.662731,37.633202,0.271277,0.317975,,,,,,,,,,,,
54715,,,,,,,,,0.740216,0.651197,,,,,,,,,,,,,,,,,,
54719,,,,,,,,,,,,,38.469337,39.285889,0.256404,0.305250,,,,,,,,,,,,
54725,,,,,,,,,0.768859,0.000000,,,,,,,,,,,,,,,,,,
54729,-0.017172,-0.888715,1.732780,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,,,39.991699,40.678745,0.244068,0.294846,,,,,,,,,,,,
54732,,,,,,,,,,,58.987450,61.791523,,,,,0.060714,0.002792,0.054083,,,,,,,,,
54735,,,,,,,,,0.768628,0.000000,,,,,,,,,,,,,,,,,,
54739,,,,,,,,,,,,,40.730904,41.853748,0.285897,0.321999,,,,,,,,,,,,
54745,,,,,,,,,0.771946,0.000000,,,,,,,,,,,,,,,,,,
54749,,,,,,,,,,,,,42.438309,43.383068,0.272133,0.310387,,,,,,,,,,,,
54757,,,,,,,,,0.482935,0.546244,,,,,,,,,,,,,,,,,,
54760,,,,,,,,,,,,,43.853741,44.648663,0.261005,0.301160,,,,,,,,,,,,
54765,,,,,,,,,1.324307,0.806570,,,,,,,,,,,,,,,,,,
54769,,,,,,,,,,,,,45.059334,46.272236,0.251735,0.288028,,,,,,,,,,,,
54775,,,,,,,,,0.825593,0.000000,,,,,,,,,,,,,,,,,,
54779,-0.023830,-0.847975,1.732780,-0.038114,-0.789875,1.773337,0.767646,-0.162389,,,,,46.110577,47.131111,0.243798,0.282372,,,,,,,,,,,,
54782,,,,,,,,,,,64.100403,65.325935,,,,,0.059644,0.004727,0.040557,,,,,,,,,
54785,,,,,,,,,0.852174,0.652957,,,,,,,,,,,,,,,,,,
54789,,,,,,,,,,,,,46.963947,48.367058,0.289821,0.308748,,,,,,,,,,,,
54795,,,,,,,,,0.850641,0.651783,,,,,,,,,,,,,,,,,,
54799,,,,,,,,,,,,,47.670559,49.394810,0.286041,0.301657,,,,,,,,,,,,
54805,,,,,,,,,0.879135,0.000000,,,,,,,,,,,,,,,,,,
54809,,,,,,,,,,,,,48.824436,50.819874,0.277557,0.290307,,,,,,,,,,,,
54815,,,,,,,,,0.933334,0.000000,,,,,,,,,,,,,,,,,,
54819,,,,,,,,,,,,,50.327015,52.005974,0.265286,0.281110,,,,,,,,,,,,
54825,,,,,,,,,0.905340,0.651653,,,,,,,,,,,,,,,,,,
54829,-0.031857,-0.803426,1.765363,-0.046502,-0.746596,1.749995,0.842989,-0.374039,,,,,51.062191,52.474869,0.260542,0.278992,,,,,,,,,,,,
54832,,,,,,,,,,,70.506973,67.810516,,,,,0.058589,0.003381,-0.015368,,,,,,,,,
54837,,,,,,,,,0.528856,0.000000,,,,,,,,,,,,,,,,,,
54840,,,,,,,,,,,,,51.673798,52.862427,0.322258,0.302951,,,,,,,,,,,,
54845,,,,,,,,,1.531440,0.000000,,,,,,,,,,,,,,,,,,
54849,,,,,,,,,,,,,52.762486,53.762596,0.314920,0.296759,,,,,,,,,,,,
54855,,,,,,,,,0.908334,-0.653808,,,,,,,,,,,,,,,,,,
54859,,,,,,,,,,,,,53.643257,54.484753,0.309485,0.292203,,,,,,,,,,,,
54865,,,,,,,,,0.985872,0.000000,,,,,,,,,,,,,,,,,,
54869,,,,,,,,,,,,,55.476578,55.640343,0.294158,0.283081,,,,,,,,,,,,
54875,,,,,,,,,0.961939,-0.652826,,,,,,,,,,,,,,,,,,
54879,-0.040385,-0.756091,1.732722,-0.054341,-0.699187,1.718589,0.920912,-0.553737,,,,,56.485649,55.533699,0.286872,0.286603,,,,,,,,,,,,
54882,,,,,,,,,,,75.779999,72.177856,,,,,0.058410,0.004600,-0.014132,,,,,,,,,
54885,,,,,,,,,0.960497,-0.651848,,,,,,,,,,,,,,,,,,
54890,,,,,,,,,,,,,57.302402,56.501431,0.335130,0.323734,,,,,,,,,,,,
54897,,,,,,,,,0.581891,0.000000,,,,,,,,,,,,,,,,,,
54900,,,,,,,,,,,,,57.478882,56.804943,0.337025,0.323774,,,,,,,,,,,,
54905,,,,,,,,,1.566113,0.000000,,,,,,,,,,,,,,,,,,
54909,,,,,,,,,,,,,58.733936,57.621033,0.327884,0.318524,,,,,,,,,,,,
54915,,,,,,,,,1.044182,-1.305390,,,,,,,,,,,,,,,,,,
54919,,,,,,,,,,,,,60.290020,58.266495,0.315421,0.314852,,,,,,,,,,,,
