ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15663,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15673,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15683,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15693,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15703,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15713,,,,,,,,,,,,,0.000000,0.000000,-0.489489,-0.413869,,,,,,,,,,,,
15723,,,,,,,,,,,,,-3.270530,-2.180353,-0.465728,-0.399744,,,,,,,,,,,,
15733,,,,,,,,,,,,,-7.650753,-5.100502,-0.429993,-0.377638,,,,,,,,,,,,
15743,,,,,,,,,,,,,-11.335783,-8.645730,-0.400474,-0.348572,,,,,,,,,,,,
15753,,,,,,,,,,,,,-14.446177,-11.092045,-0.376078,-0.330005,,,,,,,,,,,,
15763,,,,,,,,,,,,,-20.858130,-15.860184,-0.194196,-0.159278,,,,,,,,,,,,
15773,,,,,,,,,,,,,-26.811893,-21.516991,-0.136479,-0.104012,,,,,,,,,,,,
15783,,,,,,,,,,,,,-29.104515,-23.013136,-0.114914,-0.090053,,,,,,,,,,,,
15793,,,,,,,,,,,,,-26.660192,-20.449078,-0.141207,-0.117209,,,,,,,,,,,,
15803,,,,,,,,,,,,,-25.701103,-19.385332,-0.152840,-0.129575,,,,,,,,,,,,
15813,,,,,,,,,,,,,-25.433661,-19.575464,0.016324,0.037685,,,,,,,,,,,,
15823,,,,,,,,,,,,,-24.128052,-17.016428,0.004322,0.013168,,,,,,,,,,,,
15833,,,,,,,,,,,,,-21.390535,-14.862218,-0.022547,-0.007732,,,,,,,,,,,,
15843,,,,,,,,,,,,,-19.630154,-13.593175,-0.039997,-0.020034,,,,,,,,,,,,
15853,,,,,,,,,,,,,-18.153221,-11.437296,-0.054907,-0.041635,,,,,,,,,,,,
15863,,,,,,,,,,,,,-16.354132,-9.623339,0.135637,0.127027,,,,,,,,,,,,
15875,,,,,,,,,,,,,-14.222743,-8.097075,0.117494,0.114725,,,,,,,,,,,,
15883,,,,,,,,,,,,,-11.967014,-6.812878,0.097657,0.104586,,,,,,,,,,,,
15893,,,,,,,,,,,,,-10.069044,-5.732355,0.081018,0.096268,,,,,,,,,,,,
15903,,,,,,,,,,,,,-8.472093,-4.823203,0.067070,0.089482,,,,,,,,,,,,
15913,,,,,,,,,,,,,-7.128417,-4.058242,0.249319,0.249783,,,,,,,,,,,,
15923,,,,,,,,,,,,,-5.453306,-2.325518,0.237788,0.237513,,,,,,,,,,,,
15933,,,,,,,,,,,,,-2.958042,-0.869778,0.217556,0.227721,,,,,,,,,,,,
15943,,,,,,,,,,,,,-0.855593,0.357038,0.200833,0.219973,,,,,,,,,,,,
15953,,,,,,,,,,,,,1.462861,2.483168,0.181485,0.202807,,,,,,,,,,,,
15963,,,,,,,,,,,,,2.862033,3.720520,0.327866,0.335219,,,,,,,,,,,,
15973,,,,,,,,,,,,,5.681921,5.858617,0.305735,0.320022,,,,,,,,,,,,
15983,,,,,,,,,,,,,9.111993,8.177858,0.276817,0.302549,,,,,,,,,,,,
