ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
95099,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
95102,,,,,,,,,-0.000000,0.000000,,,,,,,,,,-0.054521,-0.981858,1.216740,,,,,,
95109,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.054525,-0.981854,1.216740,,,,,,
95114,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
95119,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.054523,-0.981855,1.216740,,,,,,
95124,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
95129,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.054506,-0.981867,1.216707,,,,,,
95134,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
95139,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.054504,-0.981868,1.216707,,,,,,
95144,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
95149,-0.054504,-0.981868,1.216707,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,16.998686,30.606913,0.000000,0.000000,0.173387,0.312191,0.027824,-0.045866,0.465505,-0.054521,-0.981853,1.216740,,,,,,
95155,,,,,,,,,0.055128,0.000000,,,,,,,,,,,,,,,,,,
95164,,,,,,,,,0.083084,1.973485,,,0.393769,1.575076,0.172770,0.302246,,,,-0.054510,-0.981863,1.216707,,,,,,
95170,,,,,,,,,,,,,1.286656,3.235947,0.166983,0.291112,,,,-0.054559,-0.981880,1.220067,,,,,,
95175,,,,,,,,,0.165168,2.615491,,,,,,,,,,,,,,,,,,
95180,,,,,,,,,,,,,1.631748,6.566818,0.166606,0.262611,,,,-0.054475,-0.981727,1.223400,,,,,,
95185,,,,,,,,,0.277057,3.948563,,,,,,,,,,,,,,,,,,
95190,,,,,,,,,,,,,2.469165,9.910167,0.161138,0.233317,,,,-0.054169,-0.980761,1.230227,,,,,,
95195,,,,,,,,,0.248825,4.596919,,,,,,,,,,,,,,,,,,
95199,-0.053934,-0.979851,1.248255,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,25.558836,41.191368,3.120941,11.990264,0.244709,0.324201,0.043340,-0.037441,0.476986,-0.053610,-0.979577,1.237013,,,,,,
95205,,,,,,,,,0.220180,1.307483,,,,,,,,,,,,,,,,,,
