ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
278471,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
278471,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278471,,,,,,,,,,,,,,,,,,,,-0.051170,-0.980554,1.117291,,,,,,
278480,,,,,,,,,,,,,,,,,,,,-0.051171,-0.980553,1.117291,,,,,,
278481,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
278481,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278491,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
278491,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278491,,,,,,,,,,,,,,,,,,,,-0.051170,-0.980551,1.117291,,,,,,
278501,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
278501,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278501,,,,,,,,,,,,,,,,,,,,-0.051172,-0.980553,1.117291,,,,,,
278511,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
278511,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278511,,,,,,,,,,,,,,,,,,,,-0.051167,-0.980550,1.117291,,,,,,
278514,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
278515,,,,,,,,,,,15.814929,31.034260,,,,,,,,,,,,,,,,
278515,,,,,,,,,,,,,,,,,0.029592,-0.040456,0.564920,,,,,,,,,
278521,,,,,,,,,,,,,,,0.161312,0.316549,,,,,,,,,,,,
278521,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
278521,,,,,,,,,,,,,,,,,,,,-0.051170,-0.980552,1.117291,,,,,,
278531,,,,,,,,,,,,,,,,,,,,-0.051167,-0.980552,1.117291,,,,,,
278531,,,,,,,,,,,,,,,0.129451,0.252707,,,,,,,,,,,,
278531,,,,,,,,,,,,,3.433778,6.867557,,,,,,,,,,,,,,
278540,,,,,,,,,,,,,,,,,,,,-0.051185,-0.980566,1.117270,,,,,,
278541,,,,,,,,,,,,,,,0.166951,0.150106,,,,,,,,,,,,
278541,,,,,,,,,,,,,-0.000000,17.400337,,,,,,,,,,,,,,
278551,,,,,,,,,,,,,,,0.100002,0.190092,,,,,,,,,,,,
278551,,,,,,,,,,,,,6.873743,13.747486,,,,,,,,,,,,,,
278551,,,,,,,,,,,,,,,,,,,,-0.051066,-0.980409,1.120471,,,,,,
278561,,,,,,,,,,,,,,,,,,,,-0.050669,-0.979736,1.123770,,,,,,
278561,,,,,,,,,,,,,,,0.137776,0.231393,,,,,,,,,,,,
278561,,,,,,,,,,,,,3.345775,10.037326,,,,,,,,,,,,,,
278564,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
278565,,,,,,,,,,,23.464043,41.614941,,,,,,,,,,,,,,,,
278565,,,,,,,,,,,,,,,,,0.045420,-0.029253,0.593813,,,,,,,,,
278573,,,,,,,,,,,,,,,0.222688,0.326979,,,,,,,,,,,,
278573,,,,,,,,,,,,,2.914630,11.658522,,,,,,,,,,,,,,
278574,,,,,,,,,,,,,,,,,,,,-0.050195,-0.978913,1.130289,,,,,,
278581,,,,,,,,,,,,,,,0.166971,0.317553,,,,,,,,,,,,
278581,,,,,,,,,,,,,8.780040,13.170060,,,,,,,,,,,,,,
