ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
64196,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
64196,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64204,,,,,,,,,,,,,,,,,,,,-0.053899,-0.978066,1.203424,,,,,,
64206,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
64206,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64213,,,,,,,,,,,,,,,,,,,,-0.053903,-0.978066,1.203424,,,,,,
64216,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
64216,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64223,,,,,,,,,,,,,,,,,,,,-0.053900,-0.978065,1.203424,,,,,,
64226,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
64226,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64234,,,,,,,,,,,,,,,,,,,,-0.053903,-0.978061,1.203424,,,,,,
64236,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
64236,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64243,,,,,,,,,,,,,,,,,,,,-0.053900,-0.978057,1.203424,,,,,,
64245,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
64246,,,,,,,,,,,15.895141,29.713165,,,,,,,,,,,,,,,,
64246,,,,,,,,,,,,,,,,,0.024657,-0.046298,0.478787,,,,,,,,,
64246,,,,,,,,,,,,,,,0.162130,0.303074,,,,,,,,,,,,
64246,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
64253,,,,,,,,,,,,,,,,,,,,-0.053902,-0.978061,1.203424,,,,,,
64256,,,,,,,,,,,,,,,0.159569,0.297536,,,,,,,,,,,,
64256,,,,,,,,,,,,,0.562777,1.125554,,,,,,,,,,,,,,
64263,,,,,,,,,,,,,,,,,,,,-0.053914,-0.978064,1.203374,,,,,,
64266,,,,,,,,,,,,,,,0.163546,0.288321,,,,,,,,,,,,
64266,,,,,,,,,,,,,0.473521,2.589540,,,,,,,,,,,,,,
64273,,,,,,,,,,,,,,,,,,,,-0.053856,-0.978070,1.206636,,,,,,
