ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
188953,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,-0.035258,0.000122,1.017724,0.700000,0.140000,-0.350000
188954,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
188952,,,,,,,,,,,,,,,,,,,,-0.063926,-0.989041,1.373054,,,,,,
188963,,,,,,,,,,,,,,,,,,,,,,,-0.035746,-0.000732,1.017480,0.700000,0.280000,-0.350000
188964,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
188962,,,,,,,,,,,,,,,,,,,,-0.063926,-0.989043,1.373054,,,,,,
188973,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,-0.035746,-0.000732,1.017480,0.700000,0.140000,-0.350000
188974,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
188972,,,,,,,,,,,,,,,,,,,,-0.063927,-0.989042,1.373054,,,,,,
188983,,,,,,,,,,,,,,,,,,,,,,,-0.035929,-0.000488,1.018029,0.700000,0.140000,-0.350000
188984,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
188982,,,,,,,,,,,,,,,,,,,,-0.063920,-0.989040,1.373054,,,,,,
188993,,,,,,,,,,,,,,,,,,,,,,,-0.035929,-0.000488,1.018029,0.630000,0.210000,-0.350000
188994,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
188992,,,,,,,,,,,,,,,,,,,,-0.063923,-0.989042,1.373054,,,,,,
188999,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
189000,,,,,,,,,,,19.806829,30.697634,,,,,0.029227,-0.057465,0.309157,,,,,,,,,
