ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
20269,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
20269,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20273,,,,,,,,,,,,,,,,,,,,-0.001735,-1.012580,1.543617,,,,,,
20279,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
20279,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20283,,,,,,,,,,,,,,,,,,,,-0.001750,-1.012578,1.543617,,,,,,
20289,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
20289,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20293,,,,,,,,,,,,,,,,,,,,-0.001752,-1.012576,1.543617,,,,,,
20299,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
20299,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20303,,,,,,,,,,,,,,,,,,,,-0.001754,-1.012576,1.543617,,,,,,
20309,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
20309,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20312,,,,,,,,,,,,,,,,,,,,-0.001723,-1.012596,1.543617,,,,,,
20316,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
20317,,,,,,,,,,,25.002491,33.422619,,,,,,,,,,,,,,,,
20317,,,,,,,,,,,,,,,,,0.040904,0.001225,0.138594,,,,,,,,,
20319,,,,,,,,,,,,,,,0.255025,0.340911,,,,,,,,,,,,
20319,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
20323,,,,,,,,,,,,,,,,,,,,-0.001710,-1.012604,1.543617,,,,,,
20329,,,,,,,,,,,,,,,0.248860,0.330847,,,,,,,,,,,,
20329,,,,,,,,,,,,,1.094669,1.642004,,,,,,,,,,,,,,
20333,,,,,,,,,,,,,,,,,,,,-0.001739,-1.012595,1.543617,,,,,,
20339,,,,,,,,,,,,,,,0.244262,0.323133,,,,,,,,,,,,
20339,,,,,,,,,,,,,2.014295,3.021443,,,,,,,,,,,,,,
20343,,,,,,,,,,,,,,,,,,,,-0.001689,-1.012638,1.547449,,,,,,
20349,,,,,,,,,,,,,,,0.224299,0.300718,,,,,,,,,,,,
