ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
142034,,,,,,,,,,,,,,,,,,,,,,,-0.032208,-0.000366,1.016931,0.770000,0.210000,-0.280000
142034,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
142034,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142032,,,,,,,,,,,,,,,,,,,,-0.051500,-0.979940,1.114137,,,,,,
142044,,,,,,,,,,,,,,,,,,,,,,,-0.032208,-0.000366,1.016931,0.630000,0.070000,-0.350000
142042,,,,,,,,,,,,,,,,,,,,-0.051493,-0.979941,1.114137,,,,,,
142044,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
142044,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142054,,,,,,,,,,,,,,,,,,,,,,,-0.032879,-0.000549,1.017114,0.700000,0.140000,-0.350000
142054,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
142054,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142052,,,,,,,,,,,,,,,,,,,,-0.051502,-0.979936,1.114137,,,,,,
142064,,,,,,,,,,,,,,,,,,,,,,,-0.032879,-0.000549,1.017114,0.630000,0.000000,-0.350000
142062,,,,,,,,,,,,,,,,,,,,-0.051502,-0.979936,1.114137,,,,,,
142064,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
142064,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142074,,,,,,,,,,,,,,,,,,,,,,,-0.033489,-0.000061,1.017663,0.700000,0.210000,-0.350000
142072,,,,,,,,,,,,,,,,,,,,-0.051513,-0.979941,1.114087,,,,,,
142074,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
142074,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142078,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
142079,,,,,,,,,,,15.687506,30.951290,,,,,,,,,,,,,,,,
142079,,,,,,,,,,,,,,,,,0.029327,-0.040940,0.568124,,,,,,,,,
142082,,,,,,,,,,,,,,,,,,,,-0.051525,-0.979946,1.114087,,,,,,
142085,,,,,,,,,,,,,,,,,,,,,,,-0.033489,-0.000061,1.017663,0.630000,0.140000,-0.350000
142085,,,,,,,,,,,,,,,0.160013,0.315703,,,,,,,,,,,,
142085,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
142098,,,,,,,,,,,,,,,,,,,,,,,-0.033062,-0.000061,1.017297,0.630000,-3.080000,0.350000
142098,,,,,,,,,,,,,,,0.163150,0.309536,,,,,,,,,,,,
142098,,,,,,,,,,,,,0.000000,1.211532,,,,,,,,,,,,,,
142092,,,,,,,,,,,,,,,,,,,,-0.051509,-0.979944,1.114087,,,,,,
142104,,,,,,,,,,,,,,,,,,,,,,,-0.033062,-0.000061,1.085007,-5.320000,-39.689999,19.879999
142105,,,,,,,,,,,,,,,0.157240,0.290301,,,,,,,,,,,,
142105,,,,,,,,,,,,,0.887023,3.680451,,,,,,,,,,,,,,
142102,,,,,,,,,,,,,,,,,,,,-0.051536,-0.979941,1.114043,,,,,,
142111,,,,,,,,,,,,,,,,,,,,-0.051595,-0.979897,1.120460,,,,,,
142114,,,,,,,,,,,,,,,,,,,,,,,0.176229,0.011163,1.085007,-6.020000,-12.530000,31.430000
142114,,,,,,,,,,,,,,,0.155986,0.262164,,,,,,,,,,,,
142114,,,,,,,,,,,,,1.300189,6.973666,,,,,,,,,,,,,,
142124,,,,,,,,,,,,,,,,,,,,,,,0.176229,0.000122,0.926163,3.850000,11.760000,26.879999
142122,,,,,,,,,,,,,,,,,,,,-0.051304,-0.979191,1.120533,,,,,,
142124,,,,,,,,,,,,,,,0.155344,0.233262,,,,,,,,,,,,
142124,,,,,,,,,,,,,1.645191,10.277345,,,,,,,,,,,,,,
142129,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
142129,,,,,,,,,,,23.389364,41.372078,,,,,,,,,,,,,,,,
142129,,,,,,,,,,,,,,,,,0.044493,-0.030449,0.586132,,,,,,,,,
142132,,,,,,,,,,,,,,,,,,,,-0.050768,-0.978106,1.130390,,,,,,
142134,,,,,,,,,,,,,,,0.228193,0.321184,,,,,,,,,,,,
142134,,,,,,,,,,,,,2.480365,12.483711,,,,,,,,,,,,,,
142136,,,,,,,,,,,,,,,,,,,,,,,0.253638,0.000122,0.926163,-6.160000,11.970000,46.130001
