ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
258018,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
258018,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258020,,,,,,,,,,,,,,,,,,,,-0.056534,-0.979193,1.196756,,,,,,
258028,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
258028,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258031,,,,,,,,,,,,,,,,,,,,-0.056539,-0.979199,1.196756,,,,,,
258038,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
258038,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258041,,,,,,,,,,,,,,,,,,,,-0.056532,-0.979196,1.196756,,,,,,
258048,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
258048,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258051,,,,,,,,,,,,,,,,,,,,-0.056532,-0.979202,1.196756,,,,,,
258058,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
258058,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258060,,,,,,,,,,,,,,,,,,,,-0.056524,-0.979169,1.193372,,,,,,
258063,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
258064,,,,,,,,,,,16.432426,30.395096,,,,,,,,,,,,,,,,
258064,,,,,,,,,,,,,,,,,0.027122,-0.048077,0.488836,,,,,,,,,
258068,,,,,,,,,,,,,,,0.167611,0.310030,,,,,,,,,,,,
258068,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
258071,,,,,,,,,,,,,,,,,,,,-0.056530,-0.979181,1.193408,,,,,,
258078,,,,,,,,,,,,,,,0.135718,0.245750,,,,,,,,,,,,
258078,,,,,,,,,,,,,3.448955,6.897910,,,,,,,,,,,,,,
258081,,,,,,,,,,,,,,,,,,,,-0.056535,-0.979199,1.196756,,,,,,
258088,,,,,,,,,,,,,,,0.173494,0.180289,,,,,,,,,,,,
258088,,,,,,,,,,,,,-0.000000,13.776446,,,,,,,,,,,,,,
258091,,,,,,,,,,,,,,,,,,,,-0.056551,-0.979214,1.196623,,,,,,
258098,,,,,,,,,,,,,,,0.141661,0.183655,,,,,,,,,,,,
258098,,,,,,,,,,,,,3.443075,13.772302,,,,,,,,,,,,,,
258101,,,,,,,,,,,,,,,,,,,,-0.056279,-0.978831,1.203261,,,,,,
258108,,,,,,,,,,,,,,,0.144248,0.257197,,,,,,,,,,,,
258108,,,,,,,,,,,,,3.444112,6.888223,,,,,,,,,,,,,,
258114,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
258115,,,,,,,,,,,24.938601,41.416275,,,,,,,,,,,,,,,,
258115,,,,,,,,,,,,,,,,,0.044269,-0.038233,0.517344,,,,,,,,,
258116,,,,,,,,,,,,,,,,,,,,-0.055905,-0.977955,1.210133,,,,,,
258118,,,,,,,,,,,,,,,0.198437,0.303970,,,,,,,,,,,,
258118,,,,,,,,,,,,,6.892371,13.784742,,,,,,,,,,,,,,
258121,,,,,,,,,,,,,,,,,,,,-0.055457,-0.976841,1.216767,,,,,,
258128,,,,,,,,,,,,,,,0.202138,0.239469,,,,,,,,,,,,
258128,,,,,,,,,,,,,6.883390,20.650169,,,,,,,,,,,,,,
258131,,,,,,,,,,,,,,,,,,,,-0.054860,-0.975571,1.226980,,,,,,
258138,,,,,,,,,,,,,,,0.170198,0.242731,,,,,,,,,,,,
258138,,,,,,,,,,,,,10.368738,20.737476,,,,,,,,,,,,,,
258140,,,,,,,,,,,,,,,,,,,,-0.054309,-0.974302,1.240535,,,,,,
258148,,,,,,,,,,,,,,,0.173526,0.247694,,,,,,,,,,,,
258148,,,,,,,,,,,,,10.328190,20.656380,,,,,,,,,,,,,,
258150,,,,,,,,,,,,,,,,,,,,-0.053566,-0.972551,1.254162,,,,,,
258158,,,,,,,,,,,,,,,0.176511,0.251973,,,,,,,,,,,,
258158,,,,,,,,,,,,,10.321980,20.643959,,,,,,,,,,,,,,
258161,,,,,,,,,,,,,,,,,,,,-0.052780,-0.970269,1.267798,,,,,,
258163,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
258164,,,,,,,,,,,32.645061,50.045486,,,,,,,,,,,,,,,,
258164,,,,,,,,,,,,,,,,,0.055257,-0.028670,0.487060,,,,,,,,,
258168,,,,,,,,,,,,,,,0.257786,0.308458,,,,,,,,,,,,
258168,,,,,,,,,,,,,10.346865,24.142685,,,,,,,,,,,,,,
258171,,,,,,,,,,,,,,,,,,,,-0.051890,-0.967793,1.285029,,,,,,
258178,,,,,,,,,,,,,,,0.192223,0.278996,,,,,,,,,,,,
258178,,,,,,,,,,,,,17.211924,27.539080,,,,,,,,,,,,,,
258181,,,,,,,,,,,,,,,,,,,,-0.051058,-0.965069,1.305821,,,,,,
258188,,,,,,,,,,,,,,,0.195415,0.248575,,,,,,,,,,,,
258188,,,,,,,,,,,,,17.201576,30.962841,,,,,,,,,,,,,,
258198,,,,,,,,,,,,,,,0.163391,0.252360,,,,,,,,,,,,
258198,,,,,,,,,,,,,20.643959,30.965940,,,,,,,,,,,,,,
258200,,,,,,,,,,,,,,,,,,,,-0.049146,-0.959161,1.344438,,,,,,
258208,,,,,,,,,,,,,,,0.200481,0.255446,,,,,,,,,,,,
258208,,,,,,,,,,,,,17.243042,31.037477,,,,,,,,,,,,,,
258211,,,,,,,,,,,,,,,,,,,,-0.048084,-0.955241,1.365774,,,,,,
258213,,,,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,,,,,,,,,,,,,,,,
258214,,,,,,,,,,,40.959888,57.237595,,,,,,,,,,,,,,,,
258214,,,,,,,,,,,,,,,,,0.063325,-0.021021,0.410556,,,,,,,,,
258218,,,,,,,,,,,,,,,0.253069,0.332416,,,,,,,,,,,,
258218,,,,,,,,,,,,,20.704128,31.056194,,,,,,,,,,,,,,
258221,,,,,,,,,,,,,,,,,,,,-0.047172,-0.951522,1.387254,,,,,,
258228,,,,,,,,,,,,,,,0.222022,0.267414,,,,,,,,,,,,
258228,,,,,,,,,,,,,24.145111,37.942314,,,,,,,,,,,,,,
258230,,,,,,,,,,,,,,,,,,,,-0.046173,-0.947469,1.408939,,,,,,
258238,,,,,,,,,,,,,,,0.226224,0.237527,,,,,,,,,,,,
258238,,,,,,,,,,,,,24.062920,41.250717,,,,,,,,,,,,,,
258240,,,,,,,,,,,,,,,,,,,,-0.045223,-0.943327,1.434486,,,,,,
258248,,,,,,,,,,,,,,,0.193525,0.274393,,,,,,,,,,,,
258248,,,,,,,,,,,,,27.599957,37.949940,,,,,,,,,,,,,,
258250,,,,,,,,,,,,,,,,,,,,-0.044207,-0.938472,1.452989,,,,,,
258258,,,,,,,,,,,,,,,0.196790,0.279065,,,,,,,,,,,,
258258,,,,,,,,,,,,,27.541842,37.870029,,,,,,,,,,,,,,
258261,,,,,,,,,,,,,,,,,,,,-0.043312,-0.933265,1.475407,,,,,,
258263,,,,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,,,,,,,,,,,,,,,,
258264,,,,,,,,,,,49.730808,63.314705,,,,,,,,,,,,,,,,
258264,,,,,,,,,,,,,,,,,0.069901,-0.014736,0.317232,,,,,,,,,
258268,,,,,,,,,,,,,,,0.254011,0.310063,,,,,,,,,,,,
258268,,,,,,,,,,,,,30.965940,41.287918,,,,,,,,,,,,,,
258274,,,,,,,,,,,,,,,,,,,,-0.042588,-0.928139,1.494142,,,,,,
258278,,,,,,,,,,,,,,,0.256525,0.277583,,,,,,,,,,,,
258278,,,,,,,,,,,,,31.087437,44.904076,,,,,,,,,,,,,,
258281,,,,,,,,,,,,,,,,,,,,-0.041723,-0.922809,1.513144,,,,,,
258288,,,,,,,,,,,,,,,0.260922,0.282231,,,,,,,,,,,,
258288,,,,,,,,,,,,,31.021900,44.809410,,,,,,,,,,,,,,
258290,,,,,,,,,,,,,,,,,,,,-0.041069,-0.917394,1.536007,,,,,,
258298,,,,,,,,,,,,,,,0.193686,0.285151,,,,,,,,,,,,
258298,,,,,,,,,,,,,37.980469,44.886013,,,,,,,,,,,,,,
258300,,,,,,,,,,,,,,,,,,,,-0.040527,-0.911453,1.559224,,,,,,
258308,,,,,,,,,,,,,,,0.232631,0.290625,,,,,,,,,,,,
258308,,,,,,,,,,,,,34.392815,44.710659,,,,,,,,,,,,,,
258311,,,,,,,,,,,,,,,,,,,,-0.040041,-0.905010,1.578516,,,,,,
258313,,,,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,,,,,,,,,,,,,,,,,,
258314,,,,,,,,,,,59.065289,68.171524,,,,,,,,,,,,,,,,
258314,,,,,,,,,,,,,,,,,0.075240,-0.011237,0.206324,,,,,,,,,
258318,,,,,,,,,,,,,,,0.330664,0.273355,,,,,,,,,,,,
258318,,,,,,,,,,,,,34.416950,51.625423,,,,,,,,,,,,,,
258320,,,,,,,,,,,,,,,,,,,,-0.039646,-0.898480,1.597957,,,,,,
258328,,,,,,,,,,,,,,,0.264706,0.310980,,,,,,,,,,,,
258328,,,,,,,,,,,,,41.366680,48.261127,,,,,,,,,,,,,,
