ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
115396,,,,,,,,,,,,,,,,,,,,-0.054537,-0.983671,1.200034,,,,,,
115398,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
115398,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115399,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115407,,,,,,,,,,,,,,,,,,,,-0.054548,-0.983674,1.200089,,,,,,
115408,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
115408,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115409,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115417,,,,,,,,,,,,,,,,,,,,-0.054546,-0.983669,1.200089,,,,,,
115418,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
115418,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115419,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115427,,,,,,,,,,,,,,,,,,,,-0.054541,-0.983678,1.200034,,,,,,
115428,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
115428,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115429,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115437,,,,,,,,,,,,,,,,,,,,-0.054552,-0.983673,1.200089,,,,,,
115438,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
115438,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115439,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115440,-0.054552,-0.983673,1.200089,,,,,,,,,,,,,,,,,,,,,,,,,
115441,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
115441,,,,,,,,,,,17.415958,31.301046,,,,,,,,,,,,,,,,
115441,,,,,,,,,,,,,,,,,0.030282,-0.044788,0.482122,,,,,,,,,
115447,,,,,,,,,,,,,,,,,,,,-0.054550,-0.983672,1.200089,,,,,,
115448,,,,,,,,,,,,,,,0.177643,0.319271,,,,,,,,,,,,
115448,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
115449,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115457,,,,,,,,,,,,,,,,,,,,-0.054541,-0.983669,1.200034,,,,,,
115470,,,,,,,,,,,,,,,0.175572,0.314422,,,,,,,,,,,,
115470,,,,,,,,,,,,,0.544543,1.089086,,,,,,,,,,,,,,
115470,,,,,,,,,,,,,,,0.179827,0.322226,,,,,,,,,,,,
115470,,,,,,,,,,,,,0.458179,0.916357,,,,,,,,,,,,,,
115471,,,,,,,,,0.137337,-0.652434,,,,,,,,,,,,,,,,,,
115471,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
115472,,,,,,,,,,,,,,,,,,,,-0.054556,-0.983705,1.200054,,,,,,
115476,,,,,,,,,,,,,,,,,,,,-0.054512,-0.983612,1.199936,,,,,,
115478,,,,,,,,,,,,,,,0.167297,0.246471,,,,,,,,,,,,
115478,,,,,,,,,,,,,2.019141,8.939170,,,,,,,,,,,,,,
115479,,,,,,,,,0.439480,9.134078,,,,,,,,,,,,,,,,,,
115487,,,,,,,,,,,,,,,,,,,,-0.054274,-0.982939,1.203331,,,,,,
115488,,,,,,,,,,,,,,,0.162534,0.215415,,,,,,,,,,,,
115489,,,,,,,,,,,,,2.787992,12.422305,,,,,,,,,,,,,,
115489,,,,,,,,,0.302142,4.567039,,,,,,,,,,,,,,,,,,
115490,-0.053955,-0.981789,1.222092,,,,,,,,,,,,,,,,,,,,,,,,,
115491,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
115491,,,,,,,,,,,25.761906,41.972183,,,,,,,,,,,,,,,,
115491,,,,,,,,,,,,,,,,,0.046133,-0.035653,0.503149,,,,,,,,,
115497,,,,,,,,,,,,,,,,,,,,-0.053896,-0.981814,1.203305,,,,,,
115498,,,,,,,,,,,,,,,0.243989,0.309252,,,,,,,,,,,,
115498,,,,,,,,,,,,,3.434902,14.263928,,,,,,,,,,,,,,
115499,,,,,,,,,0.247207,3.262171,,,,,,,,,,,,,,,,,,
115507,,,,,,,,,,,,,,,,,,,,-0.053445,-0.980522,1.209993,,,,,,
115508,,,,,,,,,,,,,,,0.231794,0.298988,,,,,,,,,,,,
115508,,,,,,,,,,,,,5.068299,15.813470,,,,,,,,,,,,,,
115509,,,,,,,,,0.302142,1.957302,,,,,,,,,,,,,,,,,,
115517,,,,,,,,,,,,,,,,,,,,-0.052822,-0.979096,1.220107,,,,,,
115524,,,,,,,,,0.412012,0.652434,,,,,,,,,,,,,,,,,,
115524,,,,,,,,,,,,,,,0.205252,0.252041,,,,,,,,,,,,
115524,,,,,,,,,,,,,8.076269,20.929056,,,,,,,,,,,,,,
115526,,,,,,,,,,,,,,,,,,,,-0.052204,-0.977171,1.223497,,,,,,
115528,,,,,,,,,,,,,,,0.210745,0.267890,,,,,,,,,,,,
115528,,,,,,,,,,,,,7.884458,19.787878,,,,,,,,,,,,,,
115529,,,,,,,,,0.357077,5.871907,,,,,,,,,,,,,,,,,,
115537,,,,,,,,,,,,,,,,,,,,-0.051294,-0.975048,1.230236,,,,,,
115538,,,,,,,,,,,,,,,0.193749,0.254349,,,,,,,,,,,,
115539,,,,,,,,,,,,,9.901241,21.550407,,,,,,,,,,,,,,
115539,,,,,,,,,0.384545,1.304868,,,,,,,,,,,,,,,,,,
115540,-0.051009,-0.974082,1.235028,,,,,,,,,,,,,,,,,,,,,,,,,
115541,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
115541,,,,,,,,,,,32.848549,51.252117,,,,,,,,,,,,,,,,
115541,,,,,,,,,,,,,,,,,0.059572,-0.023673,0.523058,,,,,,,,,
115547,,,,,,,,,,,,,,,,,,,,-0.050215,-0.972319,1.240402,,,,,,
115548,,,,,,,,,,,,,,,0.257451,0.343516,,,,,,,,,,,,
115548,,,,,,,,,,,,,11.053619,22.488855,,,,,,,,,,,,,,
115549,,,,,,,,,0.357077,1.957303,,,,,,,,,,,,,,,,,,
115557,,,,,,,,,,,,,,,,,,,,-0.049106,-0.969521,1.247223,,,,,,
115563,,,,,,,,,0.384545,1.304868,,,,,,,,,,,,,,,,,,
115563,,,,,,,,,,,,,,,0.224148,0.313443,,,,,,,,,,,,
115563,,,,,,,,,,,,,14.745946,26.001183,,,,,,,,,,,,,,
115567,,,,,,,,,,,,,,,,,,,,-0.048037,-0.966342,1.257439,,,,,,
115568,,,,,,,,,,,,,,,0.229406,0.327230,,,,,,,,,,,,
115568,,,,,,,,,,,,,14.585410,25.144651,,,,,,,,,,,,,,
115569,,,,,,,,,0.521882,1.957302,,,,,,,,,,,,,,,,,,
115576,,,,,,,,,,,,,,,,,,,,-0.046697,-0.962698,1.271146,,,,,,
115578,,,,,,,,,,,,,,,0.212219,0.312031,,,,,,,,,,,,
115578,,,,,,,,,,,,,16.628508,27.146681,,,,,,,,,,,,,,
115579,,,,,,,,,0.521882,1.957302,,,,,,,,,,,,,,,,,,
115587,,,,,,,,,,,,,,,,,,,,-0.045231,-0.958864,1.288415,,,,,,
115588,,,,,,,,,,,,,,,0.197929,0.288561,,,,,,,,,,,,
115588,,,,,,,,,,,,,18.347570,29.920277,,,,,,,,,,,,,,
115589,,,,,,,,,0.576817,3.262172,,,,,,,,,,,,,,,,,,
115590,-0.045087,-0.957804,1.297620,,,,,,,,,,,,,,,,,,,,,,,,,
115591,,,,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,,,,,,,,,,,,,,,,
115591,,,,,,,,,,,39.670509,58.312428,,,,,,,,,,,,,,,,
115591,,,,,,,,,,,,,,,,,0.066685,-0.012764,0.482009,,,,,,,,,
115597,,,,,,,,,,,,,,,,,,,,-0.043616,-0.954358,1.298876,,,,,,
115598,,,,,,,,,,,,,,,0.255660,0.346593,,,,,,,,,,,,
115598,,,,,,,,,,,,,19.793989,31.709435,,,,,,,,,,,,,,
115599,,,,,,,,,0.549350,2.609737,,,,,,,,,,,,,,,,,,
115607,,,,,,,,,,,,,,,,,,,,-0.041899,-0.949841,1.319763,,,,,,
115608,,,,,,,,,,,,,,,0.247221,0.336559,,,,,,,,,,,,
115608,,,,,,,,,,,,,21.011005,33.214832,,,,,,,,,,,,,,
115609,,,,,,,,,0.549350,2.609737,,,,,,,,,,,,,,,,,,
115617,,,,,,,,,,,,,,,,,,,,-0.040406,-0.944797,1.340921,,,,,,
115623,,,,,,,,,0.604285,2.609737,,,,,,,,,,,,,,,,,,
115623,,,,,,,,,,,,,,,0.207183,0.278669,,,,,,,,,,,,
115623,,,,,,,,,,,,,25.302261,39.382362,,,,,,,,,,,,,,
115627,,,,,,,,,,,,,,,,,,,,-0.038915,-0.939918,1.362198,,,,,,
115628,,,,,,,,,,,,,,,0.217662,0.301730,,,,,,,,,,,,
115628,,,,,,,,,,,,,24.556580,37.492661,,,,,,,,,,,,,,
115629,,,,,,,,,0.741622,3.262171,,,,,,,,,,,,,,,,,,
115637,,,,,,,,,,,,,,,,,,,,-0.037233,-0.934309,1.383736,,,,,,
115638,,,,,,,,,,,,,,,0.210422,0.294341,,,,,,,,,,,,
115638,,,,,,,,,,,,,25.562792,38.625381,,,,,,,,,,,,,,
115639,,,,,,,,,0.631752,3.262170,,,,,,,,,,,,,,,,,,
115640,-0.037371,-0.933682,1.390191,,,,,,,,,,,,,,,,,,,,,,,,,
115641,,,,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,,,,,,,,,,,,,,,,
115641,,,,,,,,,,,47.154430,63.971272,,,,,,,,,,,,,,,,
115641,,,,,,,,,,,,,,,,,0.070442,-0.002957,0.399021,,,,,,,,,
115649,,,,,,,,,,,,,,,0.280944,0.340723,,,,,,,,,,,,
115649,,,,,,,,,,,,,26.409418,40.122997,,,,,,,,,,,,,,
115649,,,,,,,,,0.631752,3.262170,,,,,,,,,,,,,,,,,,
115650,,,,,,,,,,,,,,,,,,,,-0.035669,-0.928165,1.409124,,,,,,
115657,,,,,,,,,,,,,,,,,,,,-0.034151,-0.922100,1.434594,,,,,,
115658,,,,,,,,,,,,,,,0.266718,0.327085,,,,,,,,,,,,
115658,,,,,,,,,,,,,28.210855,41.927631,,,,,,,,,,,,,,
115659,,,,,,,,,0.714154,1.304868,,,,,,,,,,,,,,,,,,
115667,,,,,,,,,,,,,,,,,,,,-0.032963,-0.915902,1.456787,,,,,,
115668,,,,,,,,,,,,,,,0.249492,0.310451,,,,,,,,,,,,
115668,,,,,,,,,,,,,30.271130,43.990593,,,,,,,,,,,,,,
115669,,,,,,,,,0.741622,3.262171,,,,,,,,,,,,,,,,,,
115677,,,,,,,,,,,,,,,,,,,,-0.032017,-0.909474,1.482774,,,,,,
115683,,,,,,,,,0.659220,2.609737,,,,,,,,,,,,,,,,,,
115683,,,,,,,,,,,,,,,0.246295,0.307851,,,,,,,,,,,,
115683,,,,,,,,,,,,,30.915556,44.637283,,,,,,,,,,,,,,
115688,,,,,,,,,,,,,,,,,,,,-0.030951,-0.902567,1.509205,,,,,,
115688,,,,,,,,,,,,,,,0.221795,0.289505,,,,,,,,,,,,
115688,,,,,,,,,,,,,33.635948,46.815041,,,,,,,,,,,,,,
115689,,,,,,,,,0.906427,1.957303,,,,,,,,,,,,,,,,,,
115691,-0.030996,-0.901407,1.507424,,,,,,,,,,,,,,,,,,,,,,,,,
115691,,,,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,,,,,,,,,,,,,,,,,,
115691,,,,,,,,,,,55.704681,68.239182,,,,,,,,,,,,,,,,
115691,,,,,,,,,,,,,,,,,0.072097,0.003296,0.279439,,,,,,,,,
115697,,,,,,,,,,,,,,,,,,,,-0.030130,-0.895303,1.532122,,,,,,
115698,,,,,,,,,,,,,,,0.299473,0.323333,,,,,,,,,,,,
115698,,,,,,,,,,,,,34.835800,48.102859,,,,,,,,,,,,,,
115699,,,,,,,,,0.714154,2.609737,,,,,,,,,,,,,,,,,,
115707,,,,,,,,,,,,,,,,,,,,-0.029519,-0.887789,1.559225,,,,,,
115708,,,,,,,,,,,,,,,0.287795,0.316308,,,,,,,,,,,,
115708,,,,,,,,,,,,,36.389900,49.186432,,,,,,,,,,,,,,
115709,,,,,,,,,0.796557,1.957302,,,,,,,,,,,,,,,,,,
115717,,,,,,,,,,,,,,,,,,,,-0.029011,-0.880267,1.582471,,,,,,
115723,,,,,,,,,0.769089,1.304867,,,,,,,,,,,,,,,,,,
115723,,,,,,,,,,,,,,,0.239440,0.266384,,,,,,,,,,,,
115723,,,,,,,,,,,,,41.509323,54.454494,,,,,,,,,,,,,,
115727,,,,,,,,,,,,,,,,,,,,-0.028681,-0.872590,1.605686,,,,,,
115728,,,,,,,,,,,,,,,0.270549,0.307244,,,,,,,,,,,,
115728,,,,,,,,,,,,,38.737740,50.718895,,,,,,,,,,,,,,
115729,,,,,,,,,0.906427,3.262171,,,,,,,,,,,,,,,,,,
115737,,,,,,,,,,,,,,,,,,,,-0.028491,-0.864231,1.624781,,,,,,
115738,,,,,,,,,,,,,,,0.258848,0.292819,,,,,,,,,,,,
115738,,,,,,,,,,,,,40.217533,52.476650,,,,,,,,,,,,,,
115739,,,,,,,,,0.851492,1.957303,,,,,,,,,,,,,,,,,,
115740,-0.028655,-0.863778,1.623140,,,,,,,,,,,,,,,,,,,,,,,,,
115741,,,,-0.038114,-0.789875,1.773337,0.767646,-0.162389,,,,,,,,,,,,,,,,,,,,
