ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
262140,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
262148,,,,0.000000,0.000000,0.785398,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,
262149,,,,,,,,,,,-20.957533,-20.957533,,,,,-0.074516,0.031805,-0.188097,,,,,,,,,
262150,,,,,,,,,,,,,0.000000,0.000000,-0.213767,-0.213767,,,,,,,,,,,,
262151,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
262153,,,,,,,,,,,,,,,,,,,,0.068217,0.043761,0.973464,,,,,,
262158,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
262160,,,,,,,,,,,,,-1.095881,-1.095881,-0.206780,-0.206780,,,,,,,,,,,,
262161,,,,,,,,,,,,,,,,,,,,0.068210,0.043717,0.973495,,,,,,
262168,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.140000
262170,,,,,,,,,,,,,-2.016743,-2.016743,-0.201360,-0.201360,,,,,,,,,,,,
262169,,,,,,,,,,,,,,,,,,,,0.068197,0.043686,0.973464,,,,,,
262176,,,,,,,,,,,,,,,,,,,,0.068200,0.043743,0.973495,,,,,,
262179,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.020000
262180,,,,,,,,,,,,,-2.793099,-2.793099,-0.197229,-0.197229,,,,,,,,,,,,
262183,,,,,,,,,,,,,,,,,,,,0.068328,0.043829,0.976739,,,,,,
262189,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140000
262191,,,,0.000007,0.000007,0.785398,0.000055,-0.000000,,,-20.911453,-20.912058,,,,,-0.074365,0.032063,-0.191071,,,,,,,,,
262192,,,,,,,,,,,,,-4.126039,-4.126039,-0.186796,-0.186802,,,,,,,,,,,,
262190,,,,,,,,,,,,,,,,,,,,0.068650,0.044207,0.977272,,,,,,
262198,,,,,,,,,,,,,,,,,,,,0.068890,0.044483,0.974861,,,,,,8.610000
262200,,,,,,,,,,,,,-5.603768,-4.893061,-0.175080,-0.182336,,,,,,,,,,,,
262208,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350000
262210,,,,,,,,,,,,,-6.924110,-6.326121,-0.164674,-0.170922,,,,,,,,,,,,
262211,,,,,,,,,,,,,,,,,,,,0.068996,0.044657,0.972879,,,,,,
262220,,,,,,,,,,,,,-7.466794,-6.963647,-0.161936,-0.167337,,,,,,,,,,,,
262218,,,,,,,,,,,,,,,,,,,,0.067848,0.043040,0.978350,,,,,,
262222,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.430000
262228,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770000
262230,,,,,,,,,,,,,-7.922421,-7.499073,-0.159978,-0.164665,,,,,,,,,,,,
262233,,,,,,,,,,,,,,,,,,,,0.066961,0.041480,0.975099,,,,,,
262239,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.570000
262241,,,,0.000037,0.000037,0.785398,0.000426,-0.000000,,,-20.090340,-20.094994,,,,,-0.071534,0.032162,-0.190153,,,,,,,,,
262242,,,,,,,,,,,,,-8.418698,-8.500687,-0.149138,-0.148797,,,,,,,,,,,,
262240,,,,,,,,,,,,,,,,,,,,0.065868,0.040076,0.974958,,,,,,
262248,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
262247,,,,,,,,,,,,,,,,,,,,0.064667,0.038364,0.977794,,,,,,
262250,,,,,,,,,,,,,-9.277756,-9.346741,-0.142710,-0.142486,,,,,,,,,,,,
262258,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.990000
262260,,,,,,,,,,,,,-9.996522,-10.054565,-0.137541,-0.137416,,,,,,,,,,,,
262261,,,,,,,,,,,,,,,,,,,,0.063807,0.037033,0.972005,,,,,,
262269,,,,,,,,,,,,,,,,,,,,0.062542,0.035223,0.978054,,,,,,2.310000
262270,,,,,,,,,,,,,-10.605704,-10.654543,-0.133347,-0.133305,,,,,,,,,,,,
262276,,,,,,,,,,,,,,,,,,,,0.061450,0.033690,0.975201,,,,,,
262280,,,,,,,,,,,,,-11.111217,-11.152310,-0.130087,-0.130115,,,,,,,,,,,,
262282,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.080000
262288,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.320000
262291,,,,0.000114,0.000114,0.785398,0.001401,-0.000000,,,-17.409048,-17.424326,,,,,-0.062232,0.031953,-0.189800,,,,,,,,,
262292,,,,,,,,,,,,,-12.030575,-11.618217,-0.095156,-0.099911,,,,,,,,,,,,
262290,,,,,,,,,,,,,,,,,,,,0.060048,0.031673,0.977968,,,,,,
262298,,,,,,,,,,,,,,,,,,,,0.058691,0.029889,0.978202,,,,,,10.710000
262300,,,,,,,,,,,,,-12.160485,-11.813528,-0.094907,-0.099080,,,,,,,,,,,,
262308,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.710000
262310,,,,,,,,,,,,,-12.500288,-12.208358,-0.092491,-0.096175,,,,,,,,,,,,
262311,,,,,,,,,,,,,,,,,,,,0.057195,0.027952,0.981302,,,,,,
262318,,,,,,,,,,,,,,,,,,,,0.055758,0.025832,0.984134,,,,,,14.350000
262320,,,,,,,,,,,,,-13.252215,-12.459690,-0.085803,-0.094654,,,,,,,,,,,,
262328,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.200000
262330,,,,,,,,,,,,,-13.346594,-12.130718,-0.085672,-0.099003,,,,,,,,,,,,
262333,,,,,,,,,,,,,,,,,,,,0.054327,0.023873,0.984134,,,,,,
262339,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.590000
262341,,,,0.000274,0.000274,0.785398,0.003235,-0.000000,,,-13.770676,-13.807783,,,,,-0.049733,0.032002,-0.198955,0.052735,0.021667,0.983999,,,,,,
262342,,,,,,,,,,,,,-13.025957,-12.451953,-0.052643,-0.059896,,,,,,,,,,,,
262348,,,,,,,,,,,,,,,,,,,,0.051412,0.019547,0.986958,,,,,,1.890000
262350,,,,,,,,,,,,,-13.064960,-11.880352,-0.052394,-0.065998,,,,,,,,,,,,
262360,,,,,,,,,,,,,-12.091390,-11.643928,-0.062466,-0.068795,,,,,,,,,,,,
262362,,,,,,,,,,,,,,,,,,,,0.049744,0.017109,0.986576,,,,,,-1.050000
262369,,,,,,,,,,,,,,,,,,,,0.048178,0.014943,0.986295,,,,,,1.260000
262370,,,,,,,,,,,,,-11.811746,-10.889234,-0.065654,-0.076925,,,,,,,,,,,,
262378,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.240000
262380,,,,,,,,,,,,,-11.036160,-10.808838,-0.073957,-0.078329,,,,,,,,,,,,
262383,,,,,,,,,,,,,,,,,,,,0.046372,0.012534,0.989302,,,,,,
262389,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.410000
262391,,,,0.000558,0.000558,0.785398,0.006155,-0.000002,,,-9.605672,-9.678132,,,,,-0.035622,0.031734,-0.203670,0.044622,0.009800,0.989112,,,,,,
262392,,,,,,,,,,,,,-11.083143,-10.891875,-0.031542,-0.035960,,,,,,,,,,,,
262398,,,,,,,,,,,,,,,,,,,,0.043137,0.007609,0.992295,,,,,,-10.500000
262400,,,,,,,,,,,,,-10.728636,-10.567703,-0.034862,-0.039023,,,,,,,,,,,,
262408,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.610000
262410,,,,,,,,,,,,,-10.127382,-10.542129,-0.040770,-0.039106,,,,,,,,,,,,
262413,,,,,,,,,,,,,,,,,,,,0.042373,0.006419,0.989095,,,,,,
262420,,,,,,,,,,,,,-10.146519,-9.953706,-0.040471,-0.044935,,,,0.041648,0.005488,0.985958,,,,,,
262422,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.430000
262428,,,,,,,,,,,,,,,,,,,,0.040975,0.004646,0.989088,,,,,,-7.910000
262430,,,,,,,,,,,,,-9.084614,-9.469716,-0.051194,-0.049817,,,,,,,,,,,,
262438,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.640000
262441,,,,0.001015,0.001015,0.785397,0.010355,-0.000006,,,-6.397229,-6.519074,,,,,-0.025216,0.031401,-0.203382,,,,,,,,,
262442,,,,,,,,,,,,,-8.559453,-8.883478,-0.023929,-0.023616,,,,,,,,,,,,
262443,,,,,,,,,,,,,,,,,,,,0.040445,0.003840,0.985951,,,,,,
262449,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.790000
262450,,,,,,,,,,,,,-7.889912,-8.162546,-0.030326,-0.030497,,,,,,,,,,,,
262451,,,,,,,,,,,,,,,,,,,,0.039783,0.002752,0.985948,,,,,,
262458,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.970000
