ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
23236,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,-0.350000
23238,,,,,,,,,,,,,,,,,,,,0.016351,-0.745893,1.567130,,,,,,
23246,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.016346,-0.745889,1.567130,,,,,,-0.280000
23253,,,,,,,,,,,,,,,,,,,,0.016356,-0.745886,1.567130,,,,,,
23256,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,-0.280000
23266,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.016354,-0.745887,1.567130,,,,,,-0.350000
23276,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,-0.350000
23274,,,,,,,,,,,,,,,,,,,,0.016351,-0.745886,1.567130,,,,,,
23282,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,0.016345,-0.745885,1.567130,,,,,,
23283,,,,,,,,,,,-49.831902,-41.687405,,,,,-0.225853,0.017359,0.115081,,,,,,,,,
23286,,,,,,,,,,,,,0.000000,0.000000,-0.508285,-0.425212,,,,,,,,,,,,
23288,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
23296,,,,,,,,,,,,,-3.296599,-2.197733,-0.484626,-0.411132,,,,,,,,,,,,-0.210000
23295,,,,,,,,,,,,,,,,,,,,0.016352,-0.745884,1.567130,,,,,,
23303,,,,,,,,,,,,,,,,,,,,0.016319,-0.745902,1.567130,,,,,,
23306,,,,,,,,,,,,,-6.614752,-4.044025,-0.460088,-0.400198,,,,,,,,,,,,13.650000
23316,,,,,,,,,,,,,-9.937737,-6.135196,-0.434837,-0.386397,,,,,,,,,,,,32.830002
23317,,,,,,,,,,,,,,,,,,,,0.016305,-0.745503,1.570413,,,,,,
23329,,,,,,,,,,,,,-15.156191,-10.258089,-0.389588,-0.351454,,,,,,,,,,,,
23324,,,,,,,,,,,,,,,,,,,,0.016359,-0.744435,1.579558,,,,,,
23332,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.040001
23333,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
23334,,,,,,,,,,,-38.405308,-29.671560,,,,,-0.204953,0.023437,0.142840,,,,,,,,,
23336,,,,,,,,,,,,,-22.803619,-17.136019,-0.201968,-0.165023,,,,,,,,,,,,
23339,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.770000
23338,,,,,,,,,,,,,,,,,,,,0.016090,-0.744957,1.588240,,,,,,
23346,,,,,,,,,,,,,-29.556095,-22.604401,-0.136213,-0.111753,,,,,,,,,,,,67.690002
23345,,,,,,,,,,,,,,,,,,,,0.016130,-0.749031,1.617285,,,,,,
23356,,,,,,,,,,,,,-30.392366,-22.886049,-0.129453,-0.110293,,,,,,,,,,,,88.339996
23359,,,,,,,,,,,,,,,,,,,,0.016079,-0.751706,1.618648,,,,,,
23366,,,,,,,,,,,,,,,-0.152963,-0.137770,,,,,,,,,,,,84.769997
23367,,,,,,,,,,,,,-28.244606,-20.325308,,,,,,0.016197,-0.755061,1.628991,,,,,,
23376,,,,,,,,,,,,,-27.108156,-19.887669,-0.166587,-0.144103,,,,,,,,,,,,96.949997
23374,,,,,,,,,,,,,,,,,,,,0.016353,-0.757978,1.645618,,,,,,
23382,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
23383,,,,,,,,,,,-21.255457,-13.382809,,,,,-0.164750,0.037952,0.112017,,,,,,,,,
23389,,,,,,,,,,,,,-27.466995,-19.697788,0.009743,0.018149,,,,,,,,,,,,
23388,,,,,,,,,,,,,,,,,,,,0.016494,-0.761086,1.661306,,,,,,
23393,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.070000
23396,,,,,,,,,,,,,-26.251566,-17.358927,-0.001413,-0.004445,,,,,,,,,,,,
23395,,,,,,,,,,,,,,,,,,,,0.016754,-0.764467,1.683952,,,,,,
23399,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.889999
23403,,,,,,,,,,,,,,,,,,,,0.016875,-0.766959,1.693826,,,,,,
23406,,,,,,,,,,,,,-23.735699,-15.704222,-0.026075,-0.020527,,,,,,,,,,,,84.209999
23416,,,,,,,,,,,,,-22.161213,-14.308530,-0.041639,-0.034299,,,,,,,,,,,,102.269997
23417,,,,,,,,,,,,,,,,,,,,0.017157,-0.770437,1.709589,,,,,,
23426,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.800003
23424,,,,,,,,,,,,,,,,,,,,0.017430,-0.773281,1.723863,,,,,,
23427,,,,,,,,,,,,,-20.761789,-13.096869,-0.055732,-0.046473,,,,,,,,,,,,
23432,,,,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,,,,,,,,,,,,,,,,
23433,,,,,,,,,,,-1.825899,3.863752,,,,,-0.117516,0.050737,0.056184,,,,,,,,,
23436,,,,,,,,,,,,,-19.156252,-12.144560,0.125974,0.119671,,,,,,,,,,,,
23438,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.910004
23439,,,,,,,,,,,,,,,,,,,,0.018159,-0.777323,1.743157,,,,,,
23450,,,,,,,,,,,,,-16.118069,-9.823892,0.098451,0.099202,,,,,,,,,,,,
23451,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.310001
23446,,,,,,,,,,,,,,,,,,,,0.018821,-0.780920,1.750755,,,,,,
23456,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.430000
23457,,,,,,,,,,,,,-12.714730,-7.418810,0.066595,0.077408,,,,,,,,,,,,
23454,,,,,,,,,,,,,,,,,,,,0.019473,-0.784242,1.768689,,,,,,
23466,,,,,,,,,,,,,-10.698173,-6.242186,0.048204,0.067663,,,,,,,,,,,,45.639999
23468,,,,,,,,,,,,,,,,,,,,0.019507,-0.785451,1.772342,,,,,,
23476,,,,,,,,,,,,,-9.001441,-5.252174,0.032672,0.059586,,,,0.019689,-0.786381,1.779451,,,,,,31.010000
23482,,,,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,,,,,,,,,,,,,,,,
23483,,,,,,,,,,,17.793043,20.999628,,,,,-0.068979,0.056778,0.011471,0.019982,-0.787447,1.786590,,,,,,
23486,,,,,,,,,,,,,-8.119884,-4.419179,0.225228,0.227698,,,,,,,,,,,,
23488,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.459999
23496,,,,,,,,,,,,,-5.730758,-3.718297,0.206042,0.225633,,,,,,,,,,,,8.890000
23497,,,,,,,,,,,,,,,,,,,,0.019987,-0.787662,1.786592,,,,,,
23506,,,,,,,,,,,,,-4.821859,-2.580634,0.201476,0.218972,,,,,,,,,,,,4.200000
23505,,,,,,,,,,,,,,,,,,,,0.019996,-0.787607,1.790140,,,,,,
23516,,,,,,,,,,,,,-2.973875,-1.629726,0.187150,0.213989,,,,,,,,,,,,-14.630000
23513,,,,,,,,,,,,,,,,,,,,0.019846,-0.787108,1.790131,,,,,,
23529,,,,,,,,,,,,,-1.243546,-0.532137,0.173654,0.207320,,,,,,,,,,,,
23527,,,,,,,,,,,,,,,,,,,,0.019621,-0.786123,1.786527,,,,,,
23531,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.120001
23533,,,,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,,,,,,,,,,,,,,,,,,
23534,,,,,,,,,,,33.678516,35.332855,,,,,-0.031543,0.057426,0.000507,,,,,,,,,
23536,,,,,,,,,,,,,0.559292,1.157871,0.321104,0.340587,,,,,,,,,,,,
23535,,,,,,,,,,,,,,,,,,,,0.019462,-0.785393,1.783034,,,,,,
23539,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.050000
23542,,,,,,,,,,,,,,,,,,,,0.019329,-0.784277,1.783049,,,,,,
23546,,,,,,,,,,,,,2.661248,3.164892,0.306288,0.326950,,,,,,,,,,,,-2.730000
23556,,,,,,,,,,,,,4.977498,5.401264,0.288865,0.310573,,,,0.019056,-0.782718,1.779478,,,,,,-2.450000
23566,,,,,,,,,,,,,,,0.264465,0.281648,,,,,,,,,,,,-7.140000
23564,,,,,,,,,,,,,,,,,,,,0.018809,-0.781261,1.779479,,,,,,
23567,,,,,,,,,,,,,7.932469,8.823940,,,,,,,,,,,,,,
23576,,,,,,,,,,,,,11.163605,11.913689,0.236656,0.255434,,,,,,,,,,,,-8.610000
23578,,,,,,,,,,,,,,,,,,,,0.018437,-0.779159,1.775907,,,,,,
23582,,,,-0.038114,-0.789875,1.773337,0.767646,-0.162389,,,,,,,,,,,,,,,,,,,,
23583,,,,,,,,,,,48.067810,48.411243,,,,,0.000932,0.057516,-0.004045,,,,,,,,,
23589,,,,,,,,,,,,,13.148238,13.362116,0.367687,0.378744,,,,,,,,,,,,
23586,,,,,,,,,,,,,,,,,,,,0.017935,-0.776479,1.775916,,,,,,
23594,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.770000
23593,,,,,,,,,,,,,,,,,,,,0.017410,-0.773645,1.775916,,,,,,
23596,,,,,,,,,,,,,15.076364,16.059008,0.355004,0.358245,,,,,,,,,,,,
23599,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.110000
23606,,,,,,,,,,,,,18.716843,18.995314,0.324469,0.334765,,,,,,,,,,,,-10.290000
23607,,,,,,,,,,,,,,,,,,,,0.016779,-0.770354,1.772349,,,,,,
23616,,,,,,,,,,,,,21.773874,21.460405,0.299158,0.315505,,,,,,,,,,,,-18.549999
23615,,,,,,,,,,,,,,,,,,,,0.016181,-0.766909,1.772349,,,,,,
23623,,,,,,,,,,,,,,,,,,,,0.015517,-0.762916,1.768781,,,,,,
23626,,,,,,,,,,,,,24.347273,22.987751,0.278168,0.305316,,,,,,,,,,,,-2.730000
23632,,,,-0.046502,-0.746596,1.749995,0.842989,-0.374039,,,,,,,,,,,,,,,,,,,,
23633,,,,,,,,,,,61.249973,59.833321,,,,,0.027960,0.057573,-0.018424,,,,,,,,,
23636,,,,,,,,,,,,,26.505262,24.814137,0.395359,0.408277,,,,,,,,,,,,
23638,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.090000
23637,,,,,,,,,,,,,,,,,,,,0.014773,-0.758580,1.768772,,,,,,
23646,,,,,,,,,,,,,28.891397,26.919329,0.377969,0.393808,,,,,,,,,,,,4.060000
23644,,,,,,,,,,,,,,,,,,,,0.013919,-0.753883,1.768774,,,,,,
23652,,,,,,,,,,,,,,,,,,,,0.012830,-0.748751,1.768763,,,,,,
23656,,,,,,,,,,,,,30.845043,28.641092,0.364514,0.382828,,,,,,,,,,,,-20.230000
23670,,,,,,,,,,,,,33.390438,31.122843,0.344632,0.363753,,,,,,,,,,,,
23666,,,,,,,,,,,,,,,,,,,,0.011795,-0.743444,1.765193,,,,,,
23671,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.860001
23676,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.889999
23677,,,,,,,,,,,,,35.720299,33.812344,0.326439,0.342062,,,,,,,,,,,,
23674,,,,,,,,,,,,,,,,,,,,0.010497,-0.737387,1.758023,,,,,,
23683,,,,-0.054341,-0.699187,1.718589,0.920912,-0.553737,,,73.167122,69.644875,,,,,0.049395,0.056634,-0.038785,,,,,,,,,
23686,,,,,,,,,,,,,38.128342,35.946323,0.428538,0.425578,,,,,,,,,,,,
23688,,,,,,,,,,,,,,,,,,,,0.009363,-0.731185,1.750815,,,,,,-49.139999
23696,,,,,,,,,,,,,40.865021,38.480083,0.407631,0.406473,,,,,,,,,,,,-39.759998
23695,,,,,,,,,,,,,,,,,,,,0.008065,-0.724303,1.743591,,,,,,
23703,,,,,,,,,,,,,,,,,,,,0.006914,-0.717382,1.736351,,,,,,
23706,,,,,,,,,,,,,44.209183,40.564938,0.379981,0.391440,,,,,,,,,,,,-37.240002
23716,,,,,,,,,,,,,47.646317,44.030117,0.350714,0.361911,,,,,,,,,,,,-42.139999
23717,,,,,,,,,,,,,,,,,,,,0.005719,-0.710050,1.729086,,,,,,
23730,,,,,,,,,,,,,50.355480,45.670273,0.328185,0.350305,,,,,,,,,,,,
23725,,,,,,,,,,,,,,,,,,,,0.004604,-0.702029,1.725448,,,,,,
23731,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.270000
23733,,,,-0.061061,-0.647458,1.681023,1.001749,-0.696081,,,,,,,,,,,,,,,,,,,,
23734,,,,,,,,,,,82.787483,78.170059,,,,,0.063745,0.056540,-0.043369,,,,,,,,,
23732,,,,,,,,,,,,,,,,,,,,0.003402,-0.693854,1.714491,,,,,,
23736,,,,,,,,,,,,,52.228054,47.464340,0.411775,0.423757,,,,,,,,,,,,
23739,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.860001
23746,,,,,,,,,,,,,53.847462,49.289120,0.401368,0.411286,,,,,,,,,,,,-50.820000
23747,,,,,,,,,,,,,,,,,,,,0.002124,-0.685407,1.707161,,,,,,
23756,,,,,,,,,,,,,56.005543,51.100323,0.385144,0.398587,,,,,,,,,,,,-59.709999
23754,,,,,,,,,,,,,,,,,,,,0.000790,-0.676280,1.696114,,,,,,
23766,,,,,,,,,,,,,57.786068,52.536396,0.372339,0.389353,,,,,,,,,,,,-60.130001
23768,,,,,,,,,,,,,,,,,,,,-0.000308,-0.667212,1.688719,,,,,,
23776,,,,,,,,,,,,,59.547016,54.037361,0.359378,0.379170,,,,-0.001512,-0.657358,1.677580,,,,,,-59.639999
23783,,,,-0.066091,-0.591288,1.639138,1.085320,-0.800367,,,90.600975,85.747971,,,,,0.072501,0.057232,-0.037979,,,,,,,,,
23789,,,,,,,,,,,,,61.189003,55.700397,0.426975,0.444329,,,,,,,,,,,,
23784,,,,,,,,,,,,,,,,,,,,-0.002575,-0.647794,1.666372,,,,,,
23793,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.459999
23796,,,,,,,,,,,,,63.067158,57.676865,0.413700,0.430178,,,,,,,,,,,,
23799,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.380001
23798,,,,,,,,,,,,,,,,,,,,-0.003542,-0.637298,1.655103,,,,,,
23806,,,,,,,,,,,,,65.102432,60.019867,0.398447,0.411894,,,,,,,,,,,,-55.790001
23805,,,,,,,,,,,,,,,,,,,,-0.004406,-0.627230,1.647616,,,,,,
23813,,,,,,,,,,,,,,,,,,,,-0.005312,-0.616854,1.636273,,,,,,
23816,,,,,,,,,,,,,67.398857,62.024849,0.380124,0.396589,,,,,,,,,,,,-61.389999
23826,,,,,,,,,,,,,69.306946,63.689819,0.365301,0.384351,,,,,,,,,,,,-50.820000
23827,,,,,,,,,,,,,,,,,,,,-0.005954,-0.605930,1.624867,,,,,,
23833,,,,-0.068880,-0.530647,1.594562,1.170943,-0.869581,,,97.527298,92.891327,,,,,0.078431,0.058799,-0.030213,,,,,,,,,
23834,,,,,,,,,,,,,,,,,,,,-0.006767,-0.594540,1.621051,,,,,,
23837,,,,,,,,,,,,,70.846291,65.075760,0.424507,0.447488,,,,,,,,,,,,
23838,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.099998
23842,,,,,,,,,,,,,,,,,,,,-0.007419,-0.583112,1.609562,,,,,,
23846,,,,,,,,,,,,,72.296654,66.864670,0.415050,0.434804,,,,,,,,,,,,-60.130001
23856,,,,,,,,,,,,,73.459709,68.340141,0.408233,0.424960,,,,-0.007692,-0.571001,1.598007,,,,,,-57.820000
23869,,,,,,,,,,,,,75.479172,69.889992,0.392448,0.414061,,,,,,,,,,,,
23864,,,,,,,,,,,,,,,,,,,,-0.007952,-0.559563,1.590268,,,,,,
23871,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.730000
23876,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.259998
23877,,,,,,,,,,,,,76.643753,71.941017,0.384979,0.397741,,,,-0.008315,-0.547236,1.582501,,,,,,
23883,,,,-0.068920,-0.465625,1.548635,1.257475,-0.908977,,,104.218216,99.132393,,,,,0.082232,0.059704,-0.033666,,,,,,,,,
23886,,,,,,,,,,,,,78.132896,73.038940,0.442214,0.454391,,,,,,,,,,,,
23885,,,,,,,,,,,,,,,,,,,,-0.008476,-0.534373,1.570781,,,,,,
23888,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52.709999
23893,,,,,,,,,,,,,,,,,,,,-0.008680,-0.522009,1.559103,,,,,,
23896,,,,,,,,,,,,,79.483772,74.648003,0.433652,0.443197,,,,,,,,,,,,-49.490002
23906,,,,,,,,,,,,,81.689911,75.975288,0.416096,0.434556,,,,,,,,,,,,-53.619999
23907,,,,,,,,,,,,,,,,,,,,-0.008679,-0.509048,1.551321,,,,,,
23916,,,,,,,,,,,,,82.941734,77.586990,0.407833,0.422748,,,,,,,,,,,,-49.560001
23915,,,,,,,,,,,,,,,,,,,,-0.008476,-0.496426,1.543587,,,,,,
23930,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.840000
23931,,,,,,,,,,,,,83.981964,78.709198,0.401478,0.415611,,,,,,,,,,,,
23929,,,,,,,,,,,,,,,,,,,,-0.008320,-0.482663,1.535906,,,,,,
