ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
109856,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
109861,,,,,,,,,,,,,,,,,,,,-0.058388,-0.979344,1.230286,,,,,,
109865,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
109866,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
109868,,,,,,,,,,,,,,,,,,,,-0.058393,-0.979352,1.230286,,,,,,
109875,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
109876,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.058392,-0.979345,1.230286,,,,,,
109885,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
109883,,,,,,,,,,,,,,,,,,,,-0.058399,-0.979346,1.230326,,,,,,
109886,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
109895,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
109896,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.058387,-0.979341,1.230286,,,,,,
109905,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
109906,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
109907,,,,,,,,,,,16.757006,30.101196,0.000000,0.000000,0.170921,0.307032,0.026113,-0.050744,0.451925,,,,,,,,,
109903,,,,,,,,,,,,,,,,,,,,-0.058398,-0.979351,1.230326,,,,,,
109915,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.560000
109916,,,,,,,,,,,,,0.624978,1.249956,0.167898,0.300303,,,,,,,,,,,,
