ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
83586,,,,,,,,,,,,,,,,,,,,-0.060715,-0.982911,1.254130,,,,,,
83589,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.033245,0.000671,1.016565,0.630000,0.210000,-0.350000
83599,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.033245,0.000671,1.016565,0.700000,0.210000,-0.280000
83596,,,,,,,,,,,,,,,,,,,,-0.060717,-0.982909,1.254130,,,,,,
83608,,,,,,,,,,,,,,,,,,,,,,,-0.033367,0.000183,1.017785,0.630000,0.070000,-0.350000
83606,,,,,,,,,,,,,,,,,,,,-0.060712,-0.982913,1.254130,,,,,,
83609,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
83619,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.033367,0.000183,1.017785,0.560000,0.280000,-0.280000
83617,,,,,,,,,,,,,,,,,,,,-0.060715,-0.982912,1.254130,,,,,,
83628,,,,,,,,,,,,,,,,,,,,,,,-0.032391,0.000427,1.017358,0.630000,0.140000,-0.350000
83627,,,,,,,,,,,,,,,,,,,,-0.060712,-0.982915,1.254130,,,,,,
83629,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
83633,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
83634,,,,,,,,,,,17.957640,30.896717,,,,,0.029016,-0.052449,0.428081,,,,,,,,,
83639,,,,,,,,,,,,,,,,,,,,,,,-0.032391,0.000427,1.017358,0.630000,0.210000,-0.350000
83637,,,,,,,,,,,,,,,,,,,,-0.060710,-0.982921,1.254130,,,,,,
83640,,,,,,,,,,,,,0.000000,0.000000,0.183168,0.315147,,,,,,,,,,,,
83648,,,,,,,,,,,,,,,,,,,,,,,-0.032513,0.000549,1.016992,0.630000,0.140000,1.050000
83646,,,,,,,,,,,,,,,,,,,,-0.060704,-0.982917,1.254130,,,,,,
83649,,,,,,,,,,,,,0.000000,1.111313,0.186759,0.309990,,,,,,,,,,,,
83662,,,,,,,,,,,,,0.435565,3.984013,0.185908,0.286646,,,,,,,,,,,,
83656,,,,,,,,,,,,,,,,,,,,-0.060761,-0.982927,1.257512,,,,,,
83664,,,,,,,,,,,,,,,,,,,,,,,-0.032513,0.000549,1.016992,-1.680000,-32.900002,20.370001
83667,,,,,,,,,,,,,,,,,,,,-0.060778,-0.983008,1.257468,,,,,,
83670,,,,,,,,,,,,,1.065782,7.547935,0.182984,0.255677,,,,,,,0.179889,0.002379,1.069940,-4.480000,-5.320000,30.309999
83679,,,,,,,,,,,,,2.042673,10.361567,0.176399,0.231647,,,,,,,0.179889,0.002379,1.000949,-5.670000,2.310000,27.650000
83677,,,,,,,,,,,,,,,,,,,,-0.060699,-0.982363,1.264314,,,,,,
83683,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
83684,,,,,,,,,,,26.915218,41.776180,,,,,0.045593,-0.044601,0.445227,,,,,,,,,
83687,,,,,,,,,,,,,,,,,,,,-0.060453,-0.981483,1.271168,,,,,,
83690,,,,,,,,,,,,,2.228816,12.288996,0.269050,0.327065,,,,,,,0.273646,0.022631,1.000949,1.470000,-4.340000,43.189999
83703,,,,,,,,,,,,,3.602389,14.225853,0.259977,0.313207,,,,,,,,,,,,
83704,,,,,,,,,,,,,,,,,,,,,,,0.273646,-0.024156,1.048407,-5.810000,-9.730000,62.930000
83697,,,,,,,,,,,,,,,,,,,,-0.059838,-0.980395,1.278030,,,,,,
83707,,,,,,,,,,,,,,,,,,,,-0.059457,-0.978913,1.288397,,,,,,
83710,,,,,,,,,,,,,5.258220,16.423971,0.247750,0.296296,,,,,,,0.266570,-0.024156,1.048407,-4.130000,-13.160000,72.589996
83719,,,,,,,,,,,,,,,,,,,,,,,0.320860,0.022082,1.003572,-4.060000,-10.570000,72.870003
83717,,,,,,,,,,,,,,,,,,,,-0.058898,-0.977158,1.305756,,,,,,
83720,,,,,,,,,,,,,7.330356,19.050091,0.230946,0.274580,,,,,,,,,,,,
83725,,,,,,,,,,,,,,,,,,,,-0.058140,-0.975117,1.319753,,,,,,
83729,,,,,,,,,,,,,8.402701,20.498625,0.223925,0.264350,,,,,,,0.320860,0.022082,1.003572,-12.740000,-2.310000,76.930000
83734,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,35.170452,50.974064,,,,,0.058804,-0.035820,0.430672,,,,,,,,,
83735,,,,,,,,,,,,,,,,,,,,-0.057456,-0.972611,1.333777,,,,,,
83739,,,,,,,,,,,,,9.807806,22.175533,0.297499,0.345319,,,,,,,,,,,,
83740,,,,,,,,,,,,,,,,,,,,,,,0.336659,0.020801,1.028765,-1.750000,2.380000,76.720001
83746,,,,,,,,,,,,,,,,,,,,-0.056631,-0.969947,1.344385,,,,,,
