ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
56618,,,,,,,,,,,,,,,,,,,,,,,-0.033672,-0.003172,1.016748,0.630000,0.210000,-0.350000
56615,,,,,,,,,,,,,,,,,,,,-0.069239,-0.986202,1.340940,,,,,,
56619,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
56628,,,,,,,,,,,,,,,,,,,,,,,-0.033672,-0.003172,1.016748,0.560000,0.210000,-0.350000
56626,,,,,,,,,,,,,,,,,,,,-0.069238,-0.986209,1.340940,,,,,,
56629,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
56638,,,,,,,,,,,,,,,,,,,,,,,-0.033489,-0.003172,1.017724,0.630000,0.140000,-0.350000
56636,,,,,,,,,,,,,,,,,,,,-0.069196,-0.986194,1.340985,,,,,,
56639,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
56648,,,,,,,,,,,,,,,,,,,,,,,-0.033489,-0.003172,1.017724,0.630000,0.210000,-0.280000
56646,,,,,,,,,,,,,,,,,,,,-0.069220,-0.986199,1.340940,,,,,,
56649,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
56658,,,,,,,,,,,,,,,,,,,,,,,-0.033367,-0.003172,1.016992,0.630000,0.070000,-0.350000
56656,,,,,,,,,,,,,,,,,,,,-0.069235,-0.986206,1.340940,,,,,,
56659,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
56663,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
56664,,,,,,,,,,,19.448833,30.845549,,,,,0.029506,-0.062315,0.341270,,,,,,,,,
56666,,,,,,,,,,,,,,,,,,,,-0.069233,-0.986202,1.340940,,,,,,
56669,,,,,,,,,,,,,0.000000,0.000000,0.198378,0.314625,,,,,,,-0.033367,-0.003660,1.016931,0.770000,0.350000,-0.350000
56680,,,,,,,,,,,,,0.516939,2.067755,0.196995,0.299703,,,,,,,,,,,,
56676,,,,,,,,,,,,,,,,,,,,-0.069242,-0.986203,1.340940,,,,,,
56683,,,,,,,,,,,,,,,,,,,,,,,-0.033367,-0.003660,1.016931,0.280000,0.000000,-13.090000
56688,,,,,,,,,,,,,,,,,,,,,,,-0.033367,-0.015860,1.043283,3.850000,-31.150000,-20.930000
56687,,,,,,,,,,,,,,,,,,,,-0.069234,-0.986203,1.340940,,,,,,
56689,,,,,,,,,,,,,1.052979,6.065994,0.195314,0.264676,,,,,,,,,,,,
56698,,,,,,,,,,,,,,,,,,,,,,,0.125660,-0.015860,1.043283,4.200000,-13.860000,-9.450000
56699,,,,,,,,,,,,,1.966741,9.426985,0.189673,0.235350,,,,,,,,,,,,
56697,,,,,,,,,,,,,,,,,,,,-0.069242,-0.986195,1.337440,,,,,,
56704,,,,,,,,,,,,,,,,,,,,-0.069166,-0.985736,1.333799,,,,,,
56708,,,,,,,,,,,,,,,,,,,,,,,0.294569,-0.000610,0.992165,-0.700000,7.140000,-6.720000
56709,,,,,,,,,,,,,2.760487,12.354549,0.185073,0.209772,,,,,,,,,,,,
56713,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
56714,,,,,,,,,,,28.897890,42.066544,,,,,0.047244,-0.055339,0.374490,-0.068860,-0.984671,1.333905,,,,,,
56719,,,,,,,,,,,,,3.966495,14.230700,0.272490,0.308788,,,,,,,,,,,,
56720,,,,,,,,,,,,,,,,,,,,,,,0.294569,-0.000610,0.992165,9.730000,3.220000,4.410000
56724,,,,,,,,,,,,,,,,,,,,-0.068467,-0.983439,1.333814,,,,,,
56728,,,,,,,,,,,,,,,,,,,,,,,0.322141,-0.003843,1.066707,-2.520000,-9.660000,17.080000
56729,,,,,,,,,,,,,5.522135,15.250799,0.261608,0.303950,,,,,,,,,,,,
56741,,,,,,,,,,,,,7.460985,17.054012,0.246507,0.290921,,,,,,,,,,,,
56735,,,,,,,,,,,,,,,,,,,,-0.068005,-0.981970,1.333814,,,,,,
56743,,,,,,,,,,,,,,,,,,,,,,,0.322141,-0.003843,1.066707,0.700000,-12.110000,28.420000
56745,,,,,,,,,,,,,,,,,,,,-0.067500,-0.980269,1.344378,,,,,,
56749,,,,,,,,,,,,,,,0.225310,0.273439,,,,,,,0.325496,0.010309,1.025532,-0.280000,-11.830000,28.700001
56750,,,,,,,,,,,,,9.959506,19.258354,,,,,,,,,,,,,,
56758,,,,,,,,,,,,,,,,,,,,,,,0.325496,0.010309,1.025532,2.660000,-12.040000,27.370001
56756,,,,,,,,,,,,,,,,,,,,-0.066998,-0.978148,1.347920,,,,,,
56759,,,,,,,,,,,,,11.886323,21.463570,0.209444,0.255507,,,,,,,,,,,,
56763,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
56764,,,,,,,,,,,37.007175,51.883865,,,,,0.062469,-0.045582,0.401659,,,,,,,,,
56766,,,,,,,,,,,,,,,,,,,,-0.066323,-0.975581,1.355002,,,,,,
56769,,,,,,,,,,,,,13.288794,22.442968,0.281256,0.349775,,,,,,,,,,,,
56770,,,,,,,,,,,,,,,,,,,,,,,0.343918,0.005307,1.036817,-7.700000,-8.750000,33.880001
56774,,,,,,,,,,,,,,,,,,,,-0.065513,-0.972603,1.358573,,,,,,
56778,,,,,,,,,,,,,,,,,,,,,,,0.343918,0.005307,1.036817,6.160000,-1.120000,36.540001
56779,,,,,,,,,,,,,15.018703,24.365673,0.268354,0.336051,,,,,,,,,,,,
56785,,,,,,,,,,,,,,,,,,,,-0.064490,-0.969174,1.369262,,,,,,
56788,,,,,,,,,,,,,,,,,,,,,,,0.303414,0.004453,0.963251,-6.440000,7.910000,46.619999
56789,,,,,,,,,,,,,17.010574,27.062035,0.252435,0.314052,,,,,,,,,,,,
56800,,,,,,,,,,,,,18.888689,28.871317,0.237277,0.300562,,,,,,,,,,,,
56795,,,,,,,,,,,,,,,,,,,,-0.063741,-0.965654,1.376401,,,,,,
56803,,,,,,,,,,,,,,,,,,,,,,,0.303414,0.004453,0.963251,-8.190000,-2.870000,56.209999
