ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
32633,,,,,,,,,,,,,,,,,,,,-0.062577,-0.979541,1.271153,,,,,,
32636,,,,,,,,,,,,,,,,,,,,,,,-0.030012,-0.000732,1.016931,0.630000,0.210000,-0.280000
32637,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32646,,,,,,,,,,,,,,,,,,,,-0.062592,-0.979529,1.271153,-0.030012,-0.000732,1.016931,0.700000,0.350000,-0.350000
32647,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32653,,,,,,,,,,,,,,,,,,,,-0.062597,-0.979527,1.271150,,,,,,
32656,,,,,,,,,,,,,,,,,,,,,,,-0.030744,-0.000488,1.016931,0.630000,0.210000,-0.350000
32657,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32663,,,,,,,,,,,,,,,,,,,,-0.062592,-0.979525,1.271150,,,,,,
32666,,,,,,,,,,,,,,,,,,,,,,,-0.030744,-0.000488,1.016931,0.700000,0.210000,-0.350000
32667,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32673,,,,,,,,,,,,,,,,,,,,-0.062593,-0.979528,1.271150,,,,,,
32676,,,,,,,,,,,,,,,,,,,,,,,-0.030256,-0.001342,1.016382,0.630000,0.210000,-0.350000
32677,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32680,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
32681,,,,,,,,,,,17.230730,29.859352,,,,,0.025439,-0.055731,0.411061,,,,,,,,,
32683,,,,,,,,,,,,,,,,,,,,-0.062597,-0.979526,1.271150,,,,,,
32686,,,,,,,,,,,,,,,,,,,,,,,-0.030256,-0.001342,1.016382,0.700000,0.140000,-0.280000
32687,,,,,,,,,,,,,0.000000,0.000000,0.175753,0.304565,,,,,,,,,,,,
32693,,,,,,,,,,,,,,,,,,,,-0.062588,-0.979525,1.271150,,,,,,
32696,,,,,,,,,,,,,,,,,,,,,,,-0.029524,-0.000122,1.017724,0.700000,-0.980000,0.000000
32697,,,,,,,,,,,,,0.547225,1.094449,0.173618,0.299374,,,,,,,,,,,,
32708,,,,,,,,,,,,,0.460435,3.814298,0.177840,0.277384,,,,,,,,,,,,
32703,,,,,,,,,,,,,,,,,,,,-0.062583,-0.979542,1.271153,,,,,,
32712,,,,,,,,,,,,,,,,,,,,,,,-0.029524,-0.000122,1.017724,2.310000,-22.820000,27.160000
32714,,,,,,,,,,,,,,,,,,,,-0.062404,-0.979511,1.274588,,,,,,
32717,,,,,,,,,,,,,1.023484,7.025795,0.175451,0.249836,,,,,,,,,,,,
32718,,,,,,,,,,,,,,,,,,,,,,,0.222101,-0.006771,1.041697,3.220000,-3.220000,31.219999
32726,,,,,,,,,,,,,,,,,,,,,,,0.222101,-0.006771,1.041697,-0.490000,15.680000,33.950001
32724,,,,,,,,,,,,,,,,,,,,-0.062236,-0.978793,1.278043,,,,,,
32727,,,,,,,,,,,,,1.408274,9.741305,0.174767,0.226705,,,,,,,,,,,,
32730,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
32731,,,,,,,,,,,26.260489,40.694820,,,,,0.041871,-0.047896,0.427507,,,,,,,,,
32734,,,,,,,,,,,,,,,,,,,,-0.061913,-0.977808,1.288407,,,,,,
32737,,,,,,,,,,,,,2.265471,11.437984,0.261292,0.323944,,,,,,,0.287310,0.014213,1.014186,-3.220000,-1.260000,77.070000
32749,,,,,,,,,,,,,3.732268,14.189169,0.251130,0.301733,,,,,,,,,,,,
32744,,,,,,,,,,,,,,,,,,,,-0.061351,-0.976670,1.302357,,,,,,
32752,,,,,,,,,,,,,,,,,,,,,,,0.287310,0.014213,1.014186,2.870000,-12.740000,89.389999
32755,,,,,,,,,,,,,,,,,,,,-0.060818,-0.975058,1.319803,,,,,,
32757,,,,,,,,,,,,,,,,,,,,,,,0.261446,0.011895,0.985882,-3.990000,6.580000,89.180000
32758,,,,,,,,,,,,,5.656412,16.970930,0.236009,0.278660,,,,,,,,,,,,
