ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
10167,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
10167,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10170,,,,,,,,,,,,,,,,,,,,-0.093793,-0.973749,1.295313,,,,,,
10177,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
10177,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10180,,,,,,,,,,,,,,,,,,,,-0.093768,-0.973745,1.295313,,,,,,
10187,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
10187,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10191,,,,,,,,,,,,,,,,,,,,-0.093790,-0.973745,1.295313,,,,,,
10197,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
10197,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10201,,,,,,,,,,,,,,,,,,,,-0.093798,-0.973742,1.295313,,,,,,
10207,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
10207,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10209,,,,,,,,,,,,,,,,,,,,-0.093775,-0.973740,1.295313,,,,,,
10217,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
10218,,,,,,,,,,,18.183254,30.118961,,,,,,,,,,,,,,,,
10218,,,,,,,,,,,,,,,,,0.026997,-0.087911,0.386898,,,,,,,,,
10218,,,,,,,,,,,,,,,0.185469,0.307213,,,,,,,,,,,,
10218,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
10219,,,,,,,,,,,,,,,,,,,,-0.093793,-0.973730,1.295313,,,,,,
10227,,,,,,,,,,,,,,,0.146605,0.270736,,,,,,,,,,,,
10227,,,,,,,,,,,,,4.166790,4.166790,,,,,,,,,,,,,,
10229,,,,,,,,,,,,,,,,,,,,-0.093772,-0.973736,1.295313,,,,,,
10237,,,,,,,,,,,,,,,0.191909,0.213280,,,,,,,,,,,,
10237,,,,,,,,,,,,,-0.000000,10.308551,,,,,,,,,,,,,,
10239,,,,,,,,,,,,,,,,,,,,-0.093779,-0.973796,1.298799,,,,,,
10247,,,,,,,,,,,,,,,0.195546,0.216905,,,,,,,,,,,,
10247,,,,,,,,,,,,,-0.000000,10.341670,,,,,,,,,,,,,,
10249,,,,,,,,,,,,,,,,,,,,-0.093719,-0.973473,1.309305,,,,,,
10257,,,,,,,,,,,,,,,0.164063,0.256106,,,,,,,,,,,,
10257,,,,,,,,,,,,,3.443075,6.886151,,,,,,,,,,,,,,
10259,,,,,,,,,,,,,,,,,,,,-0.093390,-0.972539,1.319724,,,,,,
10268,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
10268,,,,,,,,,,,27.187321,40.631348,,,,,,,,,,,,,,,,
10268,,,,,,,,,,,,,,,,,0.042486,-0.080702,0.400532,,,,,,,,,
10268,,,,,,,,,,,,,,,0.234153,0.288671,,,,,,,,,,,,
10268,,,,,,,,,,,,,5.864608,14.661520,,,,,,,,,,,,,,
10270,,,,,,,,,,,,,,,,,,,,-0.092974,-0.971238,1.333770,,,,,,
10277,,,,,,,,,,,,,,,0.255507,0.272494,,,,,,,,,,,,
10277,,,,,,,,,,,,,4.189159,16.756636,,,,,,,,,,,,,,
10281,,,,,,,,,,,,,,,,,,,,-0.092546,-0.970087,1.347912,,,,,,
10287,,,,,,,,,,,,,,,0.232604,0.237492,,,,,,,,,,,,
10287,,,,,,,,,,,,,6.885460,20.656380,,,,,,,,,,,,,,
10291,,,,,,,,,,,,,,,,,,,,-0.092072,-0.968807,1.365697,,,,,,
10297,,,,,,,,,,,,,,,0.201082,0.240553,,,,,,,,,,,,
10297,,,,,,,,,,,,,10.373959,20.747917,,,,,,,,,,,,,,
10301,,,,,,,,,,,,,,,,,,,,-0.091534,-0.966778,1.383583,,,,,,
10307,,,,,,,,,,,,,,,0.204869,0.245379,,,,,,,,,,,,
10307,,,,,,,,,,,,,10.332335,20.664669,,,,,,,,,,,,,,
10312,,,,,,,,,,,,,,,,,,,,-0.090823,-0.964376,1.405247,,,,,,
10317,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
10318,,,,,,,,,,,35.238998,48.386337,,,,,,,,,,,,,,,,
10318,,,,,,,,,,,,,,,,,0.051284,-0.074275,0.354026,,,,,,,,,
10318,,,,,,,,,,,,,,,0.275369,0.298476,,,,,,,,,,,,
10318,,,,,,,,,,,,,11.802800,23.605600,,,,,,,,,,,,,,
10320,,,,,,,,,,,,,,,,,,,,-0.090135,-0.961716,1.419793,,,,,,
10327,,,,,,,,,,,,,,,0.273034,0.289387,,,,,,,,,,,,
10327,,,,,,,,,,,,,12.491274,24.982548,,,,,,,,,,,,,,
10330,,,,,,,,,,,,,,,,,,,,-0.089529,-0.959068,1.441808,,,,,,
10337,,,,,,,,,,,,,,,0.229643,0.233259,,,,,,,,,,,,
10337,,,,,,,,,,,,,17.191240,30.944235,,,,,,,,,,,,,,
10340,,,,,,,,,,,,,,,,,,,,-0.088890,-0.956155,1.460289,,,,,,
10347,,,,,,,,,,,,,,,0.197422,0.235605,,,,,,,,,,,,
10347,,,,,,,,,,,,,20.704128,31.056194,,,,,,,,,,,,,,
10351,,,,,,,,,,,,,,,,,,,,-0.088254,-0.952664,1.478951,,,,,,
10357,,,,,,,,,,,,,,,0.235295,0.273900,,,,,,,,,,,,
10357,,,,,,,,,,,,,17.276011,27.641619,,,,,,,,,,,,,,
10361,,,,,,,,,,,,,,,,,,,,-0.087640,-0.948759,1.497781,,,,,,
10368,,,,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,,,,,,,,,,,,,,,,
10368,,,,,,,,,,,43.010139,54.272243,,,,,,,,,,,,,,,,
10368,,,,,,,,,,,,,,,,,0.056386,-0.068989,0.281332,,,,,,,,,
10368,,,,,,,,,,,,,,,0.284859,0.290800,,,,,,,,,,,,
10368,,,,,,,,,,,,,20.540161,32.277393,,,,,,,,,,,,,,
10371,,,,,,,,,,,,,,,,,,,,-0.087062,-0.944531,1.516817,,,,,,
10377,,,,,,,,,,,,,,,0.242923,0.240519,,,,,,,,,,,,
10377,,,,,,,,,,,,,25.092094,37.638142,,,,,,,,,,,,,,
10379,,,,,,,,,,,,,,,,,,,,-0.086538,-0.940266,1.535930,,,,,,
10387,,,,,,,,,,,,,,,0.221125,0.240938,,,,,,,,,,,,
10387,,,,,,,,,,,,,27.580557,37.923264,,,,,,,,,,,,,,
10389,,,,,,,,,,,,,,,,,,,,-0.086050,-0.936016,1.555262,,,,,,
10397,,,,,,,,,,,,,,,0.259277,0.279232,,,,,,,,,,,,
10397,,,,,,,,,,,,,24.142685,34.489548,,,,,,,,,,,,,,
10400,,,,,,,,,,,,,,,,,,,,-0.085814,-0.931061,1.570762,,,,,,
10407,,,,,,,,,,,,,,,0.228604,0.249017,,,,,,,,,,,,
10407,,,,,,,,,,,,,27.519766,37.839676,,,,,,,,,,,,,,
10410,,,,,,,,,,,,,,,,,,,,-0.085672,-0.926081,1.590139,,,,,,
10418,,,,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,,,,,,,,,,,,,,,,
10418,,,,,,,,,,,50.666462,58.870728,,,,,,,,,,,,,,,,
10418,,,,,,,,,,,,,,,,,0.059563,-0.064981,0.201189,,,,,,,,,
10418,,,,,,,,,,,,,,,0.261156,0.266010,,,,,,,,,,,,
10418,,,,,,,,,,,,,32.288433,41.094372,,,,,,,,,,,,,,
10420,,,,,,,,,,,,,,,,,,,,-0.085655,-0.921333,1.605661,,,,,,
10427,,,,,,,,,,,,,,,0.294520,0.303458,,,,,,,,,,,,
10427,,,,,,,,,,,,,29.377878,37.771561,,,,,,,,,,,,,,
10431,,,,,,,,,,,,,,,,,,,,-0.085590,-0.916118,1.624813,,,,,,
10437,,,,,,,,,,,,,,,0.247097,0.271346,,,,,,,,,,,,
10437,,,,,,,,,,,,,34.444569,41.333481,,,,,,,,,,,,,,
10441,,,,,,,,,,,,,,,,,,,,-0.085831,-0.910404,1.636187,,,,,,
10447,,,,,,,,,,,,,,,0.249635,0.274006,,,,,,,,,,,,
10447,,,,,,,,,,,,,34.513817,41.416580,,,,,,,,,,,,,,
10451,,,,,,,,,,,,,,,,,,,,-0.086083,-0.904546,1.651261,,,,,,
10457,,,,,,,,,,,,,,,0.253078,0.242569,,,,,,,,,,,,
10457,,,,,,,,,,,,,34.493015,44.840919,,,,,,,,,,,,,,
10461,,,,,,,,,,,,,,,,,,,,-0.086433,-0.898552,1.666267,,,,,,
10468,,,,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,,,,,,,,,,,,,,,,,,
10468,,,,,,,,,,,58.644699,62.951569,,,,,,,,,,,,,,,,
10468,,,,,,,,,,,,,,,,,0.063079,-0.063037,0.121558,,,,,,,,,
10468,,,,,,,,,,,,,,,0.300230,0.295197,,,,,,,,,,,,
10468,,,,,,,,,,,,,38.165585,44.037209,,,,,,,,,,,,,,
10471,,,,,,,,,,,,,,,,,,,,-0.086643,-0.892402,1.681176,,,,,,
10477,,,,,,,,,,,,,,,0.309097,0.278193,,,,,,,,,,,,
10477,,,,,,,,,,,,,37.697830,46.075123,,,,,,,,,,,,,,
10482,,,,,,,,,,,,,,,,,,,,-0.087284,-0.885863,1.695948,,,,,,
10487,,,,,,,,,,,,,,,0.275270,0.258578,,,,,,,,,,,,
10487,,,,,,,,,,,,,41.424911,48.329063,,,,,,,,,,,,,,
10489,,,,,,,,,,,,,,,,,,,,-0.087894,-0.879189,1.707034,,,,,,
10497,,,,,,,,,,,,,,,0.243917,0.297128,,,,,,,,,,,,
10497,,,,,,,,,,,,,44.836414,44.836414,,,,,,,,,,,,,,
10500,,,,,,,,,,,,,,,,,,,,-0.088566,-0.872623,1.718060,,,,,,
10507,,,,,,,,,,,,,,,0.282747,0.266608,,,,,,,,,,,,
10507,,,,,,,,,,,,,41.300339,48.183727,,,,,,,,,,,,,,
10510,,,,,,,,,,,,,,,,,,,,-0.089338,-0.865838,1.725414,,,,,,
10518,,,,-0.038114,-0.789875,1.773337,0.767646,-0.162389,,,,,,,,,,,,,,,,,,,,
10518,,,,,,,,,,,66.742516,66.670677,,,,,,,,,,,,,,,,
10518,,,,,,,,,,,,,,,,,0.066783,-0.062446,0.047387,,,,,,,,,
10518,,,,,,,,,,,,,,,0.341166,0.290205,,,,,,,,,,,,
10518,,,,,,,,,,,,,44.010868,49.878986,,,,,,,,,,,,,,
10520,,,,,,,,,,,,,,,,,,,,-0.090103,-0.858417,1.732648,,,,,,
10527,,,,,,,,,,,,,,,0.325515,0.247929,,,,,,,,,,,,
10527,,,,,,,,,,,,,45.990963,54.352962,,,,,,,,,,,,,,
10531,,,,,,,,,,,,,,,,,,,,-0.091000,-0.850945,1.747203,,,,,,
10537,,,,,,,,,,,,,,,0.271242,0.277261,,,,,,,,,,,,
10537,,,,,,,,,,,,,51.718739,51.718739,,,,,,,,,,,,,,
10541,,,,,,,,,,,,,,,,,,,,-0.091881,-0.843374,1.750781,,,,,,
10547,,,,,,,,,,,,,,,0.308425,0.279190,,,,,,,,,,,,
10547,,,,,,,,,,,,,48.367970,51.822823,,,,,,,,,,,,,,
10552,,,,,,,,,,,,,,,,,,,,-0.093026,-0.835923,1.754409,,,,,,
10557,,,,,,,,,,,,,,,0.278663,0.283962,,,,,,,,,,,,
