ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
41465,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41474,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.210000
41473,,,,,,,,,,,,,,,,,,,,-0.065696,-0.977898,1.216664,,,,,,
41475,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41484,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
41483,,,,,,,,,,,,,,,,,,,,-0.065696,-0.977896,1.216664,,,,,,
41485,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41494,,,,,,,,,,,,,,,,,,,,-0.065697,-0.977897,1.216664,,,,,,-0.350000
41495,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41504,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
41502,,,,,,,,,,,,,,,,,,,,-0.065696,-0.977895,1.216664,,,,,,
41505,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41514,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
41512,,,,,,,,,,,,,,,,,,,,-0.065709,-0.977906,1.220038,,,,,,
41516,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
41517,,,,,,,,,,,17.099655,30.545855,0.000000,0.000000,0.174416,0.311568,0.027800,-0.057843,0.462173,,,,,,,,,
41524,,,,,,,,,,,,,,,,,,,,-0.065695,-0.977897,1.216664,,,,,,-0.420000
41525,,,,,,,,,,,,,0.000000,0.686255,0.177836,0.310677,,,,,,,,,,,,
41534,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.840000
41532,,,,,,,,,,,,,,,,,,,,-0.065658,-0.977962,1.220052,,,,,,
41535,,,,,,,,,,,,,0.548382,3.319324,0.175663,0.289792,,,,,,,,,,,,
41544,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.020000
41543,,,,,,,,,,,,,,,,,,,,-0.065602,-0.978026,1.226793,,,,,,
41545,,,,,,,,,,,,,1.010177,6.085491,0.174263,0.267022,,,,,,,,,,,,
41554,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.369999
41559,,,,,,,,,,,,,1.247237,9.490343,0.175063,0.237185,,,,,,,,,,,,
41553,,,,,,,,,,,,,,,,,,,,-0.065258,-0.977336,1.233572,,,,,,
41564,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.160000
41563,,,,,,,,,,,,,,,,,,,,-0.064849,-0.976322,1.240360,,,,,,
41566,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
