ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
44041,,,,,,,,,,,,,,,,,,,,1.020138,-0.015200,1.528198,,,,,,
44046,,,,,,,,,,,,,,,,,,,,,,,-0.040321,-0.005673,1.017114,0.770000,0.350000,-0.210000
44047,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
44051,,,,,,,,,,,,,,,,,,,,1.020179,-0.015192,1.528198,,,,,,
44056,,,,,,,,,,,,,,,,,,,,,,,-0.040321,-0.005673,1.017114,0.700000,0.140000,-0.280000
44057,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
44059,,,,,,,,,,,,,,,,,,,,1.020180,-0.015201,1.528198,,,,,,
44065,,,,,,,,,,,,,,,,,,,,,,,-0.040077,-0.005307,1.018456,0.560000,-0.140000,-0.280000
44067,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
44069,,,,,,,,,,,,,,,,,,,,1.020185,-0.015209,1.528198,,,,,,
44075,,,,,,,,,,,,,,,,,,,,,,,-0.040077,-0.005307,1.018456,0.770000,0.280000,-0.210000
44077,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
44079,,,,,,,,,,,,,,,,,,,,1.020176,-0.015202,1.528194,,,,,,
44086,,,,,,,,,,,,,,,,,,,,,,,-0.039833,-0.005917,1.017846,0.630000,0.070000,-0.280000
44087,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
44089,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,3.223191,3.248521,,,,,0.014817,0.020826,0.043090,1.020167,-0.015207,1.528194,,,,,,
44096,,,,,,,,,,,,,,,,,,,,,,,-0.039833,-0.005917,1.017846,0.770000,0.350000,-0.350000
44097,,,,,,,,,,,,,0.000000,0.000000,0.061291,0.061773,,,,,,,,,,,,
44100,,,,,,,,,,,,,,,,,,,,1.020168,-0.015209,1.528194,,,,,,
44106,,,,,,,,,,,,,,,,,,,,,,,-0.039711,-0.005856,1.018639,0.630000,0.070000,-0.280000
44107,,,,,,,,,,,,,0.000000,0.000000,0.061291,0.061773,,,,,,,,,,,,
44111,,,,,,,,,,,,,,,,,,,,1.020123,-0.015205,1.528194,,,,,,
44117,,,,,,,,,,,,,0.000000,0.000000,0.061291,0.061773,,,,,,,,,,,,
44119,,,,,,,,,,,,,,,,,,,,,,,-0.033306,-0.006893,1.019005,0.910000,0.560000,-2.240000
44121,,,,,,,,,,,,,,,,,,,,1.020067,-0.015167,1.528197,,,,,,
44125,,,,,,,,,,,,,,,,,,,,,,,-0.033306,-0.006893,1.019005,0.560000,0.630000,-1.260000
44127,,,,,,,,,,,,,0.000000,0.000000,0.061291,0.061773,,,,,,,,,,,,
44128,,,,,,,,,,,,,,,,,,,,1.020101,-0.015205,1.528194,,,,,,
44136,,,,,,,,,,,,,,,,,,,,,,,-0.033306,-0.006893,1.019005,0.490000,0.840000,-1.330000
44137,,,,,,,,,,,,,0.000000,0.000000,0.061291,0.061773,,,,,,,,,,,,
44139,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,4.093281,4.192804,,,,,0.015954,0.020807,0.044223,,,,,,,,,
44142,,,,,,,,,,,,,,,,,,,,1.020094,-0.015146,1.528194,,,,,,
44146,,,,,,,,,,,,,,,,,,,,,,,-0.040199,-0.005734,1.016077,0.840000,0.350000,-1.540000
44147,,,,,,,,,,,,,0.000000,0.000000,0.077837,0.079729,,,,,,,,,,,,
44149,,,,,,,,,,,,,,,,,,,,1.020100,-0.015122,1.528198,,,,,,
44157,,,,,,,,,,,,,0.000000,0.546620,0.077837,0.069335,,,,,,,,,,,,
44159,,,,,,,,,,,,,,,,,,,,1.020113,-0.015106,1.528198,-0.042517,-0.005368,1.019859,0.630000,0.140000,-2.310000
44165,,,,,,,,,,,,,,,,,,,,,,,-0.042517,-0.005368,1.019859,0.770000,-1.470000,-2.730000
44167,,,,,,,,,,,,,0.000000,0.459926,0.077837,0.070983,,,,,,,,,,,,
44169,,,,,,,,,,,,,,,,,,,,1.020094,-0.015075,1.528194,,,,,,
44175,,,,,,,,,,,,,,,,,,,,,,,-0.042517,-0.005795,1.018944,0.420000,-1.890000,2.800000
44177,,,,,,,,,,,,,0.547665,0.386982,0.067423,0.072371,,,,,,,,,,,,
44181,,,,,,,,,,,,,,,,,,,,1.020079,-0.015037,1.528197,,,,,,
44185,,,,,,,,,,,,,,,,,,,,,,,-0.006771,-0.005795,1.018944,0.140000,-2.730000,6.090000
44187,,,,,,,,,,,,,0.460805,0.873768,0.069074,0.063114,,,,,,,,,,,,
44189,,,,0.999993,0.003784,1.574580,0.031924,0.031924,,,,,,,,,,,,,,,,,,,,
44190,,,,,,,,,,,5.526414,5.746774,,,,,0.017924,0.020867,0.046072,,,,,,,,,
44191,,,,,,,,,,,,,,,,,,,,1.020003,-0.014885,1.528198,,,,,,
44196,,,,,,,,,,,,,,,,,,,,,,,0.005063,-0.002989,1.022055,-0.070000,-0.070000,14.070000
44197,,,,,,,,,,,,,0.387721,0.735188,0.097716,0.095299,,,,,,,,,,,,
44201,,,,,,,,,,,,,,,,,,,,1.020074,-0.014749,1.532034,,,,,,
