ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
25758,,,,,,,,,,,,,,,,,,,,,,,-0.039101,-0.006283,1.016992,0.700000,0.210000,-0.280000
25760,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
25763,,,,,,,,,,,,,,,,,,,,1.009942,-0.016313,1.563167,,,,,,
25768,,,,,,,,,,,,,,,,,,,,1.009990,-0.016305,1.563223,-0.039101,-0.006283,1.016992,0.630000,0.070000,-0.280000
25770,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
25778,,,,,,,,,,,,,,,,,,,,1.010011,-0.016300,1.563223,-0.039345,-0.007320,1.017785,0.630000,0.140000,-0.280000
25780,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
25788,,,,,,,,,,,,,,,,,,,,1.009978,-0.016312,1.563224,-0.039345,-0.007320,1.017785,0.630000,0.210000,-0.280000
25790,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
25798,,,,,,,,,,,,,,,,,,,,1.009992,-0.016277,1.563223,-0.039284,-0.007015,1.017175,0.700000,0.140000,-0.210000
25800,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
25808,,,,1.000000,0.000284,1.571080,0.002145,0.002145,,,3.470447,3.483300,,,,,0.016485,0.010117,0.007857,1.009969,-0.016312,1.563223,,,,,,
25810,,,,,,,,,,,,,0.000000,0.000000,0.065993,0.066238,,,,,,,,,,,,
25811,,,,,,,,,,,,,,,,,,,,,,,-0.039284,-0.007015,1.017175,0.700000,0.280000,-0.280000
25818,,,,,,,,,,,,,,,,,,,,1.009960,-0.016312,1.563167,-0.039406,-0.007259,1.018639,0.700000,0.070000,-0.210000
25820,,,,,,,,,,,,,0.000000,0.000000,0.065993,0.066238,,,,,,,,,,,,
25828,,,,,,,,,,,,,,,,,,,,1.009921,-0.016281,1.563167,,,,,,
25830,,,,,,,,,,,,,0.000000,0.000000,0.065993,0.066238,,,,,,,,,,,,
25831,,,,,,,,,,,,,,,,,,,,,,,-0.039406,-0.006527,1.017602,0.840000,1.050000,-1.540000
25838,,,,,,,,,,,,,,,,,,,,,,,-0.033001,-0.006527,1.017602,0.700000,1.330000,-0.490000
25840,,,,,,,,,,,,,0.000000,0.000000,0.065993,0.066238,,,,,,,,,,,,
25839,,,,,,,,,,,,,,,,,,,,1.009955,-0.016236,1.563223,,,,,,
25848,,,,,,,,,,,,,,,,,,,,,,,-0.033001,-0.006527,1.017602,0.630000,0.280000,-1.120000
25850,,,,,,,,,,,,,0.000000,0.000000,0.065993,0.066238,,,,,,,,,,,,
25849,,,,,,,,,,,,,,,,,,,,1.009964,-0.016243,1.559324,,,,,,
25858,,,,1.000000,0.000945,1.571742,0.008438,0.008438,,,3.966794,4.017921,,,,,0.017078,0.010157,0.012094,,,,,,,,,
25860,,,,,,,,,,,,,,,,,,,,1.009884,-0.016225,1.563223,-0.043676,-0.007320,1.018883,0.630000,0.000000,-0.910000
25861,,,,,,,,,,,,,0.000000,0.000000,0.075432,0.076404,,,,,,,,,,,,
25867,,,,,,,,,,,,,,,,,,,,1.009970,-0.016232,1.559324,,,,,,
25870,,,,,,,,,,,,,0.000000,0.000000,0.075432,0.076404,,,,,,,,,,,,
25872,,,,,,,,,,,,,,,,,,,,,,,-0.041785,-0.004392,1.017236,0.700000,0.420000,-0.770000
25878,,,,,,,,,,,,,,,,,,,,1.009993,-0.016248,1.559324,-0.041785,-0.004392,1.017236,0.700000,0.000000,-1.470000
25880,,,,,,,,,,,,,0.000000,0.000000,0.075432,0.076404,,,,,,,,,,,,
25888,,,,,,,,,,,,,,,,,,,,1.009997,-0.016220,1.559324,-0.041785,-0.007137,1.017968,0.630000,0.630000,-1.540000
25890,,,,,,,,,,,,,0.000000,0.000000,0.075432,0.076404,,,,,,,,,,,,
25898,,,,,,,,,,,,,,,,,,,,1.009915,-0.016177,1.563223,-0.034709,-0.007137,1.017968,0.630000,0.210000,-1.820000
25900,,,,,,,,,,,,,0.562428,0.000000,0.064737,0.076404,,,,,,,,,,,,
25908,,,,0.999998,0.002212,1.573009,0.018665,0.018665,,,4.824453,4.937042,,,,,,,,1.009872,-0.016128,1.559324,,,,,,
25909,,,,,,,,,,,,,,,,,0.018293,0.010074,0.010509,,,,,,,,,
25910,,,,,,,,,,,,,0.473227,0.000000,0.082742,0.093882,,,,,,,,,,,,
25911,,,,,,,,,,,,,,,,,,,,,,,-0.026169,-0.006405,1.017358,0.770000,0.700000,-1.540000
25918,,,,,,,,,,,,,,,,,,,,1.009861,-0.016090,1.559324,-0.026169,-0.006405,1.017358,0.700000,1.330000,2.450000
25920,,,,,,,,,,,,,0.398173,0.000000,0.084169,0.093882,,,,,,,,,,,,
25930,,,,,,,,,,,,,0.335023,0.548603,0.085370,0.083449,,,,,,,,,,,,
25931,,,,,,,,,,,,,,,,,,,,,,,-0.014701,-0.003355,1.026386,0.210000,-10.710000,15.400000
25929,,,,,,,,,,,,,,,,,,,,1.009860,-0.016051,1.563223,,,,,,
25938,,,,,,,,,,,,,,,,,,,,,,,-0.014701,-0.003355,1.026386,-0.210000,-6.160000,20.510000
25940,,,,,,,,,,,,,0.281888,0.461594,0.086380,0.085104,,,,,,,,,,,,
25939,,,,,,,,,,,,,,,,,,,,1.009448,-0.015806,1.563044,,,,,,
25948,,,,,,,,,,,,,,,,,,,,,,,0.019459,-0.003843,1.011563,-0.210000,7.490000,23.450001
25950,,,,,,,,,,,,,0.237181,0.938151,0.087230,0.076042,,,,,,,,,,,,
25949,,,,,,,,,,,,,,,,,,,,1.009387,-0.015469,1.562999,,,,,,
25958,,,,0.999991,0.004266,1.575062,0.032618,0.032618,,,5.940711,6.137537,,,,,0.019685,0.009586,0.011578,,,,,,,,,
25960,,,,,,,,,,,,,,,,,,,,,,,0.019459,-0.003843,1.011563,-0.350000,6.510000,20.370001
25961,,,,,,,,,,,,,0.199564,1.285076,0.109172,0.092273,,,,,,,,,,,,
25959,,,,,,,,,,,,,,,,,,,,1.009568,-0.015152,1.566901,,,,,,
