ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18633,,,,,,,,,,,,,,,,,,,,,,,-0.036051,-0.012200,1.015345,0.700000,0.210000,-0.210000
18635,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18634,,,,,,,,,,,,,,,,,,,,0.991980,-0.006987,1.535908,,,,,,
18643,,,,,,,,,,,,,,,,,,,,,,,-0.036234,-0.012261,1.015833,0.630000,0.210000,-0.350000
18645,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18644,,,,,,,,,,,,,,,,,,,,0.992000,-0.006980,1.535935,,,,,,
18653,,,,,,,,,,,,,,,,,,,,,,,-0.036234,-0.012261,1.015833,0.560000,0.070000,-0.280000
18655,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18654,,,,,,,,,,,,,,,,,,,,0.992001,-0.006984,1.535935,,,,,,
18663,,,,,,,,,,,,,,,,,,,,,,,-0.035624,-0.011651,1.016077,0.700000,0.280000,-0.350000
18665,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18664,,,,,,,,,,,,,,,,,,,,0.991999,-0.006987,1.535935,,,,,,
18673,,,,,,,,,,,,,,,,,,,,,,,-0.035624,-0.011651,1.016077,0.630000,0.210000,-0.280000
18675,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
18674,,,,,,,,,,,,,,,,,,,,0.991981,-0.006990,1.535908,,,,,,
18679,,,,1.000000,0.000120,1.570917,0.000909,0.000909,,,1.551657,1.557007,,,,,0.007385,-0.007766,0.035009,,,,,,,,,
18685,,,,,,,,,,,,,0.000000,0.000000,0.029506,0.029608,,,,0.991993,-0.006982,1.535908,-0.036417,-0.012383,1.015772,0.630000,0.070000,-0.280000
18693,,,,,,,,,,,,,,,,,,,,,,,-0.036417,-0.012383,1.015772,0.630000,0.210000,-0.280000
18695,,,,,,,,,,,,,0.000000,0.000000,0.029506,0.029608,,,,,,,,,,,,
18694,,,,,,,,,,,,,,,,,,,,0.992010,-0.006977,1.535935,,,,,,
18703,,,,,,,,,,,,,,,,,,,,,,,-0.036783,-0.011956,1.015894,0.700000,0.140000,-0.630000
18709,,,,,,,,,,,,,0.000000,0.000000,0.029506,0.029608,,,,,,,,,,,,
18704,,,,,,,,,,,,,,,,,,,,0.991998,-0.006992,1.535908,,,,,,
18714,,,,,,,,,,,,,,,,,,,,,,,-0.036783,-0.011956,1.015894,0.630000,0.210000,-0.140000
18715,,,,,,,,,,,,,0.000000,0.000000,0.029506,0.029608,,,,0.991990,-0.006986,1.535935,,,,,,
18723,,,,,,,,,,,,,,,,,,,,,,,-0.036783,-0.011712,1.016260,0.770000,0.140000,-0.350000
18725,,,,,,,,,,,,,0.000000,0.000000,0.029506,0.029608,,,,,,,,,,,,
18724,,,,,,,,,,,,,,,,,,,,0.992006,-0.006988,1.535908,,,,,,
18729,,,,1.000000,0.000403,1.571199,0.003590,0.003590,,,1.768882,1.790028,,,,,0.007666,-0.007734,0.035291,,,,,,,,,
18735,,,,,,,,,,,,,0.000000,0.000000,0.033637,0.034039,,,,,,,-0.036783,-0.011712,1.016260,0.700000,0.000000,-0.280000
18734,,,,,,,,,,,,,,,,,,,,0.991984,-0.006981,1.535907,,,,,,
18743,,,,,,,,,,,,,,,,,,,,,,,-0.037149,-0.011590,1.015894,0.630000,0.210000,-0.280000
18749,,,,,,,,,,,,,0.000000,0.000000,0.033637,0.034039,,,,,,,,,,,,
18744,,,,,,,,,,,,,,,,,,,,0.992009,-0.006982,1.535935,,,,,,
18755,,,,,,,,,,,,,0.000000,0.000000,0.033637,0.034039,,,,,,,-0.037149,-0.011590,1.015894,0.630000,-0.070000,-0.350000
18754,,,,,,,,,,,,,,,,,,,,0.992008,-0.006969,1.535935,,,,,,
18763,,,,,,,,,,,,,,,,,,,,,,,-0.036966,-0.011834,1.017114,0.630000,0.280000,-0.210000
18765,,,,,,,,,,,,,0.000000,0.000000,0.033637,0.034039,,,,,,,,,,,,
18764,,,,,,,,,,,,,,,,,,,,0.991982,-0.006982,1.535908,,,,,,
18773,,,,,,,,,,,,,,,,,,,,,,,-0.036966,-0.011834,1.017114,0.700000,0.140000,-0.280000
18775,,,,,,,,,,,,,0.000000,0.000000,0.033637,0.034039,,,,,,,,,,,,
18774,,,,,,,,,,,,,,,,,,,,0.991989,-0.006982,1.535935,,,,,,
18779,,,,1.000000,0.000945,1.571742,0.007976,0.007976,,,2.139967,2.187012,,,,,0.008202,-0.007729,0.035810,,,,,,,,,
18785,,,,,,,,,,,,,0.000000,0.000000,0.040693,0.041588,,,,,,,-0.036234,-0.012139,1.016565,0.700000,0.350000,-0.280000
18784,,,,,,,,,,,,,,,,,,,,0.992002,-0.006969,1.535935,,,,,,
18793,,,,,,,,,,,,,,,,,,,,,,,-0.036234,-0.012139,1.016565,0.840000,-0.070000,0.070000
18795,,,,,,,,,,,,,0.000000,0.000000,0.040693,0.041588,,,,,,,,,,,,
18794,,,,,,,,,,,,,,,,,,,,0.992003,-0.006980,1.535935,,,,,,
18803,,,,,,,,,,,,,,,,,,,,,,,-0.034465,-0.011407,1.014674,0.280000,-1.680000,4.760000
18809,,,,,,,,,,,,,0.000000,0.379076,0.040693,0.034379,,,,,,,,,,,,
18804,,,,,,,,,,,,,,,,,,,,0.991980,-0.006975,1.535935,,,,,,
18814,,,,,,,,,,,,,,,,,,,,0.991972,-0.006958,1.535908,-0.034465,-0.016653,1.014613,0.770000,2.590000,0.840000
18815,,,,,,,,,,,,,0.000000,0.318955,0.040693,0.035523,,,,,,,,,,,,
18823,,,,,,,,,,,,,,,,,,,,,,,-0.021655,-0.016653,1.014613,0.700000,4.480000,0.210000
18825,,,,,,,,,,,,,0.000000,0.268369,0.040693,0.036484,,,,0.991996,-0.006884,1.535908,,,,,,
18829,,,,0.999998,0.001829,1.572625,0.013999,0.013999,,,,,,,,,,,,,,,,,,,,
18830,,,,,,,,,,,2.658750,2.741488,,,,,0.008985,-0.007695,0.036513,,,,,,,,,
18835,,,,,,,,,,,,,0.000000,0.225805,0.050558,0.047838,,,,,,,-0.051667,-0.009882,1.020347,0.700000,0.420000,0.490000
18834,,,,,,,,,,,,,,,,,,,,0.992037,-0.006846,1.535908,,,,,,
18843,,,,,,,,,,,,,,,,,,,,,,,-0.051667,-0.009882,1.020347,0.770000,-1.400000,0.350000
18845,,,,,,,,,,,,,0.000000,0.189993,0.050558,0.048519,,,,,,,,,,,,
18844,,,,,,,,,,,,,,,,,,,,0.992021,-0.006889,1.535908,,,,,,
18853,,,,,,,,,,,,,,,,,,,,,,,-0.041968,-0.011041,1.017480,0.700000,-1.960000,0.000000
18855,,,,,,,,,,,,,0.000000,0.159860,0.050558,0.049092,,,,0.992008,-0.006923,1.535908,,,,,,
18863,,,,,,,,,,,,,,,,,,,,,,,-0.041968,-0.011041,1.017480,0.700000,-2.800000,-0.210000
18869,,,,,,,,,,,,,0.000000,0.134506,0.050558,0.049574,,,,,,,,,,,,
18864,,,,,,,,,,,,,,,,,,,,0.991986,-0.006946,1.535907,,,,,,
18874,,,,,,,,,,,,,,,,,,,,0.992004,-0.006934,1.535907,-0.030744,-0.014091,1.014064,0.700000,0.700000,0.000000
18875,,,,,,,,,,,,,0.000000,0.113173,0.050558,0.049979,,,,,,,,,,,,
18879,,,,0.999995,0.003130,1.573926,0.021594,0.021594,,,,,,,,,,,,,,,,,,,,
18880,,,,,,,,,,,3.384886,3.513020,,,,,0.010328,-0.007637,0.037917,,,,,,,,,
