ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
75199,,,,,,,,,,,,,,,,,,,,,,,-0.043127,-0.004087,1.017358,0.700000,0.210000,-0.280000
75200,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
75203,,,,0.000019,0.000019,0.785398,0.000000,0.000000,,,-16.390102,-16.390102,,,,,-0.080842,-0.114665,0.105478,,,,,,,,,
75205,,,,,,,,,,,,,,,,,,,,-0.009219,0.140013,0.679920,,,,,,
75209,,,,,,,,,,,,,,,,,,,,-0.009222,0.140013,0.679920,-0.043127,-0.004087,1.017358,0.840000,0.280000,-0.280000
75210,,,,,,,,,,,,,0.000000,0.000000,-0.311670,-0.311670,,,,,,,,,,,,
75219,,,,,,,,,,,,,,,,,,,,,,,-0.042700,-0.004758,1.017968,0.770000,-0.910000,-0.140000
75217,,,,,,,,,,,,,,,,,,,,-0.009225,0.140013,0.679920,,,,,,
75220,,,,,,,,,,,,,-1.643490,-1.643490,-0.280418,-0.280418,,,,,,,,,,,,
75229,,,,,,,,,,,,,,,,,,,,,,,-0.042700,-0.004758,1.017968,1.050000,70.419998,14.770000
75228,,,,,,,,,,,,,,,,,,,,-0.009204,0.140016,0.682857,,,,,,
75230,,,,,,,,,,,,,-3.025992,-3.573712,-0.254128,-0.243713,,,,,,,,,,,,
75235,,,,,,,,,,,,,,,,,,,,-0.009040,0.140089,0.685859,,,,,,
75239,,,,,,,,,,,,,,,,,,,,,,,-0.437614,0.007930,0.968619,-2.100000,170.449997,7.770000
75240,,,,,,,,,,,,,-4.193704,-4.654555,-0.231924,-0.223160,,,,,,,,,,,,
75248,,,,0.000298,0.000298,0.785398,0.002320,-0.000000,,,,,,,,,,,,,,,,,,,,
75249,,,,,,,,,,,-16.255816,-16.260036,,,,,-0.080905,-0.114169,0.100379,,,,,,,,,
75245,,,,,,,,,,,,,,,,,,,,-0.008684,0.140529,0.686186,,,,,,
75250,,,,,,,,,,,,,-5.714406,-6.102165,-0.200453,-0.193159,,,,,,,,,,,,
75252,,,,,,,,,,,,,,,,,,,,,,,-0.437614,0.007930,0.968619,2.030000,230.229996,15.400000
75262,,,,,,,,,,,,,-7.599437,-7.460474,-0.164607,-0.167330,,,,,,,,,,,,
75255,,,,,,,,,,,,,,,,,,,,-0.008274,0.140916,0.686845,,,,,,
75264,,,,,,,,,,,,,,,,,,,,,,,-0.418765,-0.009028,1.097939,-1.610000,80.849998,10.570000
75265,,,,,,,,,,,,,,,,,,,,-0.009065,0.140317,0.687338,,,,,,
75269,,,,,,,,,,,,,,,,,,,,,,,-0.418765,-0.009028,1.097939,3.080000,-58.380001,5.110000
75270,,,,,,,,,,,,,-9.736151,-8.950831,-0.123976,-0.138990,,,,,,,,,,,,
75275,,,,,,,,,,,,,,,,,,,,-0.011037,0.138584,0.695205,,,,,,
