ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
11652,,,,,,,,,,,,,,,,,,,,,,,-0.044164,-0.003538,1.015101,0.700000,0.210000,-0.280000
11654,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
11656,,,,,,,,,,,,,,,,,,,,0.006830,0.001498,0.792652,,,,,,
11663,,,,,,,,,,,,,,,,,,,,,,,-0.044408,-0.003111,1.015467,0.630000,0.280000,-0.280000
11664,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
11667,,,,,,,,,,,,,,,,,,,,0.006816,0.001505,0.792658,,,,,,
11673,,,,,,,,,,,,,,,,,,,,,,,-0.044408,-0.003111,1.015467,0.630000,0.210000,-0.280000
11674,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
11675,,,,,,,,,,,,,,,,,,,,0.006823,0.001500,0.792652,,,,,,
11683,,,,,,,,,,,,,,,,,,,,,,,-0.043676,-0.002989,1.016321,0.630000,0.210000,-0.280000
11684,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
11685,,,,,,,,,,,,,,,,,,,,0.006867,0.001498,0.792652,,,,,,
11693,,,,,,,,,,,,,,,,,,,,,,,-0.043676,-0.002989,1.016382,0.630000,0.210000,-0.210000
11694,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
11696,,,,,,,,,,,,,,,,,,,,0.006837,0.001496,0.792652,,,,,,
11701,,,,0.000224,0.000224,0.785398,0.001740,-0.000000,,,,,,,,,,,,,,,,,,,,
11702,,,,,,,,,,,-1.015596,-1.015595,,,,,-0.005548,0.003817,-0.007254,,,,,,,,,
11704,,,,,,,,,,,,,,,,,,,,,,,-0.042822,-0.002806,1.016382,0.560000,0.140000,-0.210000
11705,,,,,,,,,,,,,0.000000,0.000000,-0.019312,-0.019312,,,,,,,,,,,,
11706,,,,,,,,,,,,,,,,,,,,0.006858,0.001499,0.792652,,,,,,
11714,,,,,,,,,,,,,0.000000,0.000000,-0.019312,-0.019312,,,,,,,,,,,,
11716,,,,,,,,,,,,,,,,,,,,,,,-0.044042,-0.002440,1.015528,0.630000,0.000000,-0.350000
11717,,,,,,,,,,,,,,,,,,,,0.006875,0.001482,0.792652,,,,,,
11723,,,,,,,,,,,,,,,,,,,,,,,-0.044042,-0.002440,1.015528,0.560000,0.070000,-0.280000
11724,,,,,,,,,,,,,0.000000,0.000000,-0.019312,-0.019312,,,,,,,,,,,,
11727,,,,,,,,,,,,,,,,,,,,0.006858,0.001483,0.792652,,,,,,
