ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
37299,,,,,,,,,,,,,,,,,,,,,,,-0.029829,-0.008906,1.016748,0.630000,0.140000,-0.280000
37301,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
37302,,,,,,,,,,,,,,,,,,,,0.023223,-0.044532,0.742050,,,,,,
37309,,,,,,,,,,,,,,,,,,,,,,,-0.029097,-0.008357,1.017968,0.770000,0.140000,-0.280000
37311,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.023215,-0.044529,0.742050,,,,,,
37319,,,,,,,,,,,,,,,,,,,,,,,-0.029097,-0.008357,1.017968,0.630000,0.280000,-0.280000
37321,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.023212,-0.044530,0.742050,,,,,,
37329,,,,,,,,,,,,,,,,,,,,,,,-0.029646,-0.009028,1.017846,0.560000,0.140000,-0.280000
37331,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.023232,-0.044563,0.742050,,,,,,
37339,,,,,,,,,,,,,,,,,,,,,,,-0.029646,-0.009028,1.017968,0.700000,0.280000,-0.280000
37341,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
37345,,,,0.000069,0.000069,0.785398,0.000741,-0.000000,,,2.699588,2.701149,,,,,0.013090,0.048551,0.043348,,,,,,,,,
37342,,,,,,,,,,,,,,,,,,,,0.023237,-0.044569,0.742083,,,,,,
37351,,,,,,,,,,,,,0.000000,0.000000,0.051335,0.051364,,,,0.023230,-0.044569,0.742083,-0.031293,-0.007564,1.017968,0.560000,0.140000,-0.280000
37359,,,,,,,,,,,,,,,,,,,,,,,-0.029524,-0.008357,1.017602,0.630000,0.280000,-0.280000
37361,,,,,,,,,,,,,0.000000,0.000000,0.051335,0.051364,,,,,,,,,,,,
37362,,,,,,,,,,,,,,,,,,,,0.023221,-0.044548,0.742083,,,,,,
37371,,,,,,,,,,,,,,,,,,,,0.023237,-0.044541,0.742083,-0.029524,-0.008357,1.017602,0.700000,0.980000,-0.770000
37372,,,,,,,,,,,,,0.000000,0.000000,0.051335,0.051364,,,,,,,,,,,,
37379,,,,,,,,,,,,,,,,,,,,,,,-0.028060,-0.008601,1.016809,0.560000,0.980000,0.070000
37381,,,,,,,,,,,,,0.000000,0.000000,0.051335,0.051364,,,,0.023235,-0.044539,0.742083,,,,,,
37389,,,,,,,,,,,,,,,,,,,,,,,-0.028060,-0.008601,1.016809,0.700000,0.700000,-0.350000
37391,,,,,,,,,,,,,0.000000,0.000000,0.051335,0.051364,,,,0.023227,-0.044536,0.742050,,,,,,
37395,,,,0.000232,0.000232,0.785398,0.002925,-0.000001,,,2.878260,2.884418,,,,,0.013307,0.048540,0.043348,,,,,,,,,
37401,,,,,,,,,,,,,0.000000,0.000000,0.054732,0.054849,,,,0.023255,-0.044554,0.742050,-0.032513,-0.009089,1.018639,0.700000,0.140000,-0.280000
37409,,,,,,,,,,,,,,,,,,,,,,,-0.032513,-0.009089,1.018639,0.630000,-0.070000,-0.490000
37411,,,,,,,,,,,,,0.000000,0.000000,0.054732,0.054849,,,,0.023248,-0.044551,0.742083,,,,,,
37419,,,,,,,,,,,,,,,,,,,,,,,-0.031232,-0.009333,1.018944,0.630000,-0.280000,-0.420000
37426,,,,,,,,,,,,,0.000000,0.000000,0.054732,0.054849,,,,,,,,,,,,
37422,,,,,,,,,,,,,,,,,,,,0.023230,-0.044546,0.742083,,,,,,
37431,,,,,,,,,,,,,,,,,,,,,,,-0.031232,-0.009333,1.018944,0.630000,0.140000,-0.490000
37432,,,,,,,,,,,,,,,,,,,,0.023224,-0.044540,0.742050,,,,,,
37439,,,,,,,,,,,,,,,,,,,,,,,-0.027450,-0.009760,1.017602,0.560000,0.630000,-0.350000
37441,,,,,,,,,,,,,0.000000,0.000000,0.054732,0.054849,,,,0.023194,-0.044474,0.742083,,,,,,
37445,,,,0.000545,0.000545,0.785397,0.006499,-0.000005,,,3.185123,3.198776,,,,,0.013733,0.048494,0.043317,,,,,,,,,
37451,,,,,,,,,,,,,0.000000,0.000000,0.060567,0.060827,,,,0.023219,-0.044488,0.742050,-0.027450,-0.009760,1.017602,0.630000,0.280000,-0.350000
37459,,,,,,,,,,,,,,,,,,,,,,,-0.030195,-0.009089,1.018883,0.630000,0.210000,-0.490000
37461,,,,,,,,,,,,,0.000000,0.000000,0.060567,0.060827,,,,0.023224,-0.044505,0.742050,,,,,,
37471,,,,,,,,,,,,,,,,,,,,0.023207,-0.044482,0.742050,-0.030195,-0.009089,1.018883,0.630000,-0.490000,-2.100000
37472,,,,,,,,,,,,,0.000000,0.000000,0.060567,0.060827,,,,,,,,,,,,
37479,,,,,,,,,,,,,,,,,,,,,,,-0.025864,-0.010004,1.018578,0.770000,0.210000,-2.380000
37481,,,,,,,,,,,,,0.000000,0.000000,0.060567,0.060827,,,,,,,,,,,,
37482,,,,,,,,,,,,,,,,,,,,0.023221,-0.044466,0.742050,,,,,,
37489,,,,,,,,,,,,,,,,,,,,,,,-0.025864,-0.010004,1.018578,0.700000,0.630000,-3.010000
37491,,,,,,,,,,,,,0.000000,0.000000,0.060567,0.060827,,,,,,,,,,,,
37492,,,,,,,,,,,,,,,,,,,,0.023276,-0.044516,0.742050,,,,,,
37495,,,,0.001054,0.001054,0.785396,0.011407,-0.000020,,,3.627177,3.651120,,,,,0.014420,0.048600,0.043344,,,,,,,,,
37501,,,,,,,,,,,,,0.528785,0.000000,0.058918,0.069429,,,,0.023293,-0.044493,0.742055,-0.017080,-0.008784,1.019127,0.630000,1.820000,-4.900000
37509,,,,,,,,,,,,,,,,,,,,,,,-0.017080,-0.008784,1.019127,0.630000,2.100000,-5.950000
37511,,,,,,,,,,,,,0.444920,0.000000,0.060513,0.069429,,,,0.023302,-0.044423,0.739115,,,,,,
37519,,,,,,,,,,,,,,,,,,,,,,,-0.015860,-0.008540,1.015894,0.700000,3.290000,-5.600000
37521,,,,,,,,,,,,,0.374356,0.000000,0.061855,0.069429,,,,,,,,,,,,
37522,,,,,,,,,,,,,,,,,,,,0.023312,-0.044347,0.739115,,,,,,
37531,,,,,,,,,,,,,0.314983,0.000000,0.062984,0.069429,,,,0.023353,-0.044282,0.739115,,,,,,
37532,,,,,,,,,,,,,,,,,,,,,,,-0.031903,-0.009333,1.016565,0.630000,3.500000,-4.900000
37539,,,,,,,,,,,,,,,,,,,,,,,-0.031903,-0.009333,1.016565,0.840000,2.800000,-3.780000
37541,,,,,,,,,,,,,0.265026,0.000000,0.063934,0.069429,,,,0.023385,-0.044225,0.739086,,,,,,
37545,,,,0.001803,0.001803,0.785391,0.017596,-0.000059,,,,,,,,,,,,,,,,,,,,
37546,,,,,,,,,,,4.140526,4.178080,,,,,0.015071,0.048567,0.046256,,,,,,,,,
37551,,,,,,,,,,,,,0.222993,0.000000,0.074495,0.079449,,,,0.023414,-0.044182,0.739086,-0.045628,-0.008967,1.017419,0.700000,-0.210000,-3.850000
37559,,,,,,,,,,,,,,,,,,,,,,,-0.045628,-0.008967,1.017419,0.700000,-3.430000,-4.480000
37561,,,,,,,,,,,,,0.187626,0.000000,0.075167,0.079449,,,,0.023445,-0.044171,0.739086,,,,,,
37569,,,,,,,,,,,,,,,,,,,,,,,-0.045628,-0.009821,1.020408,0.910000,-3.640000,-7.000000
37571,,,,,,,,,,,,,0.708135,0.000000,0.065269,0.079449,,,,0.023445,-0.044216,0.739086,,,,,,
37579,,,,,,,,,,,,,,,,,,,,,,,-0.034099,-0.009821,1.020408,0.700000,-1.750000,-10.360000
37581,,,,,,,,,,,,,0.595825,0.549821,0.067405,0.068994,,,,0.023445,-0.044236,0.736145,,,,,,
37591,,,,,,,,,,,,,,,,,,,,0.023493,-0.044209,0.736118,0.019398,-0.002562,1.019493,0.560000,-13.860000,25.690001
37592,,,,,,,,,,,,,0.501327,0.961743,0.069202,0.061161,,,,,,,,,,,,
37595,,,,0.002836,0.002836,0.785380,0.025013,-0.000144,,,,,,,,,,,,,,,,,,,,
37596,,,,,,,,,,,4.840055,4.894147,,,,,0.016268,0.048720,0.048662,,,,,,,,,
37601,,,,,,,,,,,,,,,0.084016,0.077678,,,,0.023535,-0.044147,0.742083,0.019398,-0.002562,1.019493,0.070000,0.070000,23.940001
37602,,,,,,,,,,,,,0.421816,0.809210,,,,,,,,,,,,,,
37609,,,,,,,,,,,,,,,,,,,,,,,0.021350,-0.008174,1.014735,-0.140000,2.170000,24.780001
37611,,,,,,,,,,,,,0.354916,1.276454,0.085288,0.068793,,,,0.023698,-0.044014,0.745054,,,,,,
37619,,,,,,,,,,,,,,,,,,,,,,,0.021350,-0.008174,1.014735,0.420000,9.800000,17.500000
37621,,,,,,,,,,,,,0.298626,1.623331,0.086359,0.062197,,,,0.023929,-0.043811,0.748060,,,,,,
37629,,,,,,,,,,,,,,,,,,,,,,,-0.021716,-0.011834,1.016748,0.770000,0.070000,14.560000
37631,,,,,,,,,,,,,0.251264,1.365870,0.087259,0.067093,,,,,,,,,,,,
37632,,,,,,,,,,,,,,,,,,,,0.024160,-0.043631,0.751004,,,,,,
37639,,,,,,,,,,,,,,,,,,,,,,,-0.021716,-0.011834,1.016748,0.280000,-3.850000,6.020000
37646,,,,,,,,,,,,,0.564669,1.502498,0.081300,0.064495,,,,,,,,,,,,
37648,,,,0.004193,0.004193,0.785358,0.033604,-0.000305,,,5.729222,5.793948,,,,,0.018016,0.048591,0.034847,,,,,,,,,
37641,,,,,,,,,,,,,,,,,,,,0.024343,-0.043525,0.750954,,,,,,
37653,,,,,,,,,,,,,,,,,,,,,,,-0.011468,-0.009943,1.022482,0.840000,-13.090000,6.510000
37652,,,,,,,,,,,,,,,,,,,,0.024401,-0.043436,0.750951,,,,,,
37659,,,,,,,,,,,,,,,,,,,,,,,-0.011468,-0.009943,1.022482,0.420000,-5.460000,10.640000
37661,,,,,,,,,,,,,0.851230,1.640320,0.092759,0.078984,,,,0.024603,-0.043298,0.753907,,,,,,
37669,,,,,,,,,,,,,,,,,,,,,,,0.015250,-0.008479,1.006622,0.910000,10.850000,4.970000
37671,,,,,,,,,,,,,0.716225,1.929376,0.095326,0.073488,,,,,,,,,,,,
37672,,,,,,,,,,,,,,,,,,,,0.024939,-0.043021,0.753927,,,,,,
37679,,,,,,,,,,,,,,,,,,,,,,,0.015250,-0.008479,1.006622,1.120000,4.340000,4.620000
37681,,,,,,,,,,,,,1.148102,2.168847,0.087113,0.068934,,,,0.025331,-0.042641,0.753979,,,,,,
37689,,,,,,,,,,,,,,,,,,,,,,,0.016531,-0.012688,1.031144,1.540000,-7.000000,-13.930000
37691,,,,,,,,,,,,,1.517896,1.824868,0.080081,0.075475,,,,0.025659,-0.042397,0.757027,,,,,,
37695,,,,0.005912,0.005912,0.785319,0.043317,-0.000580,,,,,,,,,,,,,,,,,,,,
37696,,,,,,,,,,,6.503423,6.581728,,,,,0.018859,0.048672,0.028608,,,,,,,,,
37701,,,,,,,,,,,,,1.793459,2.051745,0.089563,0.086141,,,,,,,0.016531,-0.012688,1.031144,1.330000,0.560000,-14.770000
37702,,,,,,,,,,,,,,,,,,,,0.025972,-0.042171,0.754089,,,,,,
37711,,,,,,,,,,,,,2.092476,2.309798,0.083877,0.081234,,,,0.026279,-0.041842,0.751112,,,,,,
37712,,,,,,,,,,,,,,,,,,,,,,,0.002135,-0.006893,1.009611,0.420000,0.630000,-6.090000
