ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
215579,,,,,,,,,,,,,,,,,,,,,,,-0.045323,-0.001708,1.017358,0.630000,0.210000,-0.280000
215577,,,,,,,,,,,,,,,,,,,,1.123860,0.061191,1.677524,,,,,,
215580,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
215589,,,,,,,,,,,,,,,,,,,,,,,-0.045323,-0.001708,1.017358,0.700000,0.140000,-0.280000
215587,,,,,,,,,,,,,,,,,,,,1.123808,0.061125,1.677525,,,,,,
215590,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
215599,,,,,,,,,,,,,,,,,,,,,,,-0.046665,-0.000976,1.018273,0.770000,0.420000,-0.280000
215598,,,,,,,,,,,,,,,,,,,,1.123836,0.061166,1.677525,,,,,,
215600,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
215609,,,,,,,,,,,,,,,,,,,,,,,-0.046665,-0.000976,1.018273,0.700000,0.070000,-0.280000
215610,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
215608,,,,,,,,,,,,,,,,,,,,1.123855,0.061188,1.681243,,,,,,
215619,,,,,,,,,,,,,,,,,,,,1.123854,0.061190,1.681269,-0.045933,-0.001891,1.017602,0.770000,0.210000,-0.280000
215620,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
215625,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
215626,,,,,,,,,,,-12.902850,-12.893874,,,,,-0.046677,0.129791,-0.109985,1.123851,0.061190,1.681242,,,,,,
215630,,,,,,,,,,,,,0.000000,0.000000,-0.131609,-0.131518,,,,,,,,,,,,
215631,,,,,,,,,,,,,,,,,,,,,,,-0.045933,-0.001891,1.017602,0.630000,0.070000,-0.280000
215636,,,,,,,,,,,,,,,,,,,,1.123856,0.061190,1.677524,,,,,,
215639,,,,,,,,,,,,,,,,,,,,,,,-0.046909,-0.001952,1.017785,0.770000,0.280000,-0.280000
215640,,,,,,,,,,,,,-0.549655,-1.099310,-0.128583,-0.122883,,,,,,,,,,,,
215651,,,,,,,,,,,,,-1.491765,-1.439602,-0.121444,-0.121771,,,,,,,,,,,,
215647,,,,,,,,,,,,,,,,,,,,1.123857,0.061181,1.677524,,,,,,
215654,,,,,,,,,,,,,,,,,,,,,,,-0.046909,-0.001952,1.017785,-0.280000,17.010000,1.890000
215659,,,,,,,,,,,,,,,,,,,,,,,-0.147620,-0.003111,1.022116,-0.420000,51.099998,3.430000
215660,,,,,,,,,,,,,-1.837134,-1.793244,-0.120204,-0.120455,,,,,,,,,,,,
215658,,,,,,,,,,,,,,,,,,,,1.123868,0.061181,1.681269,,,,,,
215669,,,,,,,,,,,,,,,,,,,,,,,-0.147620,-0.003111,1.022116,2.730000,59.150002,-1.400000
215670,,,,,,,,,,,,,-2.092714,-2.055785,-0.119810,-0.119997,,,,,,,,,,,,
215668,,,,,,,,,,,,,,,,,,,,1.123824,0.061354,1.681308,,,,,,
215675,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
