ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17841,,,,,,,,,,,,,,,,,,,,,,,-0.040077,-0.009577,1.015955,0.700000,0.140000,-0.280000
17844,,,,0.000014,0.000014,0.785398,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,
17845,,,,,,,,,,,-1.002602,-1.002602,0.000000,0.000000,-0.010227,-0.010227,-0.003565,0.007994,-0.004350,,,,,,,,,
17847,,,,,,,,,,,,,,,,,,,,0.008209,-0.003074,0.789748,,,,,,
17852,,,,,,,,,,,,,,,,,,,,0.008212,-0.003072,0.789748,-0.040077,-0.009577,1.015955,0.560000,0.140000,-0.280000
17853,,,,,,,,,,,,,0.000000,0.000000,-0.010427,-0.010427,,,,,,,,,,,,
17861,,,,,,,,,,,,,,,,,,,,,,,-0.040260,-0.009577,1.016687,0.700000,0.350000,-0.210000
17863,,,,,,,,,,,,,0.000000,0.000000,-0.010628,-0.010628,,,,,,,,,,,,
17862,,,,,,,,,,,,,,,,,,,,0.008200,-0.003080,0.789748,,,,,,
17871,,,,,,,,,,,,,,,,,,,,,,,-0.040260,-0.009577,1.016687,0.560000,0.140000,-0.280000
17873,,,,,,,,,,,,,0.000000,0.000000,-0.010828,-0.010828,,,,,,,,,,,,
17872,,,,,,,,,,,,,,,,,,,,0.008206,-0.003079,0.789748,,,,,,
17881,,,,,,,,,,,,,,,,,,,,,,,-0.040077,-0.009516,1.017236,0.630000,0.210000,-0.280000
17880,,,,,,,,,,,,,,,,,,,,0.008207,-0.003076,0.789737,,,,,,
17883,,,,,,,,,,,,,0.000000,0.000000,-0.011029,-0.011029,,,,,,,,,,,,
17889,,,,0.000224,0.000224,0.785398,0.001740,-0.000000,,,,,,,,,,,,,,,,,,,,
17890,,,,,,,,,,,-0.812734,-0.812771,,,,,-0.003276,0.007993,-0.004340,0.008207,-0.003072,0.789737,,,,,,
17896,,,,,,,,,,,,,0.000000,0.000000,-0.009292,-0.009293,,,,,,,,,,,,
17899,,,,,,,,,,,,,,,,,,,,,,,-0.040077,-0.009516,1.017236,0.630000,0.210000,-0.280000
17900,,,,,,,,,,,,,,,,,,,,0.008199,-0.003077,0.789748,,,,,,
17903,,,,,,,,,,,,,0.000000,0.000000,-0.009455,-0.009455,,,,,,,,,,,,
17905,,,,,,,,,,,,,,,,,,,,,,,-0.040260,-0.010370,1.016931,0.630000,0.350000,-0.280000
17911,,,,,,,,,,,,,,,,,,,,0.008202,-0.003076,0.789748,-0.040260,-0.010370,1.016931,0.630000,0.140000,-0.350000
17913,,,,,,,,,,,,,0.000000,0.000000,-0.009618,-0.009618,,,,,,,,,,,,
17921,,,,,,,,,,,,,,,,,,,,0.008204,-0.003079,0.789748,-0.040626,-0.009821,1.016687,0.630000,0.140000,-0.280000
17923,,,,,,,,,,,,,0.000000,0.000000,-0.009780,-0.009781,,,,,,,,,,,,
17931,,,,,,,,,,,,,,,,,,,,,,,-0.040626,-0.009821,1.016687,0.560000,0.070000,-0.280000
17933,,,,,,,,,,,,,0.000000,0.000000,-0.009943,-0.009943,,,,,,,,,,,,
17932,,,,,,,,,,,,,,,,,,,,0.008206,-0.003075,0.789737,,,,,,
17939,,,,0.001079,0.001079,0.785396,0.012860,-0.000006,,,,,,,,,,,,,,,,,,,,
17940,,,,,,,,,,,0.222330,0.222016,,,,,-0.002068,0.007986,-0.004342,,,,,,,,,
17943,,,,,,,,,,,,,0.000000,0.000000,0.000452,0.000449,,,,,,,-0.040382,-0.010309,1.016809,0.630000,0.350000,-0.280000
17942,,,,,,,,,,,,,,,,,,,,0.008207,-0.003072,0.789737,,,,,,
17954,,,,,,,,,,,,,0.000000,0.000000,0.000497,0.000494,,,,,,,,,,,,
17952,,,,,,,,,,,,,,,,,,,,0.008199,-0.003070,0.789748,,,,,,
17957,,,,,,,,,,,,,,,,,,,,,,,-0.040382,-0.010309,1.016809,0.630000,0.070000,-0.280000
