ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
22539,,,,,,,,,,,,,,,,,,,,,,,-0.041358,-0.003355,1.017053,0.700000,0.210000,-0.210000
22541,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.017518,-0.003906,0.862214,,,,,,
22549,,,,,,,,,,,,,,,,,,,,0.017539,-0.003936,0.862205,-0.040565,-0.002745,1.017785,0.630000,0.070000,-0.280000
22551,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
22560,,,,,,,,,,,,,,,,,,,,,,,-0.040565,-0.002745,1.017785,0.560000,0.210000,-0.210000
22559,,,,,,,,,,,,,,,,,,,,0.017522,-0.003923,0.862214,,,,,,
22561,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
22570,,,,,,,,,,,,,,,,,,,,,,,-0.041175,-0.002745,1.017724,0.700000,0.210000,-0.280000
22569,,,,,,,,,,,,,,,,,,,,0.017518,-0.003926,0.862214,,,,,,
22571,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
22580,,,,,,,,,,,,,,,,,,,,,,,-0.041175,-0.002745,1.018578,0.630000,0.140000,-0.280000
22578,,,,,,,,,,,,,,,,,,,,0.017516,-0.003932,0.862214,,,,,,
22581,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
22586,,,,0.000069,0.000069,0.785398,0.000741,-0.000000,,,,,,,,,,,,,,,,,,,,
22587,,,,,,,,,,,-2.291180,-2.294400,,,,,-0.008316,0.015851,-0.076815,,,,,,,,,
22591,,,,,,,,,,,,,0.000000,0.000000,-0.023370,-0.023403,,,,,,,,,,,,
22589,,,,,,,,,,,,,,,,,,,,0.017516,-0.003916,0.862214,,,,,,
22592,,,,,,,,,,,,,,,,,,,,,,,-0.039833,-0.003111,1.018578,0.700000,0.210000,-0.280000
22599,,,,,,,,,,,,,,,,,,,,0.017518,-0.003922,0.862214,-0.040992,-0.003904,1.018151,0.630000,0.140000,-0.210000
22601,,,,,,,,,,,,,0.000000,0.000000,-0.023828,-0.023862,,,,,,,,,,,,
22614,,,,,,,,,,,,,0.000000,0.000000,-0.024287,-0.024321,,,,,,,,,,,,
22615,,,,,,,,,,,,,,,,,,,,,,,-0.040992,-0.003904,1.018151,0.630000,0.420000,0.210000
22610,,,,,,,,,,,,,,,,,,,,0.017512,-0.003913,0.862214,,,,,,
22620,,,,,,,,,,,,,,,,,,,,0.017512,-0.003910,0.862214,-0.041846,-0.003233,1.018944,0.630000,-0.140000,-0.140000
22621,,,,,,,,,,,,,0.000000,0.000000,-0.024745,-0.024780,,,,,,,,,,,,
22630,,,,,,,,,,,,,,,,,,,,,,,-0.041846,-0.003233,1.018944,0.560000,0.140000,-0.140000
22631,,,,,,,,,,,,,0.000000,0.000000,-0.025203,-0.025238,,,,0.017514,-0.003911,0.862214,,,,,,
22636,,,,0.000232,0.000232,0.785398,0.002925,-0.000001,,,,,,,,,,,,,,,,,,,,
22637,,,,,,,,,,,-2.089383,-2.102103,,,,,-0.008100,0.015819,-0.076815,,,,,,,,,
22642,,,,,,,,,,,,,0.000000,0.000000,-0.023603,-0.023736,,,,,,,-0.039894,-0.002440,1.018273,0.630000,0.210000,-0.210000
22639,,,,,,,,,,,,,,,,,,,,0.017517,-0.003909,0.862214,,,,,,
22649,,,,,,,,,,,,,,,,,,,,,,,-0.039894,-0.002440,1.018273,0.700000,0.420000,-0.280000
22655,,,,,,,,,,,,,0.000000,0.000000,-0.024021,-0.024156,,,,,,,,,,,,
22650,,,,,,,,,,,,,,,,,,,,0.017518,-0.003912,0.862214,,,,,,
22660,,,,,,,,,,,,,,,,,,,,,,,-0.041663,-0.003111,1.017541,0.560000,0.000000,-0.210000
22661,,,,,,,,,,,,,0.000000,0.000000,-0.024439,-0.024577,,,,0.017515,-0.003910,0.862214,,,,,,
22670,,,,,,,,,,,,,,,,,,,,,,,-0.041663,-0.003111,1.017541,0.630000,0.210000,-0.280000
22669,,,,,,,,,,,,,,,,,,,,0.017512,-0.003913,0.862214,,,,,,
22671,,,,,,,,,,,,,0.000000,0.000000,-0.024857,-0.024997,,,,,,,,,,,,
22679,,,,,,,,,,,,,,,,,,,,0.017511,-0.003914,0.862214,-0.040626,-0.002989,1.018212,0.560000,0.140000,-0.210000
22681,,,,,,,,,,,,,0.000000,0.000000,-0.025274,-0.025418,,,,,,,,,,,,
22686,,,,0.000545,0.000545,0.785397,0.006499,-0.000005,,,,,,,,,,,,,,,,,,,,
22687,,,,,,,,,,,-1.734043,-1.762326,,,,,-0.007656,0.015784,-0.076816,,,,,,,,,
22692,,,,,,,,,,,,,0.000000,0.000000,-0.022068,-0.022372,,,,,,,-0.040626,-0.002989,1.018212,0.630000,0.280000,-0.210000
22690,,,,,,,,,,,,,,,,,,,,0.017516,-0.003911,0.862214,,,,,,
22700,,,,,,,,,,,,,,,,,,,,0.017543,-0.003932,0.862205,-0.041175,-0.003172,1.017846,0.560000,0.070000,-0.280000
22701,,,,,,,,,,,,,0.000000,0.000000,-0.022415,-0.022725,,,,,,,,,,,,
22714,,,,,,,,,,,,,0.000000,0.000000,-0.022761,-0.023077,,,,,,,,,,,,
22715,,,,,,,,,,,,,,,,,,,,,,,-0.041175,-0.003172,1.017846,0.770000,0.350000,-0.280000
22711,,,,,,,,,,,,,,,,,,,,0.017526,-0.003923,0.862205,,,,,,
22720,,,,,,,,,,,,,,,,,,,,,,,-0.040382,-0.003477,1.017968,0.630000,0.210000,-0.210000
22721,,,,,,,,,,,,,0.000000,0.000000,-0.023108,-0.023430,,,,0.017535,-0.003941,0.862205,,,,,,
22730,,,,,,,,,,,,,,,,,,,,,,,-0.040382,-0.003477,1.017968,0.630000,0.280000,-0.350000
22729,,,,,,,,,,,,,,,,,,,,0.017515,-0.003924,0.862214,,,,,,
22731,,,,,,,,,,,,,0.000000,0.000000,-0.023455,-0.023782,,,,,,,,,,,,
22736,,,,0.001054,0.001054,0.785396,0.011407,-0.000020,,,,,,,,,,,,,,,,,,,,
22737,,,,,,,,,,,-1.214199,-1.263917,,,,,-0.006933,0.015738,-0.076818,,,,,,,,,
22741,,,,,,,,,,,,,,,,,,,,,,,-0.040687,-0.003355,1.017785,0.630000,0.140000,-0.210000
22742,,,,,,,,,,,,,0.000000,0.000000,-0.018499,-0.019051,,,,0.017522,-0.003896,0.862205,,,,,,
22749,,,,,,,,,,,,,,,,,,,,0.017515,-0.003913,0.862205,-0.040687,-0.003355,1.017785,0.630000,0.070000,-0.210000
22751,,,,,,,,,,,,,0.000000,0.000000,-0.018742,-0.019304,,,,,,,,,,,,
22760,,,,,,,,,,,,,,,,,,,,0.017528,-0.003908,0.862205,-0.040687,-0.002989,1.017602,0.490000,0.280000,-0.210000
22761,,,,,,,,,,,,,0.000000,0.000000,-0.018985,-0.019556,,,,,,,,,,,,
22775,,,,,,,,,,,,,0.000000,0.000000,-0.019228,-0.019809,,,,,,,-0.040687,-0.002989,1.017602,0.560000,0.070000,-0.280000
22770,,,,,,,,,,,,,,,,,,,,0.017524,-0.003910,0.862214,,,,,,
22780,,,,,,,,,,,,,,,,,,,,,,,-0.040382,-0.004087,1.016809,0.770000,0.280000,-0.280000
22781,,,,,,,,,,,,,0.000000,0.000000,-0.019471,-0.020062,,,,0.017512,-0.003913,0.862214,,,,,,
22786,,,,0.001803,0.001803,0.785391,0.017596,-0.000059,,,,,,,,,,,,,,,,,,,,
22787,,,,,,,,,,,-0.519258,-0.596155,,,,,-0.005882,0.015648,-0.076822,,,,,,,,,
22792,,,,,,,,,,,,,0.000000,0.000000,-0.012625,-0.013504,,,,,,,-0.040382,-0.003599,1.016809,0.700000,0.280000,-0.280000
22791,,,,,,,,,,,,,,,,,,,,0.017517,-0.003910,0.862205,,,,,,
22799,,,,,,,,,,,,,,,,,,,,,,,-0.040870,-0.003599,1.016809,0.630000,0.140000,-0.280000
22798,,,,,,,,,,,,,,,,,,,,0.017517,-0.003908,0.862214,,,,,,
22801,,,,,,,,,,,,,0.000000,0.000000,-0.012729,-0.013623,,,,,,,,,,,,
22810,,,,,,,,,,,,,,,,,,,,,,,-0.041175,-0.003416,1.018151,0.700000,0.210000,-0.280000
22816,,,,,,,,,,,,,0.000000,0.000000,-0.012833,-0.013742,,,,,,,,,,,,
22808,,,,,,,,,,,,,,,,,,,,0.017530,-0.003902,0.862205,,,,,,
22820,,,,,,,,,,,,,,,,,,,,,,,-0.041175,-0.003416,1.018151,0.700000,0.280000,-0.280000
22821,,,,,,,,,,,,,0.000000,0.000000,-0.012937,-0.013861,,,,,,,,,,,,
22819,,,,,,,,,,,,,,,,,,,,0.017517,-0.003905,0.862214,,,,,,
22829,,,,,,,,,,,,,,,,,,,,0.017534,-0.003887,0.862205,-0.039894,-0.002867,1.017846,0.630000,0.140000,-0.210000
22831,,,,,,,,,,,,,0.000000,0.000000,-0.013041,-0.013980,,,,,,,,,,,,
22836,,,,0.002836,0.002836,0.785380,0.025013,-0.000144,,,,,,,,,,,,,,,,,,,,
22837,,,,,,,,,,,0.359854,0.250133,,,,,-0.004458,0.015535,-0.076826,,,,,,,,,
22839,,,,,,,,,,,,,,,,,,,,0.017534,-0.003889,0.862205,,,,,,
22841,,,,,,,,,,,,,0.000000,0.000000,-0.004178,-0.005468,,,,,,,,,,,,
22842,,,,,,,,,,,,,,,,,,,,,,,-0.039894,-0.002867,1.017846,0.630000,0.210000,-0.210000
22849,,,,,,,,,,,,,,,,,,,,,,,-0.040504,-0.002501,1.017297,0.630000,0.140000,-0.280000
22851,,,,,,,,,,,,,0.000000,0.000000,-0.004106,-0.005418,,,,,,,,,,,,
22850,,,,,,,,,,,,,,,,,,,,0.017562,-0.003917,0.862205,,,,,,
22859,,,,,,,,,,,,,,,,,,,,,,,-0.040504,-0.002501,1.017297,0.700000,0.210000,-0.280000
22861,,,,,,,,,,,,,0.000000,0.000000,-0.004034,-0.005367,,,,0.017525,-0.003917,0.862205,,,,,,
22875,,,,,,,,,,,,,0.000000,0.000000,-0.003962,-0.005317,,,,,,,-0.040870,-0.002379,1.016992,0.560000,0.210000,-0.280000
22871,,,,,,,,,,,,,,,,,,,,0.017512,-0.003913,0.862214,,,,,,
22880,,,,,,,,,,,,,,,,,,,,,,,-0.040870,-0.002379,1.016992,0.630000,0.140000,-0.280000
22881,,,,,,,,,,,,,0.000000,0.000000,-0.003890,-0.005267,,,,0.017526,-0.003906,0.862205,,,,,,
22886,,,,0.004193,0.004193,0.785358,0.033604,-0.000305,,,,,,,,,,,,,,,,,,,,
22887,,,,,,,,,,,1.456856,1.308667,,,,,-0.002529,0.015393,-0.076847,,,,,,,,,
22889,,,,,,,,,,,,,,,,,,,,0.017522,-0.003920,0.862214,,,,,,
22892,,,,,,,,,,,,,0.000000,0.000000,0.007372,0.005580,,,,,,,-0.040382,-0.003172,1.017602,0.700000,0.210000,-0.280000
22899,,,,,,,,,,,,,,,,,,,,0.017532,-0.003939,0.862205,-0.040382,-0.003172,1.017602,0.700000,0.140000,-0.280000
