ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
62880,,,,,,,,,,,,,,,,,,,,,,,-0.015555,-0.008052,1.021933,-0.070000,-0.630000,-0.210000
62882,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
62883,,,,-0.999959,-1.000000,0.000082,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,
62885,,,,,,,,,,,-0.008302,-0.008302,,,,,-0.069428,-0.017437,-0.048013,,,,,,,,,
62890,,,,,,,,,,,,,,,,,,,,,,,-0.015494,-0.008113,1.021811,-1.050000,-0.490000,-0.490000
62889,,,,,,,,,,,,,,,,,,,,-0.931461,-0.979246,0.048095,,,,,,
62891,,,,,,,,,,,,,0.000000,0.000000,-0.000274,-0.000274,,,,,,,,,,,,
62897,,,,,,,,,,,,,,,,,,,,-0.931430,-0.979246,0.048095,,,,,,
62900,,,,,,,,,,,,,,,,,,,,,,,-0.015494,-0.008113,1.021811,3.220000,0.420000,-0.210000
62901,,,,,,,,,,,,,0.000000,0.000000,-0.000280,-0.000280,,,,,,,,,,,,
62904,,,,,,,,,,,,,,,,,,,,-0.931439,-0.979256,0.048095,,,,,,
62910,,,,,,,,,,,,,,,,,,,,,,,-0.015555,-0.007930,1.022604,0.280000,-0.770000,-0.140000
62911,,,,,,,,,,,,,0.000000,0.000000,-0.000286,-0.000286,,,,,,,,,,,,
62912,,,,,,,,,,,,,,,,,,,,-0.931433,-0.979243,0.048095,,,,,,
62920,,,,,,,,,,,,,,,,,,,,-0.931424,-0.979263,0.048095,-0.015555,-0.007930,1.022604,-3.290000,-1.470000,-0.490000
62921,,,,,,,,,,,,,0.000000,0.000000,-0.000293,-0.000293,,,,,,,,,,,,
62925,,,,-0.999679,-1.000000,0.000646,0.002430,0.004892,,,,,,,,,,,,,,,,,,,,
62927,,,,,,,,,,,0.129670,0.148854,,,,,-0.069171,-0.017434,-0.047449,,,,,,,,,
62937,,,,,,,,,,,,,0.000000,0.000000,0.004251,0.004884,,,,,,,,,,,,
62935,,,,,,,,,,,,,,,,,,,,-0.931424,-0.979261,0.048095,,,,,,
62941,,,,,,,,,,,,,,,,,,,,,,,-0.016348,-0.008357,1.023458,1.750000,-0.350000,0.000000
62943,,,,,,,,,,,,,,,,,,,,-0.931414,-0.979253,0.048095,,,,,,
62946,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.007808,1.022787,-1.050000,-1.120000,-0.070000
62952,,,,,,,,,,,,,0.000000,0.000000,0.004350,0.004997,,,,,,,-0.015738,-0.007808,1.022787,-2.800000,-1.400000,-0.280000
62950,,,,,,,,,,,,,,,,,,,,-0.931415,-0.979260,0.048095,,,,,,
62960,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.007808,1.022787,-1.260000,-0.490000,-0.420000
62961,,,,,,,,,,,,,0.000000,0.000000,0.004448,0.005110,,,,,,,,,,,,
62966,,,,,,,,,,,,,,,,,,,,-0.931409,-0.979260,0.048095,,,,,,
62971,,,,,,,,,,,,,0.000000,0.000000,0.004547,0.005223,,,,,,,-0.015555,-0.008662,1.020164,-0.210000,-0.140000,-0.420000
62975,,,,-0.998936,-0.999999,0.002152,0.009516,0.019207,,,,,,,,,,,,,,,,,,,,
62977,,,,,,,,,,,0.531719,0.607484,,,,,-0.068445,-0.017469,-0.045943,,,,,,,,,
62974,,,,,,,,,,,,,,,,,,,,-0.931422,-0.979263,0.048095,,,,,,
62981,,,,,,,,,,,,,0.000000,0.000000,0.017902,0.020458,,,,,,,,,,,,
62982,,,,,,,,,,,,,,,,,,,,-0.931430,-0.979262,0.048095,-0.016348,-0.008601,1.020957,3.220000,0.420000,0.000000
62992,,,,,,,,,,,,,0.000000,0.000000,0.018306,0.020920,,,,,,,,,,,,
62990,,,,,,,,,,,,,,,,,,,,-0.931423,-0.979263,0.048095,,,,,,
62997,,,,,,,,,,,,,,,,,,,,,,,-0.016348,-0.008601,1.020957,-2.450000,-1.260000,-0.420000
63001,,,,,,,,,,,,,0.000000,0.000000,0.018710,0.021382,,,,,,,,,,,,
63002,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.008296,1.022909,-1.540000,-0.630000,-0.490000
63005,,,,,,,,,,,,,,,,,,,,-0.931430,-0.979255,0.048095,,,,,,
63010,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.008296,1.022909,1.050000,0.280000,-0.350000
63011,,,,,,,,,,,,,0.000000,0.000000,0.019114,0.021844,,,,,,,,,,,,
63013,,,,,,,,,,,,,,,,,,,,-0.931443,-0.979261,0.048095,,,,,,
63020,,,,,,,,,,,,,,,,,,,,,,,-0.015189,-0.008418,1.023275,2.940000,-0.700000,0.000000
63022,,,,,,,,,,,,,0.000000,0.000000,0.019518,0.022305,,,,,,,,,,,,
63021,,,,,,,,,,,,,,,,,,,,-0.931444,-0.979258,0.048040,,,,,,
63025,,,,-0.997523,-0.999994,0.005045,0.020918,0.042521,,,,,,,,,,,,,,,,,,,,
63027,,,,,,,,,,,1.177369,1.347111,,,,,-0.067001,-0.017538,-0.043000,,,,,,,,,
63031,,,,,,,,,,,,,0.000000,0.000000,0.041204,0.047146,,,,,,,,,,,,
63032,,,,,,,,,,,,,,,,,,,,,,,-0.015189,-0.008418,1.023275,-2.940000,-1.470000,-0.280000
63036,,,,,,,,,,,,,,,,,,,,-0.931453,-0.979261,0.048095,,,,,,
63040,,,,,,,,,,,,,,,,,,,,,,,-0.015311,-0.007564,1.022421,-0.490000,-0.350000,-0.420000
63041,,,,,,,,,,,,,0.000000,0.000000,0.042099,0.048170,,,,,,,,,,,,
63052,,,,,,,,,,,,,0.000000,0.000000,0.042994,0.049194,,,,-0.931467,-0.979255,0.048095,,,,,,
63044,,,,,,,,,,,,,,,,,,,,-0.931445,-0.979252,0.048095,,,,,,
63057,,,,,,,,,,,,,,,,,,,,,,,-0.015189,-0.008357,1.023336,0.000000,-0.140000,-0.210000
63062,,,,,,,,,,,,,0.000000,0.000000,0.043889,0.050219,,,,,,,-0.015189,-0.008357,1.023336,0.140000,-0.350000,-0.140000
63060,,,,,,,,,,,,,,,,,,,,-0.931444,-0.979248,0.048040,,,,,,
63070,,,,,,,,,,,,,,,,,,,,,,,-0.015189,-0.008357,1.023336,0.070000,-0.490000,-0.350000
63071,,,,,,,,,,,,,0.000000,0.000000,0.044785,0.051243,,,,,,,,,,,,
63075,,,,-0.995256,-0.999977,0.009768,0.036231,0.074658,,,,,,,,,,,,,,,,,,,,
63077,,,,,,,,,,,2.040924,2.344717,,,,,-0.064734,-0.017640,-0.038272,,,,,,,,,
63074,,,,,,,,,,,,,,,,,,,,-0.931445,-0.979252,0.048095,,,,,,
63081,,,,,,,,,,,,,0.000000,0.000000,0.074129,0.085133,,,,,,,,,,,,
63082,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.010553,1.020042,0.070000,-0.630000,-0.140000
63083,,,,,,,,,,,,,,,,,,,,-0.931428,-0.979263,0.048095,,,,,,
63090,,,,,,,,,,,,,,,,,,,,,,,-0.015738,-0.010553,1.020042,0.070000,-0.560000,-0.280000
63091,,,,,,,,,,,,,0.000000,0.000000,0.075682,0.086917,,,,-0.931435,-0.979255,0.048095,,,,,,
63100,,,,,,,,,,,,,,,,,,,,,,,-0.013420,-0.008174,1.023885,0.070000,-1.610000,6.580000
63099,,,,,,,,,,,,,,,,,,,,-0.931407,-0.979254,0.048095,,,,,,
63101,,,,,,,,,,,,,0.000000,0.547335,0.077235,0.070662,,,,,,,,,,,,
63112,,,,,,,,,,,,,0.000000,0.460527,0.078787,0.074891,,,,,,,,,,,,
