ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
56410,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56420,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56430,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56440,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56450,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56462,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56470,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56480,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56490,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56500,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56512,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56520,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56530,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56540,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56550,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56562,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56570,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56580,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56590,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56600,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56612,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
56620,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
