ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
40648,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
40656,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,,,-0.535307,-0.984133,1.146654,,,,,,
40667,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,,,-0.535305,-0.984128,1.146654,,,,,,
40676,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,,,-0.535307,-0.984132,1.146635,,,,,,
40686,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,,,-0.535313,-0.984131,1.146635,,,,,,
40696,-0.535303,-0.984130,1.146635,-0.499999,-0.999494,1.569382,0.003836,-0.004677,,,,,,,,,,,,-0.535303,-0.984130,1.146635,,,,,,
40699,,,,,,,,,-0.000000,0.000000,0.331731,0.401840,0.000000,0.000000,0.003384,0.004099,0.000527,-0.038499,0.422747,,,,,,,,,
40707,,,,,,,,,,,,,,,,,,,,-0.535301,-0.984133,1.146635,,,,,,
40712,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.003450,0.004179,,,,,,,,,,,,
40716,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.003516,0.004259,,,,-0.535302,-0.984133,1.146654,,,,,,
40726,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.003583,0.004340,,,,-0.535305,-0.984130,1.146654,,,,,,
40736,,,,,,,,,,,,,0.000000,0.000000,0.003649,0.004420,,,,-0.535308,-0.984131,1.146635,,,,,,
40739,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
40747,-0.535308,-0.984131,1.146635,-0.499997,-0.998320,1.567945,0.015022,-0.018352,-0.000000,0.000000,1.170447,1.443787,,,,,0.001601,-0.038021,0.421309,-0.535308,-0.984132,1.146635,,,,,,
40750,,,,,,,,,,,,,0.000000,0.000000,0.012270,0.015128,,,,,,,,,,,,
40757,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.012504,0.015417,,,,-0.535308,-0.984132,1.146635,,,,,,
40766,,,,,,,,,,,,,,,,,,,,-0.535310,-0.984131,1.146654,,,,,,
40772,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.012738,0.015706,,,,,,,,,,,,
40777,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.012973,0.015995,,,,-0.535309,-0.984128,1.146654,,,,,,
40786,,,,,,,,,,,,,0.000000,0.000000,0.013207,0.016283,,,,-0.535309,-0.984132,1.146654,,,,,,
40789,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
40797,-0.535302,-0.984130,1.146635,-0.499988,-0.996087,1.565197,0.033037,-0.040511,-0.000000,0.000000,2.611192,3.207261,0.000000,0.000000,0.028136,0.034560,0.003636,-0.037106,0.418562,-0.535301,-0.984130,1.146635,,,,,,
40807,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.028659,0.035201,,,,-0.535305,-0.984131,1.146635,,,,,,
40817,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.029181,0.035843,,,,-0.535305,-0.984132,1.146635,,,,,,
40826,,,,,,,,,,,,,,,,,,,,-0.535305,-0.984134,1.146635,,,,,,
40832,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.029703,0.036484,,,,,,,,,,,,
40836,,,,,,,,,,,,,0.000000,0.000000,0.030225,0.037125,,,,-0.535305,-0.984123,1.146635,,,,,,
40839,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
40847,-0.535304,-0.984124,1.146635,-0.499960,-0.992501,1.560744,0.057275,-0.070724,,,4.711719,5.730400,0.000000,0.000000,0.052173,0.063503,0.006912,-0.035659,0.414109,-0.535304,-0.984124,1.146635,,,,,,
40850,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
40856,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.053115,0.064649,,,,-0.535303,-0.984127,1.146635,,,,,,
40866,,,,,,,,,,,,,,,,,,,,-0.535303,-0.984130,1.146635,,,,,,
40872,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.054058,0.065795,,,,,,,,,,,,
40877,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.055000,0.066941,,,,-0.535304,-0.984128,1.146635,,,,,,
40888,,,,,,,,,-0.000000,0.000000,,,0.000000,0.000000,0.055942,0.068087,,,,,,,,,,,,
