ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
340072,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
340077,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.131494,-0.774197,1.423515,,,,,,
340082,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
340087,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.131487,-0.774198,1.423515,,,,,,
340092,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
340097,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.131491,-0.774197,1.423515,,,,,,
340102,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
340107,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.131486,-0.774200,1.423515,,,,,,
340112,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
340116,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.131501,-0.774195,1.423515,,,,,,
340121,0.131501,-0.774195,1.423515,-0.001836,-0.971674,1.682211,0.286078,1.123658,-0.000000,0.000000,-48.890266,-37.425808,,,,,-0.214908,0.102913,0.258696,,,,,,,,,
340127,,,,,,,,,,,,,0.000000,0.000000,-0.498681,-0.381743,,,,0.131507,-0.774194,1.423515,,,,,,
340132,,,,,,,,,-0.083033,0.657431,,,,,,,,,,,,,,,,,,
340139,,,,,,,,,,,,,-1.380921,-0.920614,-0.494373,-0.379838,,,,0.131500,-0.774193,1.423515,,,,,,
340142,,,,,,,,,-0.412714,1.960636,,,,,,,,,,,,,,,,,,
340147,,,,,,,,,,,,,-11.087959,-6.730236,-0.404863,-0.327881,,,,0.131483,-0.774163,1.423510,,,,,,
340152,,,,,,,,,-0.604164,3.913822,,,,,,,,,,,,,,,,,,
340156,,,,,,,,,,,,,-17.005981,-10.597760,-0.352060,-0.294571,,,,0.131505,-0.773752,1.423767,,,,,,
340162,,,,,,,,,-0.630491,3.255659,,,,,,,,,,,,,,,,,,
340167,,,,,,,,,,,,,-21.934723,-13.274607,-0.308164,-0.272633,,,,0.131598,-0.773014,1.428891,,,,,,
