ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
48892,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.074089,-0.732735,1.555263,,,,,,
48902,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.074087,-0.732737,1.555263,,,,,,
48913,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.074087,-0.732736,1.555263,,,,,,
48922,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.074089,-0.732734,1.555263,,,,,,
48932,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.074094,-0.732732,1.555263,,,,,,
48938,0.074094,-0.732732,1.555263,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,-54.216560,-45.363781,,,,,-0.240093,0.072209,0.126948,,,,,,,,,
48943,,,,,,,,,,,,,0.000000,0.000000,-0.553009,-0.462711,,,,0.074093,-0.732734,1.555263,,,,,,
48952,,,,,,,,,,,,,-2.730087,-1.638052,-0.536005,-0.455075,,,,0.074090,-0.732737,1.555263,,,,,,
48962,,,,,,,,,,,,,-8.308712,-5.203831,-0.489401,-0.427449,,,,0.074105,-0.732697,1.555262,,,,,,
48979,,,,,,,,,,,,,-10.973116,-7.636640,-0.471405,-0.410667,,,,0.074077,-0.732193,1.559831,,,,,,
48982,,,,,,,,,,,,,-19.250950,-13.104248,-0.395620,-0.362443,,,,0.073992,-0.731344,1.562729,,,,,,
48988,0.078836,-0.747276,1.624202,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,-36.420937,-27.833673,,,,,-0.198589,0.094256,0.101038,,,,,,,,,
48992,,,,,,,,,,,,,-28.772539,-19.226864,-0.123978,-0.127637,,,,0.073912,-0.731943,1.557021,,,,,,
49003,,,,,,,,,,,,,-36.214371,-24.908506,-0.049601,-0.071405,,,,0.073541,-0.735554,1.565160,,,,,,
49014,,,,,,,,,,,,,-34.254944,-24.201595,-0.069628,-0.079201,,,,,,,,,,,,
49024,,,,,,,,,,,,,-30.487206,-22.028318,-0.108492,-0.102095,,,,,,,,,,,,
49032,,,,,,,,,,,,,-28.378464,-21.261158,-0.131188,-0.111081,,,,0.073371,-0.743832,1.562267,,,,,,
49038,0.073894,-0.745157,1.570198,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,-27.461611,-16.714340,,,,,-0.180530,0.082815,0.187888,,,,,,,,,
49042,,,,,,,,,,,,,,,,,,,,0.073238,-0.746767,1.565554,,,,,,
49059,,,,,,,,,,,,,-22.791313,-17.392502,-0.098475,-0.037647,,,,0.073128,-0.749758,1.572332,,,,,,
49063,,,,,,,,,,,,,-21.720608,-15.906049,-0.110331,-0.052673,,,,0.073036,-0.752368,1.573610,,,,,,
49073,,,,,,,,,,,,,-21.583998,-15.037488,-0.112872,-0.061694,,,,0.072952,-0.755729,1.585862,,,,,,
49082,,,,,,,,,,,,,-20.900200,-14.296196,-0.121022,-0.069591,,,,0.072902,-0.758298,1.589466,,,,,,
49088,0.073019,-0.758003,1.596081,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,-10.287815,0.458264,,,,,-0.136767,0.091311,0.183548,,,,,,,,,
49092,,,,,,,,,,,,,-20.860544,-13.666377,0.052433,0.098662,,,,0.072798,-0.761862,1.597799,,,,,,
49102,,,,,,,,,,,,,-18.643875,-12.044796,0.031938,0.084947,,,,0.072921,-0.764839,1.613253,,,,,,
49113,,,,,,,,,,,,,-16.778442,-10.134490,0.014582,0.067962,,,,0.073072,-0.768181,1.632479,,,,,,
49122,,,,,,,,,,,,,,,,,,,,0.073353,-0.771739,1.651211,,,,,,
49138,0.073338,-0.770816,1.652050,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,-12.260542,-7.174750,-0.029346,0.041689,,,,,,,,,,,,
49141,,,,,,,,,,,9.721720,18.734497,,,,,-0.086068,0.102471,0.137162,0.073710,-0.775016,1.669995,,,,,,
49144,,,,,,,,,,,,,-10.316018,-6.036834,0.155312,0.218026,,,,,,,,,,,,
49147,,,,,,,,,,,,,,,,,,,,0.073710,-0.775016,1.669995,,,,,,
49154,,,,,,,,,,,,,-9.227506,-5.079391,0.148217,0.213214,,,,,,,,,,,,
49158,,,,,,,,,,,,,,,,,,,,0.073529,-0.775627,1.681166,,,,,,
49162,,,,,,,,,,,,,-7.764022,-3.730071,0.137079,0.204214,,,,0.073622,-0.776073,1.692285,,,,,,
49172,,,,,,,,,,,,,-5.444214,-2.050048,0.116914,0.191571,,,,0.073616,-0.775898,1.684920,,,,,,
49176,,,,,,,,,,,,,,,,,,,,0.073616,-0.775898,1.684920,,,,,,
49182,,,,,,,,,,,,,-4.580761,-0.619351,0.111140,0.181135,,,,0.073642,-0.775593,1.681069,,,,,,
49188,0.073566,-0.774735,1.684091,-0.029719,-0.829246,1.786863,0.694035,0.071010,,,27.572519,34.826527,,,,,-0.042485,0.108785,0.102772,,,,,,,,,
49193,,,,,,,,,,,,,-2.760791,0.572338,0.277515,0.336989,,,,0.073548,-0.774737,1.684885,,,,,,
49202,,,,,,,,,,,,,,,,,,,,0.073460,-0.773519,1.681288,,,,,,
49219,,,,,,,,,,,,,-0.468307,2.634498,0.265824,0.329145,,,,,,,,,,,,
49223,,,,,,,,,,,,,4.009874,7.721550,0.225755,0.283695,,,,0.073365,-0.771217,1.688489,,,,,,
49233,,,,,,,,,,,,,6.105364,11.959826,0.209093,0.245886,,,,0.073138,-0.769130,1.684879,,,,,,
49238,0.072861,-0.767609,1.693259,-0.038114,-0.789875,1.773337,0.767646,-0.162389,,,42.542149,48.301003,,,,,-0.008542,0.112864,0.080078,,,,,,,,,
49243,,,,,,,,,,,,,7.864405,13.881289,0.348135,0.368300,,,,0.072930,-0.766896,1.681126,,,,,,
49252,,,,,,,,,,,,,10.461978,16.623117,0.328575,0.347217,,,,0.072624,-0.764186,1.681169,,,,,,
49262,,,,,,,,,,,,,,,,,,,,0.072496,-0.761094,1.681171,,,,,,
49280,,,,,,,,,,,,,10.626026,15.345543,0.339300,0.372597,,,,0.072261,-0.757711,1.684882,,,,,,
49283,,,,,,,,,,,,,16.982231,19.612984,0.280850,0.335660,,,,0.072058,-0.753714,1.688587,,,,,,
49288,0.072125,-0.754880,1.688980,-0.046502,-0.746596,1.749995,0.842989,-0.374039,,,56.642780,61.030060,,,,,0.022214,0.116823,0.061016,,,,,,,,,
49293,,,,,,,,,,,,,19.747379,23.052601,0.401584,0.436150,,,,0.071778,-0.749272,1.692285,,,,,,
49302,,,,,,,,,,,,,23.175545,25.956558,0.373996,0.414125,,,,0.071480,-0.744584,1.703297,,,,,,
49312,,,,,,,,,,,,,27.673769,30.013714,0.334808,0.379756,,,,0.071256,-0.739026,1.714301,,,,,,
49323,,,,,,,,,,,,,30.958187,34.023228,0.307100,0.345063,,,,0.070515,-0.733565,1.728954,,,,,,
49332,,,,,,,,,,,,,33.711670,36.837982,0.284152,0.321754,,,,0.069811,-0.727652,1.739843,,,,,,
