ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
47926,,,,,,,,,,,,,,,,,,,,-0.062685,-1.078032,1.782972,,,,,,
47929,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
47929,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47929,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47937,,,,,,,,,,,,,,,,,,,,-0.062690,-1.078029,1.782972,,,,,,
47939,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
47939,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47939,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47946,,,,,,,,,,,,,,,,,,,,-0.062686,-1.078029,1.782972,,,,,,
47949,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
47949,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47949,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47956,,,,,,,,,,,,,,,,,,,,-0.062685,-1.078031,1.782972,,,,,,
47959,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
47959,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47959,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47966,,,,,,,,,,,,,,,,,,,,-0.062682,-1.078028,1.782972,,,,,,
47969,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
47969,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47969,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47971,-0.062682,-1.078028,1.782972,,,,,,,,,,,,,,,,,,,,,,,,,
47972,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
47972,,,,,,,,,,,41.748402,45.104801,,,,,,,,,,,,,,,,
47972,,,,,,,,,,,,,,,,,0.091155,-0.081879,-0.100761,,,,,,,,,
47976,,,,,,,,,,,,,,,,,,,,-0.062682,-1.078026,1.782972,,,,,,
47979,,,,,,,,,,,,,,,0.425834,0.460069,,,,,,,,,,,,
47979,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
47979,,,,,,,,,-0.000000,0.000000,,,,,,,,,,,,,,,,,,
47986,,,,,,,,,,,,,,,,,,,,-0.062685,-1.078029,1.782972,,,,,,
47992,,,,,,,,,,,,,,,0.411966,0.446873,,,,,,,,,,,,
47992,,,,,,,,,,,,,2.178173,2.178173,,,,,,,,,,,,,,
47993,,,,,,,,,0.219740,0.000000,,,,,,,,,,,,,,,,,,
47996,,,,,,,,,,,,,,,,,,,,-0.062679,-1.078041,1.782972,,,,,,
47999,,,,,,,,,,,,,,,0.367860,0.392329,,,,,,,,,,,,
47999,,,,,,,,,,,,,7.278147,8.367233,,,,,,,,,,,,,,
47999,,,,,,,,,0.631752,1.957303,,,,,,,,,,,,,,,,,,
48006,,,,,,,,,,,,,,,,,,,,-0.062564,-1.078116,1.779481,,,,,,
48009,,,,,,,,,,,,,,,0.308768,0.318789,,,,,,,,,,,,
48009,,,,,,,,,,,,,13.747437,16.297424,,,,,,,,,,,,,,
48009,,,,,,,,,0.851492,0.652435,,,,,,,,,,,,,,,,,,
48016,,,,,,,,,,,,,,,,,,,,-0.062714,-1.077037,1.768778,,,,,,
48019,,,,,,,,,,,,,,,0.258847,0.267600,,,,,,,,,,,,
48019,,,,,,,,,,,,,19.190697,21.880798,,,,,,,,,,,,,,
48019,,,,,,,,,0.796557,1.957302,,,,,,,,,,,,,,,,,,
48021,-0.063538,-1.073905,1.778117,,,,,,,,,,,,,,,,,,,,,,,,,
48022,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
48022,,,,,,,,,,,52.966103,55.714252,,,,,,,,,,,,,,,,
