ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
36312,,,,,,,,,,,,,,,,,,,,-0.051947,-0.979261,1.163253,,,,,,
36318,,,,,,,,,,,,,,,,,,,,,,,-0.029829,-0.002196,1.016748,0.700000,0.280000,-0.210000
36319,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36321,,,,,,,,,,,,,,,,,,,,-0.051947,-0.979268,1.163253,,,,,,
36328,,,,,,,,,,,,,,,,,,,,,,,-0.029829,-0.002196,1.016748,0.700000,0.280000,-0.350000
36329,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36331,,,,,,,,,,,,,,,,,,,,-0.051946,-0.979254,1.163253,,,,,,
36338,,,,,,,,,,,,,,,,,,,,,,,-0.030256,-0.002501,1.018151,0.630000,0.140000,-0.280000
36339,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36340,,,,,,,,,,,,,,,,,,,,-0.051946,-0.979261,1.163253,,,,,,
36348,,,,,,,,,,,,,,,,,,,,,,,-0.030256,-0.001586,1.016260,0.700000,0.210000,-0.350000
36349,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36351,,,,,,,,,,,,,,,,,,,,-0.051970,-0.979242,1.163237,,,,,,
36358,,,,,,,,,,,,,,,,,,,,,,,-0.030073,-0.001586,1.016260,0.700000,0.070000,-0.350000
36359,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36361,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,-0.051950,-0.979258,1.163253,,,,,,
36362,,,,,,,,,,,15.826079,30.311125,,,,,0.026820,-0.043028,0.518974,,,,,,,,,
36368,,,,,,,,,,,,,,,,,,,,,,,-0.030073,-0.002196,1.016443,0.700000,0.210000,-0.350000
36369,,,,,,,,,,,,,0.000000,0.000000,0.161426,0.309173,,,,,,,,,,,,
36370,,,,,,,,,,,,,,,,,,,,-0.051945,-0.979261,1.163253,,,,,,
36378,,,,,,,,,,,,,,,,,,,,,,,-0.030073,-0.002196,1.016443,0.700000,0.070000,-0.350000
36379,,,,,,,,,,,,,0.548327,1.096653,0.158998,0.304050,,,,,,,,,,,,
36381,,,,,,,,,,,,,,,,,,,,-0.051954,-0.979261,1.163226,,,,,,
36388,,,,,,,,,,,,,,,,,,,,,,,0.149633,-0.003599,1.059021,0.070000,-38.150002,7.910000
36389,,,,,,,,,,,,,1.008972,3.113163,0.157355,0.289324,,,,,,,,,,,,
36391,,,,,,,,,,,,,,,,,,,,-0.051993,-0.979346,1.163211,,,,,,
36398,,,,,,,,,,,,,,,,,,,,,,,0.149633,-0.003599,1.059021,-1.470000,-18.059999,21.490000
36399,,,,,,,,,,,,,1.394693,6.439622,0.156384,0.260834,,,,,,,,,,,,
36401,,,,,,,,,,,,,,,,,,,,-0.051787,-0.978829,1.166519,,,,,,
36408,,,,,,,,,,,,,,,,,,,,,,,0.269864,-0.003172,0.939522,5.390000,12.460000,19.740000
36409,,,,,,,,,,,,,2.270700,9.258517,0.150335,0.236856,,,,,,,,,,,,
36411,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
36412,,,,,,,,,,,24.005732,41.012913,,,,,0.042855,-0.033119,0.539832,-0.051195,-0.977767,1.166601,,,,,,
36418,,,,,,,,,,,,,,,,,,,,,,,0.269864,-0.003172,0.939522,-1.400000,-0.350000,53.970001
36419,,,,,,,,,,,,,2.455764,10.516103,0.234591,0.337397,,,,,,,,,,,,
36421,,,,,,,,,,,,,,,,,,,,-0.050573,-0.976534,1.176533,,,,,,
36428,,,,,,,,,,,,,,,,,,,,,,,0.332572,0.011651,1.113433,-1.890000,-17.010000,85.330002
36429,,,,,,,,,,,,,4.257380,12.134898,0.220525,0.326985,,,,,,,,,,,,
36431,,,,,,,,,,,,,,,,,,,,-0.050042,-0.975224,1.189831,,,,,,
36438,,,,,,,,,,,,,,,,,,,,,,,0.332572,0.011651,1.113433,1.330000,-2.240000,88.970001
36439,,,,,,,,,,,,,6.320759,15.139782,0.203428,0.302110,,,,,,,,,,,,
36441,,,,,,,,,,,,,,,,,,,,-0.049220,-0.973585,1.206612,,,,,,
36448,,,,,,,,,,,,,,,,,,,,,,,0.305000,0.013725,0.947574,9.450000,6.860000,82.110001
36449,,,,,,,,,,,,,7.509606,17.669083,0.194839,0.281486,,,,,,,,,,,,
36451,,,,,,,,,,,,,,,,,,,,-0.048285,-0.971392,1.220038,,,,,,
36458,,,,,,,,,,,,,,,,,,,,,,,0.305000,0.013725,0.947574,-0.630000,-3.290000,89.879997
36459,,,,,,,,,,,,,8.503090,19.781906,0.188004,0.264604,,,,,,,,,,,,
36461,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,-0.047146,-0.968935,1.240430,,,,,,
36462,,,,,,,,,,,31.499098,50.107681,,,,,0.055498,-0.021691,0.529950,,,,,,,,,
36468,,,,,,,,,,,,,,,,,,,,,,,0.373747,0.025254,1.091229,7.350000,-7.490000,103.250000
36469,,,,,,,,,,,,,9.888973,21.566547,0.253401,0.343414,,,,,,,,,,,,
36471,,,,,,,,,,,,,,,,,,,,-0.045927,-0.966142,1.260946,,,,,,
36479,,,,,,,,,,,,,11.573527,23.025509,0.240541,0.334240,,,,,,,,,,,,
