ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
23200,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23200,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23208,,,,,,,,,,,,,,,,,,,,-0.093929,-1.008920,1.434478,,,,,,
23209,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23209,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23219,,,,,,,,,,,,,,,,,,,,-0.093942,-1.008921,1.430808,,,,,,
23219,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23219,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23228,,,,,,,,,,,,,,,,,,,,-0.093943,-1.008924,1.430813,,,,,,
23229,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23229,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23239,,,,,,,,,,,,,,,,,,,,-0.093941,-1.008922,1.434482,,,,,,
23239,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23239,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23248,,,,,,,,,,,,,,,,,,,,-0.093944,-1.008920,1.434478,,,,,,
23249,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
23249,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23251,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
23251,,,,,,,,,,,26.450476,36.015034,,,,,,,,,,,,,,,,
23252,,,,,,,,,,,,,,,,,0.049418,-0.086192,0.247733,,,,,,,,,
23259,,,,,,,,,,,,,,,,,,,,-0.093940,-1.008913,1.430813,,,,,,
23259,,,,,,,,,,,,,,,0.269795,0.367353,,,,,,,,,,,,
23259,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
23269,,,,,,,,,,,,,,,,,,,,-0.093948,-1.008919,1.430808,,,,,,
23269,,,,,,,,,,,,,,,0.204328,0.268421,,,,,,,,,,,,
23269,,,,,,,,,,,,,6.936933,10.405398,,,,,,,,,,,,,,
23278,,,,,,,,,,,,,,,,,,,,-0.093937,-1.008979,1.430790,,,,,,
23279,,,,,,,,,,,,,,,0.173290,0.168284,,,,,,,,,,,,
23279,,,,,,,,,,,,,10.362478,20.724957,,,,,,,,,,,,,,
23288,,,,,,,,,,,,,,,,,,,,-0.093902,-1.008896,1.434437,,,,,,
23289,,,,,,,,,,,,,,,0.141953,0.137295,,,,,,,,,,,,
23289,,,,,,,,,,,,,13.750239,24.062920,,,,,,,,,,,,,,
23301,,,,,,,,,,,,,,,0.222800,0.292208,,,,,,,,,,,,
23301,,,,,,,,,,,,,6.073113,9.109670,,,,,,,,,,,,,,
23302,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
23303,,,,,,,,,,,36.737316,47.566788,,,,,,,,,,,,,,,,
23303,,,,,,,,,,,,,,,,,0.068511,-0.080870,0.285340,,,,,,,,,
23304,,,,,,,,,,,,,,,,,,,,-0.093723,-1.007911,1.434462,,,,,,
23308,,,,,,,,,,,,,,,,,,,,-0.093545,-1.006733,1.434462,,,,,,
23309,,,,,,,,,,,,,,,0.271722,0.386311,,,,,,,,,,,,
23309,,,,,,,,,,,,,11.963187,11.963187,,,,,,,,,,,,,,
23318,,,,,,,,,,,,,,,,,,,,-0.093199,-1.005323,1.438161,,,,,,
23319,,,,,,,,,,,,,,,0.257516,0.233086,,,,,,,,,,,,
23319,,,,,,,,,,,,,13.841704,27.683409,,,,,,,,,,,,,,
23328,,,,,,,,,,,,,,,,,,,,-0.092897,-1.003882,1.441824,,,,,,
23329,,,,,,,,,,,,,,,0.157223,0.203073,,,,,,,,,,,,
23329,,,,,,,,,,,,,24.123299,31.015671,,,,,,,,,,,,,,
23339,,,,,,,,,,,,,,,0.230611,0.242435,,,,,,,,,,,,
23339,,,,,,,,,,,,,17.175760,27.481216,,,,,,,,,,,,,,
23340,,,,,,,,,,,,,,,,,,,,-0.092607,-1.001878,1.441807,,,,,,
23349,,,,,,,,,,,,,,,0.234820,0.316886,,,,,,,,,,,,
23349,,,,,,,,,,,,,17.146597,20.575916,,,,,,,,,,,,,,
23351,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,,,,,,,,,,,,,,,,,,
23352,,,,,,,,,,,45.755604,57.711266,,,,,,,,,,,,,,,,
23352,,,,,,,,,,,,,,,,,0.085098,-0.073602,0.310936,,,,,,,,,
23352,,,,,,,,,,,,,,,,,,,,-0.092215,-0.999345,1.445568,,,,,,
23358,,,,,,,,,,,,,,,,,,,,-0.091704,-0.996718,1.452904,,,,,,
23359,,,,,,,,,,,,,,,0.293221,0.352434,,,,,,,,,,,,
23359,,,,,,,,,,,,,20.823418,27.764557,,,,,,,,,,,,,,
23368,,,,,,,,,,,,,,,,,,,,-0.091328,-0.993563,1.456605,,,,,,
23369,,,,,,,,,,,,,,,0.264450,0.325135,,,,,,,,,,,,
23369,,,,,,,,,,,,,24.132988,31.028128,,,,,,,,,,,,,,
23381,,,,,,,,,,,,,,,0.244545,0.256400,,,,,,,,,,,,
23381,,,,,,,,,,,,,26.508463,38.290001,,,,,,,,,,,,,,
23388,,,,,,,,,,,,,,,,,,,,-0.090246,-0.986525,1.475229,,,,,,
23389,,,,,,,,,,,,,,,0.222244,0.269580,,,,,,,,,,,,
23389,,,,,,,,,,,,,29.072266,37.378628,,,,,,,,,,,,,,
23398,,,,,,,,,,,,,,,,,,,,-0.089732,-0.982301,1.486473,,,,,,
23399,,,,,,,,,,,,,,,0.240880,0.303363,,,,,,,,,,,,
23399,,,,,,,,,,,,,27.572252,34.465317,,,,,,,,,,,,,,
23401,,,,-0.014805,-0.897035,1.779629,0.545988,0.547042,,,,,,,,,,,,,,,,,,,,
23402,,,,,,,,,,,52.376194,63.977329,,,,,,,,,,,,,,,,
23402,,,,,,,,,,,,,,,,,0.090619,-0.067766,0.290945,,,,,,,,,
23408,,,,,,,,,,,,,,,,,,,,-0.089138,-0.977637,1.494059,,,,,,
23409,,,,,,,,,,,,,,,0.277621,0.372736,,,,,,,,,,,,
23409,,,,,,,,,,,,,30.947334,34.385925,,,,,,,,,,,,,,
23419,,,,,,,,,,,,,,,,,,,,-0.088695,-0.972967,1.505350,,,,,,
23419,,,,,,,,,,,,,,,0.280318,0.271138,,,,,,,,,,,,
23419,,,,,,,,,,,,,31.103083,44.926674,,,,,,,,,,,,,,
23428,,,,,,,,,,,,,,,,,,,,-0.088196,-0.967828,1.516729,,,,,,
23429,,,,,,,,,,,,,,,0.215124,0.276190,,,,,,,,,,,,
23429,,,,,,,,,,,,,37.911846,44.804913,,,,,,,,,,,,,,
23438,,,,,,,,,,,,,,,,,,,,-0.087595,-0.962210,1.532063,,,,,,
23439,,,,,,,,,,,,,,,0.252959,0.314925,,,,,,,,,,,,
23439,,,,,,,,,,,,,34.486084,41.383301,,,,,,,,,,,,,,
23448,,,,,,,,,,,,,,,,,,,,-0.087161,-0.956490,1.543598,,,,,,
23449,,,,,,,,,,,,,,,0.257770,0.285870,,,,,,,,,,,,
23449,,,,,,,,,,,,,34.365273,44.674858,,,,,,,,,,,,,,
23451,,,,-0.021809,-0.864917,1.789212,0.620786,0.312391,,,,,,,,,,,,,,,,,,,,
23452,,,,,,,,,,,58.802269,68.709503,,,,,,,,,,,,,,,,
23452,,,,,,,,,,,,,,,,,0.092846,-0.063022,0.244730,,,,,,,,,
23461,,,,,,,,,,,,,,,0.288852,0.315416,,,,,,,,,,,,
23461,,,,,,,,,,,,,38.097176,46.888832,,,,,,,,,,,,,,
23462,,,,,,,,,,,,,,,,,,,,-0.086844,-0.950484,1.555216,,,,,,
23468,,,,,,,,,,,,,,,,,,,,-0.086428,-0.944309,1.570793,,,,,,
23469,,,,,,,,,,,,,,,0.254759,0.328539,,,,,,,,,,,,
23469,,,,,,,,,,,,,41.845638,46.030201,,,,,,,,,,,,,,
