ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17464,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
17465,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17467,,,,,,,,,,,,,,,,,,,,0.015800,-0.794663,1.536004,,,,,,
17474,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
17475,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17476,,,,,,,,,,,,,,,,,,,,0.015794,-0.794660,1.536004,,,,,,
17484,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
17485,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17486,,,,,,,,,,,,,,,,,,,,0.015795,-0.794657,1.536004,,,,,,
17494,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.280000
17495,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17496,,,,,,,,,,,,,,,,,,,,0.015788,-0.794642,1.536004,,,,,,
17504,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
17505,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17506,,,,,,,,,,,,,,,,,,,,0.015791,-0.794656,1.536004,,,,,,
17513,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
17514,,,,,,,,,,,-36.563789,-27.915081,,,,,-0.177524,0.011459,0.146207,,,,,,,,,
17515,,,,,,,,,,,,,0.000000,0.000000,-0.372951,-0.284734,,,,,,,,,,,,
17517,,,,,,,,,,,,,,,,,,,,0.015787,-0.794650,1.536004,,,,,,-0.350000
17524,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.210000
17525,,,,,,,,,,,,,-2.194633,-1.645974,-0.357878,-0.273528,,,,,,,,,,,,
17526,,,,,,,,,,,,,,,,,,,,0.015791,-0.794662,1.536004,,,,,,
17534,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.380001
17535,,,,,,,,,,,,,-4.588749,-3.578671,-0.340332,-0.259068,,,,,,,,,,,,
17536,,,,,,,,,,,,,,,,,,,,0.015800,-0.794577,1.543818,,,,,,
17545,,,,,,,,,,,,,-6.602606,-4.656074,-0.326186,-0.252946,,,,,,,,,,,,54.459999
17547,,,,,,,,,,,,,,,,,,,,0.015849,-0.793929,1.552392,,,,,,
17555,,,,,,,,,,,,,-9.379854,-6.649350,-0.303850,-0.237266,,,,,,,,,,,,
17556,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.919998
17557,,,,,,,,,,,,,,,,,,,,0.015933,-0.793197,1.562262,,,,,,
17564,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,-25.187366,-16.023842,,,,,-0.156932,0.019251,0.163005,,,,,,,,,
17565,,,,,,,,,,,,,-12.829137,-8.886047,-0.158065,-0.097415,,,,,,,,,,,,
17567,,,,,,,,,,,,,,,,,,,,0.015813,-0.793433,1.573106,,,,,,76.720001
17574,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.690002
17575,,,,,,,,,,,,,-16.816326,-11.308832,-0.119867,-0.074130,,,,,,,,,,,,
17577,,,,,,,,,,,,,,,,,,,,0.015824,-0.796047,1.587614,,,,,,
17584,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.129997
17585,,,,,,,,,,,,,-16.895590,-10.613784,-0.120733,-0.082162,,,,,,,,,,,,
17587,,,,,,,,,,,,,,,,,,,,0.015874,-0.798773,1.602708,,,,,,
17595,,,,,,,,,,,,,-16.407047,-9.478211,-0.127374,-0.094827,,,,,,,,,,,,88.620003
17597,,,,,,,,,,,,,,,,,,,,0.015878,-0.801535,1.619219,,,,,,
17604,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.099998
17605,,,,,,,,,,,,,-16.553717,-9.624264,-0.127634,-0.094646,,,,,,,,,,,,
17607,,,,,,,,,,,,,,,,,,,,0.015972,-0.803589,1.641810,,,,,,
17614,,,,-0.009029,-0.925637,1.758086,0.467199,0.762906,,,-8.717551,-0.752364,,,,,-0.119942,0.033472,0.117429,,,,,,,,,
17615,,,,,,,,,,,,,-17.202759,-9.735085,0.045251,0.060973,,,,,,,,,,,,
17619,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.830002
17617,,,,,,,,,,,,,,,,,,,,0.016008,-0.806011,1.661016,,,,,,
17624,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.790001
17625,,,,,,,,,,,,,-16.679251,-8.742312,0.041609,0.052643,,,,,,,,,,,,
17626,,,,,,,,,,,,,,,,,,,,0.016243,-0.808725,1.684062,,,,,,
17634,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.480003
17635,,,,,,,,,,,,,-14.581089,-7.355781,0.021800,0.040099,,,,,,,,,,,,
17637,,,,,,,,,,,,,,,,,,,,0.016292,-0.810993,1.695063,,,,,,
