ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
238131,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
238132,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
238134,,,,,,,,,,,,,,,,,,,,0.000526,0.259288,1.206575,,,,,,
238141,,,,,,,,,,,,,,,,,,,,0.000526,0.259293,1.206575,,,,,,-0.420000
238142,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
238151,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
238149,,,,,,,,,,,,,,,,,,,,0.000529,0.259286,1.206552,,,,,,
238152,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
238157,,,,,,,,,,,,,,,,,,,,0.000527,0.259287,1.206552,,,,,,
238161,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
238162,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
238171,,,,,,,,,,,,,,,,,,,,0.000529,0.259288,1.206552,,,,,,-0.420000
238172,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
238178,,,,0.000007,0.000007,0.785398,0.000055,-0.000000,,,-68.187050,-68.188629,,,,,-0.242457,-0.091879,-0.421154,,,,,,,,,
238179,,,,,,,,,,,,,,,,,,,,0.000527,0.259290,1.206552,,,,,,
238182,,,,,,,,,,,,,0.000000,0.000000,-0.695508,-0.695524,,,,,,,,,,,,
238183,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.350000
238186,,,,,,,,,,,,,,,,,,,,0.000528,0.259293,1.206552,,,,,,
238191,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.070000
238192,,,,,,,,,,,,,-4.933946,-4.385730,-0.658819,-0.664427,,,,,,,,,,,,
238201,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.470000
238200,,,,,,,,,,,,,,,,,,,,0.000530,0.259288,1.209915,,,,,,
238202,,,,,,,,,,,,,-14.023291,-12.465145,-0.578758,-0.594778,,,,,,,,,,,,
238207,,,,,,,,,,,,,,,,,,,,0.000642,0.259630,1.210028,,,,,,
238212,,,,,,,,,,,,,-24.969643,-22.561083,-0.477938,-0.502944,,,,,,,,,,,,10.710000
238232,,,,,,,,,,,,,-35.039818,-32.187943,-0.383866,-0.413876,,,,,,,,,,,,
238235,,,,0.000037,0.000037,0.785398,0.000426,-0.000000,,,-67.751747,-67.764099,,,,,-0.241003,-0.090575,-0.426598,,,,,,,,,
238228,,,,,,,,,,,,,,,,,,,,0.001346,0.261114,1.213409,,,,,,
238239,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.840000
238242,,,,,,,,,,,,,-45.698792,-42.218140,-0.277334,-0.314437,,,,0.000459,0.259154,1.213187,,,,,,
238244,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.780000
238249,,,,,,,,,,,,,,,,,,,,-0.000673,0.255950,1.221578,,,,,,24.430000
238252,,,,,,,,,,,,,-51.608147,-48.131310,-0.221469,-0.259232,,,,,,,,,,,,
238255,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.299999
238257,,,,,,,,,,,,,,,,,,,,-0.001318,0.253954,1.218891,,,,,,
238262,,,,,,,,,,,,,-48.901939,-45.428646,-0.252301,-0.290726,,,,,,,,,,,,-3.220000
