ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
35777,,,,,,,,,,,,,,,,,,,,,,,-0.030683,-0.003904,1.017358,0.630000,0.140000,-0.280000
35778,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
35779,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35783,,,,,,,,,,,,,,,,,,,,-0.063568,-0.983318,1.295372,,,,,,
35788,,,,,,,,,,,,,,,,,,,,,,,-0.029951,-0.002562,1.016748,0.490000,0.070000,-0.350000
35788,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
35788,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35790,,,,,,,,,,,,,,,,,,,,-0.063567,-0.983318,1.295372,,,,,,
35798,,,,,,,,,,,,,,,,,,,,,,,-0.029951,-0.002562,1.016748,0.560000,0.210000,-0.350000
35798,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
35798,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35800,,,,,,,,,,,,,,,,,,,,-0.063564,-0.983319,1.295372,,,,,,
35808,,,,,,,,,,,,,,,,,,,,,,,-0.030805,-0.002989,1.016931,0.700000,0.070000,-0.280000
35808,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
35808,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35810,,,,,,,,,,,,,,,,,,,,-0.063566,-0.983324,1.295372,,,,,,
35818,,,,,,,,,,,,,,,,,,,,,,,-0.030805,-0.002989,1.016931,0.630000,0.210000,-0.350000
35818,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
35818,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35820,,,,,,,,,,,,,,,,,,,,-0.063574,-0.983321,1.295372,,,,,,
35828,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
35828,,,,,,,,,,,18.322735,30.543512,,,,,,,,,,,,,,,,
35828,,,,,,,,,,,,,,,,,0.027998,-0.056244,0.386839,,,,,,,,,
35829,,,,,,,,,,,,,,,0.186892,0.311544,,,,,,,,,,,,
35829,,,,,,,,,,,,,-0.000000,-0.000000,,,,,,,,,,,,,,
35829,,,,,,,,,,,,,,,,,,,,,,,-0.030927,-0.002806,1.017236,0.630000,0.070000,-0.350000
35830,,,,,,,,,,,,,,,,,,,,-0.063569,-0.983319,1.295372,,,,,,
35838,,,,,,,,,,,,,,,,,,,,,,,-0.030927,-0.002806,1.017236,0.630000,-2.520000,-0.140000
35839,,,,,,,,,,,,,,,0.190556,0.246910,,,,,,,,,,,,
35839,,,,,,,,,,,,,-0.000000,6.935531,,,,,,,,,,,,,,
35840,,,,,,,,,,,,,,,,,,,,-0.063568,-0.983320,1.295372,,,,,,
35849,,,,,,,,,,,,,,,0.158971,0.146123,,,,,,,,,,,,
35849,,,,,,,,,,,,,3.455898,17.279490,,,,,,,,,,,,,,
35852,,,,,,,,,,,,,,,,,,,,,,,0.000244,-0.002562,1.022604,-2.030000,-20.510000,20.719999
35850,,,,,,,,,,,,,,,,,,,,-0.063609,-0.983416,1.295342,,,,,,
35858,,,,,,,,,,,,,,,,,,,,,,,0.000244,-0.002562,1.038220,-3.990000,-7.770000,21.070000
35859,,,,,,,,,,,,,,,0.161997,0.219436,,,,,,,,,,,,
35859,,,,,,,,,,,,,3.450688,10.352064,,,,,,,,,,,,,,
35861,,,,,,,,,,,,,,,,,,,,-0.063494,-0.983068,1.298801,,,,,,
35868,,,,,,,,,,,,,,,,,,,,,,,0.277306,0.008723,1.038220,0.490000,9.240000,30.870001
35869,,,,,,,,,,,,,,,0.164982,0.223506,,,,,,,,,,,,
35869,,,,,,,,,,,,,3.449648,10.348945,,,,,,,,,,,,,,
35871,,,,,,,,,,,,,,,,,,,,-0.063165,-0.982070,1.302274,,,,,,
35878,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
35878,,,,,,,,,,,27.370039,41.715923,,,,,,,,,,,,,,,,
35879,,,,,,,,,,,,,,,,,0.045520,-0.048015,0.423542,,,,,,,,,
35879,,,,,,,,,,,,,,,0.227105,0.344582,,,,,,,,,,,,
35879,,,,,,,,,,,,,6.698078,10.047117,,,,,,,,,,,,,,
35880,,,,,,,,,,,,,,,,,,,,,,,0.227286,-0.013115,1.032364,-2.240000,3.430000,51.520000
35882,,,,,,,,,,,,,,,,,,,,-0.062829,-0.981164,1.312728,,,,,,
35888,,,,,,,,,,,,,,,,,,,,,,,0.227286,-0.013115,1.032364,-0.840000,-12.250000,63.840000
35888,,,,,,,,,,,,,,,0.226729,0.234902,,,,,,,,,,,,
35889,,,,,,,,,,,,,7.140345,21.421034,,,,,,,,,,,,,,
35892,,,,,,,,,,,,,,,,,,,,-0.062518,-0.979988,1.323234,,,,,,
35898,,,,,,,,,,,,,,,,,,,,,,,0.242170,-0.008113,1.012600,3.360000,-17.080000,73.779999
35898,,,,,,,,,,,,,,,0.233191,0.211002,,,,,,,,,,,,
35899,,,,,,,,,,,,,6.903458,24.162102,,,,,,,,,,,,,,
35901,,,,,,,,,,,,,,,,,,,,-0.061990,-0.978752,1.337320,,,,,,
