ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
31516,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
31516,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31518,,,,,,,,,,,,,,,,,,,,-0.065123,-0.979052,1.260852,,,,,,
31526,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
31526,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31529,,,,,,,,,,,,,,,,,,,,-0.065123,-0.979053,1.260852,,,,,,
31536,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
31536,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31539,,,,,,,,,,,,,,,,,,,,-0.065124,-0.979053,1.260852,,,,,,
31546,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
31546,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31549,,,,,,,,,,,,,,,,,,,,-0.065120,-0.979053,1.260852,,,,,,
31556,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
31556,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31559,,,,,,,,,,,,,,,,,,,,-0.065117,-0.979053,1.260852,,,,,,
31561,,,,-0.001836,-0.971674,1.682211,0.286078,1.123658,,,,,,,,,,,,,,,,,,,,
31562,,,,,,,,,,,17.331709,30.109854,,,,,,,,,,,,,,,,
31562,,,,,,,,,,,,,,,,,0.026328,-0.058015,0.421359,,,,,,,,,
31566,,,,,,,,,,,,,,,0.176783,0.307121,,,,,,,,,,,,
31566,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
31569,,,,,,,,,,,,,,,,,,,,-0.065123,-0.979048,1.260852,,,,,,
31576,,,,,,,,,,,,,,,0.180250,0.296384,,,,,,,,,,,,
31576,,,,,,,,,,,,,0.000000,1.642995,,,,,,,,,,,,,,
31579,,,,,,,,,,,,,,,,,,,,-0.065122,-0.979051,1.260852,,,,,,
31586,,,,,,,,,,,,,,,0.178139,0.271272,,,,,,,,,,,,
31586,,,,,,,,,,,,,0.546785,4.663126,,,,,,,,,,,,,,
31589,,,,,,,,,,,,,,,,,,,,-0.065140,-0.979090,1.260845,,,,,,
31596,,,,,,,,,,,,,,,0.182380,0.244892,,,,,,,,,,,,
31596,,,,,,,,,,,,,0.460065,7.748360,,,,,,,,,,,,,,
31600,,,,,,,,,,,,,,,,,,,,-0.064992,-0.979001,1.267710,,,,,,
31606,,,,,,,,,,,,,,,0.180942,0.217442,,,,,,,,,,,,
31606,,,,,,,,,,,,,0.931914,10.877994,,,,,,,,,,,,,,
31614,,,,-0.004685,-0.950614,1.725241,0.381561,0.954157,,,,,,,,,,,,,,,,,,,,
31614,,,,,,,,,,,26.410089,41.121540,,,,,,,,,,,,,,,,
31614,,,,,,,,,,,,,,,,,0.043387,-0.049876,0.441278,,,,,,,,,
