ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
27168,,,,,,,,,,,,,,,,,,,,0.939594,-0.075562,1.380051,,,,,,
27173,,,,,,,,,,,,,,,,,,,,,,,-0.017385,-0.018117,1.021201,0.140000,0.070000,-0.420000
27175,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27177,,,,,,,,,,,,,,,,,,,,0.939592,-0.075562,1.380051,,,,,,
27183,,,,,,,,,,,,,,,,,,,,,,,-0.017385,-0.018117,1.021201,3.290000,1.120000,-0.280000
27185,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27187,,,,,,,,,,,,,,,,,,,,0.939589,-0.075551,1.380051,,,,,,
27193,,,,,,,,,,,,,,,,,,,,,,,-0.017995,-0.017568,1.021628,1.120000,-1.050000,0.000000
27195,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27198,,,,,,,,,,,,,,,,,,,,0.939592,-0.075551,1.380051,,,,,,
27204,,,,,,,,,,,,,,,,,,,,,,,-0.017995,-0.017568,1.021628,-2.940000,-2.170000,-0.280000
27205,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27207,,,,,,,,,,,,,,,,,,,,0.939598,-0.075541,1.380051,,,,,,
27214,,,,,,,,,,,,,,,,,,,,,,,-0.017263,-0.018056,1.021689,-0.840000,-0.070000,-0.560000
27215,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27217,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,24.413464,24.472021,,,,,0.086101,-0.044893,0.191233,0.939601,-0.075542,1.380051,,,,,,
27224,,,,,,,,,,,,,,,,,,,,,,,-0.017263,-0.018056,1.021689,3.080000,1.120000,-0.350000
27225,,,,,,,,,,,,,0.000000,0.000000,0.346671,0.347503,,,,,,,,,,,,
27227,,,,,,,,,,,,,,,,,,,,0.939611,-0.075538,1.380051,,,,,,
27235,,,,,,,,,,,,,1.094999,2.189999,0.340385,0.330059,,,,,,,,,,,,
27239,,,,,,,,,,,,,,,,,,,,,,,-0.017141,-0.019093,1.021384,1.750000,-9.520000,-31.080000
27238,,,,,,,,,,,,,,,,,,,,0.939554,-0.075602,1.376494,,,,,,
27244,,,,,,,,,,,,,,,,,,,,,,,-0.017141,-0.019093,1.021384,2.520000,-58.939999,-32.759998
27245,,,,,,,,,,,,,4.216934,5.138267,0.313205,0.304443,,,,,,,,,,,,
27247,,,,,,,,,,,,,,,,,,,,0.939575,-0.075662,1.373026,,,,,,
27254,,,,,,,,,,,,,,,,,,,,,,,0.300303,-0.034526,1.094584,7.140000,-13.650000,-27.650000
27255,,,,,,,,,,,,,7.944923,8.720133,0.279219,0.271775,,,,,,,,,,,,
27257,,,,,,,,,,,,,,,,,,,,0.939737,-0.075133,1.369618,,,,,,
27263,,,,,,,,,,,,,,,,,,,,,,,0.300303,-0.034526,1.094584,3.080000,17.219999,-22.540001
27265,,,,,,,,,,,,,11.607406,11.165767,0.245155,0.249980,,,,,,,,,,,,
27267,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,25.095312,25.335243,,,,,0.086502,-0.043765,0.202280,,,,,,,,,
27268,,,,,,,,,,,,,,,,,,,,0.939998,-0.074126,1.366068,,,,,,
27274,,,,,,,,,,,,,,,,,,,,,,,0.333670,-0.022448,0.909693,-6.510000,-3.570000,-21.770000
27275,,,,,,,,,,,,,14.157948,12.688482,0.231383,0.249367,,,,,,,,,,,,
27277,,,,,,,,,,,,,,,,,,,,0.940372,-0.072745,1.355164,,,,,,
27284,,,,,,,,,,,,,,,,,,,,,,,0.333670,-0.019764,1.094157,5.600000,-6.160000,-29.680000
27285,,,,,,,,,,,,,14.650544,12.866527,0.228546,0.250080,,,,,,,,,,,,
27287,,,,,,,,,,,,,,,,,,,,0.940921,-0.070925,1.344367,,,,,,
27295,,,,,,,,,,,,,15.624230,13.573614,0.220703,0.245362,,,,,,,,,,,,
27299,,,,,,,,,,,,,,,,,,,,,,,0.467626,-0.019764,1.094157,5.670000,-4.550000,-26.879999
27297,,,,,,,,,,,,,,,,,,,,0.941459,-0.068560,1.348093,,,,,,
27304,,,,,,,,,,,,,,,,,,,,,,,0.338916,-0.023851,0.956907,6.440000,-3.010000,-24.850000
27305,,,,,,,,,,,,,15.893946,14.168557,0.219846,0.241646,,,,,,,,,,,,
27307,,,,,,,,,,,,,,,,,,,,0.942081,-0.065846,1.348111,,,,,,
27313,,,,,,,,,,,,,,,,,,,,,,,0.338916,-0.023851,0.956907,3.080000,-2.870000,-16.379999
27315,,,,,,,,,,,,,16.653873,15.202132,0.213935,0.233337,,,,,,,,,,,,
27317,,,,0.999993,0.003784,1.574580,0.031924,0.031924,,,24.252876,24.830660,,,,,,,,0.942651,-0.063160,1.341017,,,,,,
27318,,,,,,,,,,,,,,,,,0.080345,-0.041197,0.225778,,,,,,,,,
27324,,,,,,,,,,,,,,,,,,,,,,,0.284992,-0.013847,1.016016,-0.490000,4.480000,-12.180000
27325,,,,,,,,,,,,,17.862095,16.090668,0.191337,0.219135,,,,,,,,,,,,
27327,,,,,,,,,,,,,,,,,,,,0.943398,-0.059949,1.340979,,,,,,
27334,,,,,,,,,,,,,,,,,,,,,,,0.284992,-0.013847,1.016016,4.480000,-11.130000,-14.210000
27335,,,,,,,,,,,,,18.857813,16.820385,0.182459,0.213440,,,,,,,,,,,,
27337,,,,,,,,,,,,,,,,,,,,0.944132,-0.056561,1.341187,,,,,,
27343,,,,,,,,,,,,,,,,,,,,,,,0.192455,-0.017812,1.052982,6.370000,-12.670000,-11.130000
27345,,,,,,,,,,,,,19.702930,17.988638,0.174918,0.203126,,,,,,,,,,,,
27348,,,,,,,,,,,,,,,,,,,,0.944892,-0.053313,1.334004,,,,,,
27355,,,,,,,,,,,,,20.417490,18.975084,0.168539,0.194433,,,,,,,,,,,,
27358,,,,,,,,,,,,,,,,,,,,0.945829,-0.049671,1.334076,0.192455,-0.017812,0.938668,4.690000,6.860000,-9.310000
27364,,,,,,,,,,,,,,,,,,,,,,,0.150548,-0.017812,0.938668,6.930000,16.940001,-4.480000
27365,,,,,,,,,,,,,21.014471,19.800831,0.163217,0.187181,,,,,,,,,,,,
27367,,,,0.999974,0.007277,1.578073,0.055590,0.055590,,,,,,,,,,,,0.946735,-0.045751,1.333961,,,,,,
27368,,,,,,,,,,,21.973547,23.044273,,,,,0.068043,-0.039300,0.243729,,,,,,,,,
27374,,,,,,,,,,,,,,,,,,,,,,,0.150548,-0.017812,0.938668,9.870000,22.889999,-2.660000
27375,,,,,,,,,,,,,21.514071,21.040415,0.126403,0.150177,,,,,,,,,,,,
27377,,,,,,,,,,,,,,,,,,,,0.947765,-0.041734,1.334004,,,,,,
27384,,,,,,,,,,,,,,,,,,,,,,,0.099552,-0.024766,1.053775,6.230000,7.070000,1.050000
27385,,,,,,,,,,,,,21.950298,21.551764,0.122045,0.145362,,,,,,,,,,,,
27387,,,,,,,,,,,,,,,,,,,,0.948739,-0.037721,1.333841,,,,,,
27395,,,,,,,,,,,,,22.307652,21.972324,0.118405,0.141370,,,,,,,,,,,,
27399,,,,,,,,,,,,,,,,,,,,,,,0.020740,0.004209,1.024922,-2.660000,3.360000,0.000000
27398,,,,,,,,,,,,,,,,,,,,0.949650,-0.033610,1.337373,,,,,,
27404,,,,,,,,,,,,,,,,,,,,,,,0.020740,0.004209,1.024922,-0.700000,4.900000,2.590000
27405,,,,,,,,,,,,,22.609875,22.327730,0.115255,0.137960,,,,,,,,,,,,
27407,,,,,,,,,,,,,,,,,,,,0.950540,-0.029803,1.326744,,,,,,
27413,,,,,,,,,,,,,,,,,,,,,,,0.020740,0.004209,1.024922,-2.450000,3.780000,5.390000
27415,,,,,,,,,,,,,22.854134,22.616735,0.112636,0.135155,,,,,,,,,,,,
27417,,,,0.999923,0.012379,1.583176,0.085059,0.085059,,,19.205853,20.912151,,,,,,,,0.951447,-0.025625,1.333789,,,,,,
27418,,,,,,,,,,,,,,,,,0.053035,-0.037741,0.255983,,,,,,,,,
