ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
44359,,,,,,,,,,,-0.595786,-0.591664,,,,,-0.074393,0.033077,-0.106749,,,,,,,,,
46467,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.014945,-0.013908,1.021567,0.070000,-0.490000,-0.210000
46466,,,,,,,,,,,,,,,,,,,,1.024952,0.077553,1.677525,,,,,,
46474,,,,,,,,,,,,,,,,,,,,1.024951,0.077556,1.677525,,,,,,
46477,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.015433,-0.014701,1.021384,-2.100000,0.770000,-0.280000
46486,,,,,,,,,,,,,,,,,,,,,,,-0.015433,-0.014701,1.021384,4.270000,0.000000,0.000000
46487,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
46484,,,,,,,,,,,,,,,,,,,,1.024955,0.077554,1.677525,,,,,,
46497,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.015189,-0.014823,1.022848,-0.980000,-1.750000,-0.070000
46495,,,,,,,,,,,,,,,,,,,,1.024943,0.077555,1.677525,,,,,,
46506,,,,,,,,,,,,,,,,,,,,,,,-0.015189,-0.014823,1.022848,-3.850000,-0.910000,-0.420000
46507,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
46505,,,,,,,,,,,,,,,,,,,,1.024950,0.077549,1.677525,,,,,,
46511,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
46513,,,,,,,,,,,-0.591041,-0.586830,,,,,-0.073964,0.033017,-0.106241,,,,,,,,,
46521,,,,,,,,,,,,,0.000000,0.000000,-0.010238,-0.010165,,,,,,,,,,,,
