ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
32603,,,,,,,,,,,,,,,,,,,,,,,-0.016714,-0.010065,1.021201,0.070000,-0.490000,-0.350000
32605,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32606,,,,,,,,,,,,,,,,,,,,-1.020594,-1.023708,0.021955,,,,,,
32613,,,,,,,,,,,,,,,,,,,,,,,-0.017019,-0.010431,1.021567,-0.280000,-1.820000,-0.140000
32615,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32616,,,,,,,,,,,,,,,,,,,,-1.020590,-1.023709,0.021929,,,,,,
32623,,,,,,,,,,,,,,,,,,,,,,,-0.017019,-0.010431,1.021567,-3.570000,-0.630000,-0.420000
32625,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32627,,,,,,,,,,,,,,,,,,,,-1.020593,-1.023704,0.024723,,,,,,
32634,,,,,,,,,,,,,,,,,,,,,,,-0.016714,-0.010248,1.022543,2.380000,0.910000,-0.350000
32635,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32637,,,,,,,,,,,,,,,,,,,,-1.020607,-1.023705,0.021929,,,,,,
32644,,,,,,,,,,,,,,,,,,,,,,,-0.016714,-0.010248,1.022543,3.640000,-0.490000,0.000000
32645,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-1.020602,-1.023704,0.021929,,,,,,
32654,,,,-0.999902,-1.000000,0.003362,0.000744,0.025452,,,0.455784,0.585222,,,,,0.021214,0.023245,-0.018567,,,,,,,,,
32655,,,,,,,,,,,,,0.000000,0.000000,0.006374,0.008184,,,,-1.020600,-1.023703,0.021929,-0.016287,-0.010248,1.022787,-2.590000,-1.820000,-0.210000
32667,,,,,,,,,,,,,0.000000,0.000000,0.006374,0.008184,,,,,,,,,,,,
32666,,,,,,,,,,,,,,,,,,,,-1.020598,-1.023710,0.021929,,,,,,
32672,,,,,,,,,,,,,,,,,,,,,,,-0.017568,-0.009394,1.021567,3.010000,0.980000,-0.280000
32675,,,,,,,,,,,,,0.000000,0.000000,0.006374,0.008184,,,,,,,,,,,,
32677,,,,,,,,,,,,,,,,,,,,,,,-0.017568,-0.009394,1.021567,4.340000,0.210000,-0.070000
32676,,,,,,,,,,,,,,,,,,,,-1.020598,-1.023705,0.021929,,,,,,
32683,,,,,,,,,,,,,,,,,,,,,,,-0.017568,-0.009394,1.021567,2.940000,-0.770000,-0.070000
32685,,,,,,,,,,,,,0.000000,0.000000,0.006374,0.008184,,,,,,,,,,,,
32687,,,,,,,,,,,,,,,,,,,,-1.020592,-1.023703,0.021929,,,,,,
32694,,,,,,,,,,,,,,,,,,,,,,,-0.017202,-0.010736,1.023092,-1.890000,-1.330000,0.000000
32695,,,,,,,,,,,,,0.000000,0.000000,0.006374,0.008184,,,,,,,,,,,,
32697,,,,,,,,,,,,,,,,,,,,-1.020596,-1.023711,0.021955,,,,,,
32704,,,,-0.999675,-0.999998,0.011200,0.002912,0.099936,,,0.403441,0.913018,,,,,0.021437,0.023247,-0.010753,,,,,,,,,
32705,,,,,,,,,,,,,0.000000,0.000000,0.005642,0.012768,,,,,,,-0.017202,-0.010736,1.023092,-3.990000,-1.540000,-0.280000
32707,,,,,,,,,,,,,,,,,,,,-1.020599,-1.023712,0.021929,,,,,,
32714,,,,,,,,,,,,,,,,,,,,,,,-0.017446,-0.010187,1.021933,-0.700000,0.420000,-0.490000
32715,,,,,,,,,,,,,0.000000,0.000000,0.005642,0.012768,,,,,,,,,,,,
32727,,,,,,,,,,,,,0.000000,0.000000,0.005642,0.012768,,,,,,,,,,,,
32725,,,,,,,,,,,,,,,,,,,,-1.020597,-1.023697,0.021929,,,,,,
32732,,,,,,,,,,,,,,,,,,,,,,,-0.017629,-0.009760,1.021689,0.490000,-1.540000,-0.070000
32735,,,,,,,,,,,,,0.000000,0.000000,0.005642,0.012768,,,,,,,,,,,,
32737,,,,,,,,,,,,,,,,,,,,,,,-0.017629,-0.009760,1.021689,-2.520000,-1.890000,-0.210000
32736,,,,,,,,,,,,,,,,,,,,-1.020603,-1.023698,0.021929,,,,,,
32744,,,,,,,,,,,,,,,,,,,,,,,-0.017995,-0.010309,1.022055,-3.920000,-1.400000,-0.280000
32745,,,,,,,,,,,,,0.000000,0.000000,0.005642,0.012768,,,,,,,,,,,,
32746,,,,,,,,,,,,,,,,,,,,-1.020596,-1.023703,0.021929,,,,,,
32754,,,,-0.999244,-0.999990,0.026256,0.006390,0.221293,,,0.313774,1.447831,,,,,0.021867,0.023240,0.004325,,,,,,,,,
32755,,,,,,,,,,,,,0.000000,0.000000,0.004388,0.020248,,,,,,,-0.017995,-0.010309,1.022055,0.000000,0.700000,-0.420000
32756,,,,,,,,,,,,,,,,,,,,-1.020598,-1.023710,0.021929,,,,,,
32763,,,,,,,,,,,,,,,,,,,,,,,-0.016470,-0.010187,1.021872,4.130000,0.210000,-0.070000
32765,,,,,,,,,,,,,0.000000,0.000000,0.004388,0.020248,,,,,,,,,,,,
32767,,,,,,,,,,,,,,,,,,,,-1.020595,-1.023706,0.021929,,,,,,
32773,,,,,,,,,,,,,,,,,,,,,,,-0.016470,-0.010187,1.021872,0.490000,-0.700000,-0.280000
32775,,,,,,,,,,,,,0.000000,0.000000,0.004388,0.020248,,,,,,,,,,,,
32787,,,,,,,,,,,,,0.000000,0.000000,0.004388,0.020248,,,,,,,,,,,,
32777,,,,,,,,,,,,,,,,,,,,-1.020597,-1.023703,0.021929,,,,,,
32788,,,,,,,,,,,,,,,,,,,,-1.020596,-1.023702,0.021929,,,,,,
32792,,,,,,,,,,,,,,,,,,,,,,,-0.016287,-0.009882,1.024312,0.070000,-0.560000,-0.280000
32795,,,,,,,,,,,,,0.000000,0.000000,0.004388,0.020248,,,,,,,,,,,,
32797,,,,,,,,,,,,,,,,,,,,,,,-0.016287,-0.009882,1.024312,0.000000,-0.560000,-0.210000
32796,,,,,,,,,,,,,,,,,,,,-1.020598,-1.023704,0.021929,,,,,,
32804,,,,-0.998555,-0.999964,0.050825,0.011034,0.388558,,,0.176816,2.183872,,,,,0.022558,0.023251,0.028895,,,,,,,,,
32805,,,,,,,,,,,,,0.000000,0.000000,0.002473,0.030541,,,,,,,-0.017446,-0.008906,1.021079,0.000000,-0.350000,-0.280000
32806,,,,,,,,,,,,,,,,,,,,-1.020594,-1.023708,0.021955,,,,,,
32813,,,,,,,,,,,,,,,,,,,,,,,-0.017446,-0.008906,1.021079,0.140000,-0.630000,-0.210000
32815,,,,,,,,,,,,,0.000000,0.000000,0.002473,0.030541,,,,,,,,,,,,
32818,,,,,,,,,,,,,,,,,,,,-1.020595,-1.023704,0.021929,,,,,,
32823,,,,,,,,,,,,,,,,,,,,,,,-0.017385,-0.008967,1.016870,0.070000,-0.630000,-0.280000
32825,,,,,,,,,,,,,0.000000,0.000000,0.002473,0.030541,,,,-1.020597,-1.023711,0.021929,,,,,,
32833,,,,,,,,,,,,,,,,,,,,,,,-0.017385,-0.008967,1.016870,0.070000,-0.420000,-0.210000
32835,,,,,,,,,,,,,0.000000,0.000000,0.002473,0.030541,,,,,,,,,,,,
32836,,,,,,,,,,,,,,,,,,,,-1.020598,-1.023710,0.021929,,,,,,
32847,,,,,,,,,,,,,0.000000,0.000000,0.002473,0.030541,,,,,,,,,,,,
32846,,,,,,,,,,,,,,,,,,,,-1.020588,-1.023709,0.021929,,,,,,
32853,,,,,,,,,,,,,,,,,,,,,,,-0.017751,-0.009882,1.025532,0.140000,-0.490000,-0.210000
32854,,,,-0.997567,-0.999895,0.087234,0.016664,0.601971,,,-0.026973,3.117191,,,,,,,,,,,,,,,,
32855,,,,,,,,,,,,,0.000000,0.000000,-0.000377,0.043593,0.023539,0.023303,0.065305,,,,,,,,,
32857,,,,,,,,,,,,,,,,,,,,-1.020592,-1.023708,0.021955,,,,,,
32860,,,,,,,,,,,,,,,,,,,,,,,-0.017080,-0.009455,1.023519,0.140000,-0.490000,-0.210000
32865,,,,,,,,,,,,,0.000000,0.000000,-0.000377,0.043593,,,,,,,-0.017080,-0.009455,1.023519,0.070000,-0.490000,-0.280000
32868,,,,,,,,,,,,,,,,,,,,-1.020592,-1.023713,0.021955,,,,,,
32873,,,,,,,,,,,,,,,,,,,,,,,-0.017080,-0.009455,1.021079,0.000000,-0.350000,-0.280000
32875,,,,,,,,,,,,,0.000000,0.000000,-0.000377,0.043593,,,,,,,,,,,,
32887,,,,,,,,,,,,,0.000000,0.000000,-0.000377,0.043593,,,,,,,,,,,,
32886,,,,,,,,,,,,,,,,,,,,-1.020593,-1.023711,0.021929,,,,,,
32892,,,,,,,,,,,,,,,,,,,,,,,-0.017385,-0.009943,1.026020,0.140000,-0.630000,-0.280000
32895,,,,,,,,,,,,,0.000000,0.000000,-0.000377,0.043593,,,,,,,,,,,,
32898,,,,,,,,,,,,,,,,,,,,,,,-0.017568,-0.010187,1.026020,-0.280000,-0.560000,-0.280000
32896,,,,,,,,,,,,,,,,,,,,-1.020595,-1.023710,0.021929,,,,,,
