ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
71352,,,,,,,,,,,,,,,,,,,,,,,-0.013481,-0.011956,1.020591,0.140000,-0.560000,-0.280000
71353,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
71356,,,,,,,,,,,,,,,,,,,,-1.018392,-1.017970,0.046934,,,,,,
71362,,,,,,,,,,,,,,,,,,,,,,,-0.013481,-0.011956,1.020591,-1.610000,-1.120000,-0.420000
71363,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
71364,,,,,,,,,,,,,,,,,,,,-1.018389,-1.017975,0.046934,,,,,,
71372,,,,,,,,,,,,,,,,,,,,,,,-0.015311,-0.012200,1.022299,0.560000,0.840000,-0.420000
71371,,,,,,,,,,,,,,,,,,,,-1.018392,-1.017969,0.046934,,,,,,
71373,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
71378,,,,,,,,,,,,,,,,,,,,-1.018399,-1.017968,0.046934,,,,,,
71382,,,,,,,,,,,,,,,,,,,,,,,-0.015311,-0.012200,1.022299,2.800000,0.490000,-0.070000
71383,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
71386,,,,,,,,,,,,,,,,,,,,-1.018392,-1.017972,0.046934,,,,,,
71392,,,,,,,,,,,,,,,,,,,,,,,-0.014640,-0.011956,1.022970,-0.070000,-2.170000,-0.280000
71393,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
71401,,,,-0.999902,-1.000000,0.003341,0.000740,0.025296,,,,,,,,,,,,,,,,,,,,
71402,,,,,,,,,,,2.546899,2.674384,,,,,,,,,,,,,,,,
71403,,,,,,,,,,,,,0.000000,0.000000,0.041411,0.043484,0.019312,0.017085,-0.043594,,,,,,,,,
