ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
24857,,,,,,,,,,,,,0.063303,0.109001,,,,,,1.089766,-0.001330,1.578547,,,,,,
24865,,,,,,,,,,,,,,,,,,,,1.089754,-0.001297,1.578575,-0.011224,-0.010187,1.006683,0.000000,0.980000,0.490000
24867,,,,,,,,,,,,,0.053263,0.091713,0.007198,0.007024,,,,,,,,,,,,
24882,,,,,,,,,,,,,0.044815,0.077168,0.007302,0.007203,,,,,,,,,,,,
24883,,,,,,,,,,,,,,,,,,,,,,,-0.011956,-0.013908,1.024434,0.280000,1.190000,1.120000
24878,,,,,,,,,,,,,,,,,,,,1.089721,-0.001276,1.578574,,,,,,
24888,,,,1.000000,-0.000000,1.570796,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
24890,,,,,,,,,,,0.485883,0.504281,,,,,0.001969,0.089708,-0.007808,,,,,,,,,
26990,,,,,,,,,,,,,,,,,,,,1.089711,-0.001315,1.578548,-0.019154,-0.013420,1.021689,0.000000,-0.910000,-0.140000
26992,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
26998,,,,,,,,,,,,,,,,,,,,1.089713,-0.001316,1.578548,,,,,,
27000,,,,,,,,,,,,,,,,,,,,,,,-0.019154,-0.013420,1.021689,-2.310000,-2.240000,-0.210000
27002,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27005,,,,,,,,,,,,,,,,,,,,1.089705,-0.001320,1.578548,,,,,,
27010,,,,,,,,,,,,,,,,,,,,,,,-0.019215,-0.012444,1.021811,-1.120000,-0.070000,-0.490000
27012,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27019,,,,,,,,,,,,,,,,,,,,1.089705,-0.001312,1.578548,,,,,,
27022,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
27027,,,,,,,,,,,,,,,,,,,,,,,-0.018910,-0.012566,1.022055,2.730000,0.140000,-0.140000
27026,,,,,,,,,,,,,,,,,,,,1.089710,-0.001312,1.578548,,,,,,
27032,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,-0.018910,-0.012566,1.022055,1.330000,-1.960000,-0.070000
27034,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
27036,,,,,,,,,,,0.557679,0.576236,,,,,0.002495,0.089694,-0.007264,,,,,,,,,
27035,,,,,,,,,,,,,,,,,,,,1.089713,-0.001322,1.578548,,,,,,
27042,,,,,,,,,,,,,0.000000,0.000000,0.009112,0.009415,,,,,,,-0.018605,-0.012993,1.020957,-2.310000,-1.260000,-0.490000
27050,,,,,,,,,,,,,,,,,,,,,,,-0.018605,-0.012993,1.020957,-1.190000,0.070000,-0.630000
27049,,,,,,,,,,,,,,,,,,,,1.089711,-0.001318,1.578548,,,,,,
27052,,,,,,,,,,,,,0.000000,0.000000,0.009112,0.009415,,,,,,,,,,,,
27056,,,,,,,,,,,,,,,,,,,,1.089712,-0.001315,1.578548,,,,,,
27060,,,,,,,,,,,,,,,,,,,,,,,-0.018788,-0.011773,1.020652,2.590000,0.980000,-0.070000
27062,,,,,,,,,,,,,0.000000,0.000000,0.009112,0.009415,,,,,,,,,,,,
27064,,,,,,,,,,,,,,,,,,,,1.089705,-0.001313,1.578548,,,,,,
27071,,,,,,,,,,,,,,,,,,,,,,,-0.018788,-0.011773,1.020652,0.560000,-0.840000,-0.070000
27072,,,,,,,,,,,,,0.000000,0.000000,0.009112,0.009415,,,,,,,,,,,,
27082,,,,,,,,,,,,,0.000000,0.000000,0.009112,0.009415,,,,,,,,,,,,
27078,,,,,,,,,,,,,,,,,,,,1.089726,-0.001328,1.578513,,,,,,
27084,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
27086,,,,,,,,,,,1.346864,1.420980,,,,,0.003641,0.089700,-0.006099,1.089718,-0.001311,1.578548,,,,,,
27091,,,,,,,,,,,,,,,,,,,,,,,-0.019398,-0.013054,1.018212,-2.030000,-2.240000,-0.210000
27092,,,,,,,,,,,,,0.000000,0.000000,0.022001,0.023211,,,,,,,,,,,,
27096,,,,,,,,,,,,,,,,,,,,,,,-0.019764,-0.012871,1.021445,-2.590000,-1.540000,-0.350000
27101,,,,,,,,,,,,,,,,,,,,,,,-0.019764,-0.012871,1.021445,-1.540000,-0.210000,-0.490000
27100,,,,,,,,,,,,,,,,,,,,1.089718,-0.001315,1.578548,,,,,,
27102,,,,,,,,,,,,,0.000000,0.000000,0.022001,0.023211,,,,,,,,,,,,
27107,,,,,,,,,,,,,,,,,,,,1.089718,-0.001317,1.578548,,,,,,
27110,,,,,,,,,,,,,,,,,,,,,,,-0.019764,-0.012871,1.021445,2.240000,0.980000,-0.350000
27112,,,,,,,,,,,,,0.000000,0.000000,0.022001,0.023211,,,,,,,,,,,,
27115,,,,,,,,,,,,,,,,,,,,1.089710,-0.001317,1.578548,,,,,,
27120,,,,,,,,,,,,,,,,,,,,,,,-0.019520,-0.012688,1.020896,1.680000,-0.910000,0.070000
27122,,,,,,,,,,,,,0.000000,0.000000,0.022001,0.023211,,,,,,,,,,,,
27130,,,,,,,,,,,,,,,,,,,,,,,-0.019520,-0.012688,1.020896,-2.030000,-2.100000,-0.140000
