ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
41289,,,,,,,,,,,,,,,,,,,,,,,-0.031781,-0.005307,1.015833,0.700000,0.140000,-0.350000
41290,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41292,,,,,,,,,,,,,,,,,,,,1.011896,0.060571,1.543574,,,,,,
41299,,,,,,,,,,,,,,,,,,,,,,,-0.031781,-0.005307,1.015833,0.560000,0.210000,-0.280000
41300,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41302,,,,,,,,,,,,,,,,,,,,1.011896,0.060571,1.543574,,,,,,
41309,,,,,,,,,,,,,,,,,,,,,,,-0.031842,-0.004697,1.016809,0.630000,0.280000,-0.210000
41310,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41312,,,,,,,,,,,,,,,,,,,,1.011893,0.060595,1.543574,,,,,,
41319,,,,,,,,,,,,,,,,,,,,,,,-0.031842,-0.004697,1.016809,0.630000,-0.070000,-0.280000
41320,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41322,,,,,,,,,,,,,,,,,,,,1.011895,0.060595,1.543574,,,,,,
41329,,,,,,,,,,,,,,,,,,,,,,,-0.032269,-0.005185,1.017419,0.630000,0.280000,-0.280000
41330,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41332,,,,,,,,,,,,,,,,,,,,1.011892,0.060574,1.543574,,,,,,
41339,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
41341,,,,,,,,,,,-2.516177,-2.486767,0.000000,0.000000,-0.043659,-0.043148,-0.060388,0.010252,0.027710,,,,,,,,,
41342,,,,,,,,,,,,,,,,,,,,1.011891,0.060577,1.543574,-0.032269,-0.005185,1.017419,0.560000,0.000000,-0.280000
41349,,,,,,,,,,,,,,,,,,,,,,,-0.032635,-0.005307,1.018090,0.700000,0.350000,-0.140000
41350,,,,,,,,,,,,,0.000000,0.000000,-0.043659,-0.043148,,,,,,,,,,,,
41353,,,,,,,,,,,,,,,,,,,,1.011900,0.060588,1.543574,,,,,,
41359,,,,,,,,,,,,,,,,,,,,,,,-0.032635,-0.003843,1.016931,0.490000,0.630000,2.030000
41360,,,,,,,,,,,,,0.000000,0.000000,-0.043659,-0.043148,,,,,,,,,,,,
41362,,,,,,,,,,,,,,,,,,,,1.011896,0.060573,1.543574,,,,,,
41369,,,,,,,,,,,,,,,,,,,,,,,-0.036112,-0.003843,1.016931,0.630000,0.000000,0.700000
41370,,,,,,,,,,,,,0.000000,0.000000,-0.043659,-0.043148,,,,,,,,,,,,
41372,,,,,,,,,,,,,,,,,,,,1.011893,0.060584,1.543569,,,,,,
41379,,,,,,,,,,,,,,,,,,,,,,,-0.033916,-0.005307,1.019005,0.700000,0.000000,0.280000
41380,,,,,,,,,,,,,0.000000,0.000000,-0.043659,-0.043148,,,,,,,,,,,,
41382,,,,,,,,,,,,,,,,,,,,1.011894,0.060562,1.543569,,,,,,
41389,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
41391,,,,,,,,,,,-1.845537,-1.728818,0.000000,0.000000,-0.031985,-0.029962,-0.059244,0.010286,0.028848,,,,,,,,,
41392,,,,,,,,,,,,,,,,,,,,,,,-0.033916,-0.005307,1.019005,0.630000,0.210000,0.560000
41393,,,,,,,,,,,,,,,,,,,,1.011897,0.060552,1.543574,,,,,,
41399,,,,,,,,,,,,,,,,,,,,,,,-0.029707,-0.005063,1.017114,0.700000,0.490000,0.840000
41400,,,,,,,,,,,,,0.000000,0.000000,-0.031985,-0.029962,,,,,,,,,,,,
41402,,,,,,,,,,,,,,,,,,,,1.011885,0.060546,1.543574,,,,,,
41409,,,,,,,,,,,,,,,,,,,,,,,-0.029707,-0.005063,1.017114,0.630000,-0.420000,-0.560000
41410,,,,,,,,,,,,,0.000000,0.000000,-0.031985,-0.029962,,,,,,,,,,,,
41412,,,,,,,,,,,,,,,,,,,,1.011891,0.060549,1.543574,,,,,,
