ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
68514,,,,,,,,,,,,,,,,,,,,,,,-0.047946,-0.003660,1.016565,0.700000,0.140000,-0.280000
68516,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
68518,,,,,,,,,,,,,,,,,,,,-0.478326,-1.015067,-0.024579,,,,,,
68525,,,,,,,,,,,,,,,,,,,,,,,-0.047214,-0.004270,1.016260,0.700000,0.140000,-0.350000
68526,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
68528,,,,,,,,,,,,,,,,,,,,-0.478326,-1.015065,-0.024579,,,,,,
68534,,,,,,,,,,,,,,,,,,,,,,,-0.047214,-0.004270,1.016260,0.700000,0.140000,-0.350000
68536,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
68538,,,,,,,,,,,,,,,,,,,,-0.478326,-1.015066,-0.024579,,,,,,
68544,,,,,,,,,,,,,,,,,,,,,,,-0.046909,-0.004209,1.016260,0.630000,0.140000,-0.350000
68546,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
68548,,,,,,,,,,,,,,,,,,,,-0.478323,-1.015066,-0.024579,,,,,,
68554,,,,,,,,,,,,,,,,,,,,,,,-0.047031,-0.004392,1.015406,0.700000,0.140000,-0.280000
68556,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
68558,,,,,,,,,,,,,,,,,,,,-0.478323,-1.015064,-0.024579,,,,,,
68563,,,,-0.499830,-1.000000,0.000090,0.001283,0.000681,,,,,,,,,,,,,,,,,,,,
68565,,,,,,,,,,,-5.594579,-5.588144,,,,,-0.021871,0.014531,0.024669,,,,,,,,,
68566,,,,,,,,,,,,,0.000000,0.000000,-0.022441,-0.022415,,,,,,,,,,,,
68568,,,,,,,,,,,,,,,,,,,,-0.478323,-1.015066,-0.024579,-0.047031,-0.004392,1.015406,0.630000,0.210000,-0.280000
68576,,,,,,,,,,,,,0.000000,0.000000,-0.022441,-0.022415,,,,,,,,,,,,
68579,,,,,,,,,,,,,,,,,,,,,,,-0.047031,-0.002928,1.016504,0.700000,0.140000,-0.280000
68578,,,,,,,,,,,,,,,,,,,,-0.478326,-1.015063,-0.024579,,,,,,
68584,,,,,,,,,,,,,,,,,,,,,,,-0.047031,-0.002928,1.016504,0.700000,0.280000,-0.210000
68586,,,,,,,,,,,,,0.000000,0.000000,-0.022441,-0.022415,,,,,,,,,,,,
68588,,,,,,,,,,,,,,,,,,,,-0.478326,-1.015061,-0.024579,,,,,,
68594,,,,,,,,,,,,,,,,,,,,,,,-0.046421,-0.003233,1.016809,0.700000,0.000000,-0.350000
