ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
19109,,,,,,,,,,,,,,,,,,,,-0.471549,-1.020699,-0.010710,,,,,,
19115,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
19116,,,,,,,,,,,,,,,,,,,,,,,-0.048983,0.000183,1.015650,0.630000,0.210000,-0.280000
19118,,,,,,,,,,,,,,,,,,,,-0.471547,-1.020685,-0.010732,,,,,,
19125,,,,,,,,,,,,,,,,,,,,,,,-0.048983,0.000183,1.015650,0.630000,0.210000,-0.280000
19126,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
19128,,,,,,,,,,,,,,,,,,,,-0.471552,-1.020695,-0.010710,,,,,,
19135,,,,,,,,,,,,,,,,,,,,,,,-0.048617,0.000427,1.016016,0.630000,0.070000,-0.350000
19136,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
19138,,,,,,,,,,,,,,,,,,,,-0.471551,-1.020694,-0.010710,,,,,,
19145,,,,,,,,,,,,,,,,,,,,,,,-0.048617,0.000427,1.016016,0.630000,0.280000,-0.280000
19146,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
19148,,,,,,,,,,,,,,,,,,,,-0.471549,-1.020694,-0.010710,,,,,,
19155,,,,,,,,,,,,,,,,,,,,,,,-0.048983,0.000427,1.016077,0.630000,0.070000,-0.280000
19156,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
19158,,,,-0.499839,-1.000000,0.000128,0.001220,0.000968,,,-6.234449,-6.227488,,,,,-0.028510,0.020390,0.010838,-0.471551,-1.020696,-0.010710,,,,,,
19165,,,,,,,,,,,,,,,,,,,,,,,-0.048983,0.000427,1.016077,0.700000,0.210000,-0.280000
19166,,,,,,,,,,,,,0.000000,0.000000,-0.075692,-0.075608,,,,,,,,,,,,
19186,,,,,,,,,,,,,-0.547087,0.000000,-0.071239,-0.075608,,,,,,,,,,,,
19178,,,,,,,,,,,,,,,,,,,,-0.471543,-1.020677,-0.010732,,,,,,
19188,,,,,,,,,,,,,,,,,,,,-0.471551,-1.020679,-0.010710,,,,,,
19192,,,,,,,,,,,,,,,,,,,,,,,-0.048617,0.001769,1.013820,1.470000,1.050000,-6.930000
19195,,,,,,,,,,,,,-0.460319,0.000000,-0.071945,-0.075608,,,,,,,,,,,,
19197,,,,,,,,,,,,,,,,,,,,,,,-0.080276,0.001769,1.013820,2.170000,3.010000,-0.560000
19199,,,,,,,,,,,,,,,,,,,,-0.471602,-1.020693,-0.010710,,,,,,
19202,,,,,,,,,,,,,,,,,,,,,,,-0.080276,0.001769,1.013820,0.840000,10.150000,13.020000
19205,,,,,,,,,,,,,-0.934757,0.000000,-0.068083,-0.075608,,,,,,,,,,,,
19207,,,,,,,,,,,,,,,,,,,,,,,-0.080276,0.001769,1.013820,-5.180000,8.540000,16.730000
19208,,,,-0.499461,-1.000000,0.000428,0.004810,0.003816,,,,,,,,,,,,-0.471647,-1.020680,-0.010688,,,,,,
19209,,,,,,,,,,,-5.913791,-5.886439,,,,,-0.028038,0.020413,0.010434,,,,,,,,,
19215,,,,,,,,,,,,,,,,,,,,,,,-0.086071,-0.014640,1.007781,0.770000,2.520000,13.090000
19216,,,,,,,,,,,,,-0.786505,0.000000,-0.065396,-0.071467,,,,,,,,,,,,
19218,,,,,,,,,,,,,,,,,,,,-0.471773,-1.020719,-0.007879,,,,,,
19225,,,,,,,,,,,,,-1.253595,0.000000,-0.061594,-0.071467,,,,,,,,,,,,
19226,,,,,,,,,,,,,,,,,,,,,,,-0.086071,-0.014640,1.007781,-0.630000,3.150000,19.670000
19246,,,,,,,,,,,,,-1.320134,0.000000,-0.061052,-0.071467,,,,,,,,,,,,
19238,,,,,,,,,,,,,,,,,,,,-0.471958,-1.020691,0.000456,,,,,,
