ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
14138,,,,,,,,,,,,,,,,,,,,-0.458766,-1.024112,-0.066437,,,,,,
14143,,,,,,,,,,,,,,,,,,,,,,,-0.060146,-0.001708,1.013088,0.560000,0.000000,-0.280000
14144,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14145,,,,,,,,,,,,,,,,,,,,-0.458766,-1.024116,-0.066442,,,,,,
14153,,,,,,,,,,,,,,,,,,,,,,,-0.060146,-0.001708,1.013088,0.700000,0.280000,-0.280000
14154,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14155,,,,,,,,,,,,,,,,,,,,-0.458769,-1.024117,-0.066437,,,,,,
14163,,,,,,,,,,,,,,,,,,,,,,,-0.060634,-0.002013,1.013759,0.560000,0.070000,-0.280000
14164,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14165,,,,,,,,,,,,,,,,,,,,-0.458773,-1.024115,-0.066437,,,,,,
14173,,,,,,,,,,,,,,,,,,,,,,,-0.060634,-0.002013,1.013759,0.700000,0.280000,-0.210000
14174,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14175,,,,,,,,,,,,,,,,,,,,-0.458776,-1.024115,-0.066442,,,,,,
14183,,,,,,,,,,,,,,,,,,,,,,,-0.060085,-0.001525,1.013393,0.630000,0.140000,-0.210000
14184,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
14186,,,,-0.499734,-1.000000,0.000111,0.002007,0.000840,,,,,,,,,,,,-0.458774,-1.024119,-0.066442,,,,,,
14188,,,,,,,,,,,-16.981266,-16.961231,,,,,-0.042469,0.021343,0.066553,,,,,,,,,
14193,,,,,,,,,,,,,,,,,,,,,,,-0.060085,-0.001525,1.013393,0.700000,0.210000,-0.280000
14194,,,,,,,,,,,,,0.000000,0.000000,-0.223402,-0.223138,,,,,,,,,,,,
14196,,,,,,,,,,,,,,,,,,,,-0.458772,-1.024116,-0.066437,,,,,,
14203,,,,,,,,,,,,,,,,,,,,,,,-0.061000,-0.001769,1.015101,1.050000,1.050000,1.260000
14204,,,,,,,,,,,,,0.000000,-0.547720,-0.223402,-0.218236,,,,-0.458773,-1.024112,-0.066437,,,,,,
14213,,,,,,,,,,,,,,,,,,,,,,,-0.061000,-0.001769,1.015101,-2.590000,64.540001,-3.150000
14214,,,,,,,,,,,,,-0.547555,-1.008406,-0.218501,-0.214113,,,,-0.458688,-1.024107,-0.066467,,,,,,
14223,,,,,,,,,,,,,,,,,,,,,,,-0.294874,0.018117,0.977403,-2.240000,106.050003,-1.330000
14224,,,,,,,,,,,,,-1.554063,-1.941823,-0.209494,-0.205760,,,,-0.458392,-1.024111,-0.066490,,,,,,
14233,,,,,,,,,,,,,,,,,,,,,,,-0.294874,0.018117,0.977403,7.910000,145.809998,-7.210000
14234,,,,,,,,,,,,,-2.404794,-3.279659,-0.201880,-0.193787,,,,-0.457979,-1.024183,-0.066517,,,,,,
14236,,,,-0.499114,-1.000000,0.000371,0.007910,0.003312,,,,,,,,,,,,,,,,,,,,
