ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
63461,,,,,,,,,,,,,,,,,,,,,,,-0.058377,-0.010065,1.016565,0.700000,0.140000,-0.280000
63463,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
63462,,,,,,,,,,,,,,,,,,,,0.999591,0.024034,1.449235,,,,,,
63471,,,,,,,,,,,,,,,,,,,,,,,-0.058377,-0.010065,1.016565,0.770000,0.350000,-0.140000
63473,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
63472,,,,,,,,,,,,,,,,,,,,0.999593,0.024030,1.449235,,,,,,
63481,,,,,,,,,,,,,,,,,,,,,,,-0.059048,-0.010980,1.016931,0.630000,0.070000,-0.280000
63483,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
63482,,,,,,,,,,,,,,,,,,,,0.999563,0.024044,1.449235,,,,,,
63491,,,,,,,,,,,,,,,,,,,,,,,-0.059048,-0.010980,1.016931,0.630000,0.350000,-0.280000
63493,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.999600,0.024033,1.449235,,,,,,
63501,,,,,,,,,,,,,,,,,,,,,,,-0.059231,-0.009760,1.017785,0.630000,0.000000,-0.280000
63503,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.999596,0.024038,1.449235,,,,,,
63509,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
63511,,,,,,,,,,,-9.009539,-8.945179,,,,,-0.023327,-0.003256,0.122049,,,,,,,,,
63513,,,,,,,,,,,,,0.000000,0.000000,-0.127175,-0.126266,,,,,,,,,,,,
63515,,,,,,,,,,,,,,,,,,,,,,,-0.059231,-0.009760,1.017785,0.630000,0.280000,-0.280000
63514,,,,,,,,,,,,,,,,,,,,0.999607,0.024050,1.449235,,,,,,
63521,,,,,,,,,,,,,,,,,,,,0.999594,0.024026,1.449235,-0.058682,-0.009882,1.017785,0.630000,0.000000,-0.350000
63523,,,,,,,,,,,,,-1.097427,-0.548713,-0.116300,-0.120829,,,,,,,,,,,,
63531,,,,,,,,,,,,,,,,,,,,0.999585,0.024019,1.449235,-0.082655,0.000366,1.022543,2.870000,1.050000,1.260000
63533,,,,,,,,,,,,,-1.471425,-1.009738,-0.112594,-0.116260,,,,,,,,,,,,
63541,,,,,,,,,,,,,,,,,,,,,,,-0.082655,0.000366,1.022543,-7.210000,57.400002,3.780000
63543,,,,,,,,,,,,,-1.785667,-1.944813,-0.109480,-0.106994,,,,,,,,,,,,
63544,,,,,,,,,,,,,,,,,,,,0.999571,0.024327,1.445458,,,,,,
63551,,,,,,,,,,,,,,,,,,,,0.999606,0.024554,1.445528,-0.292800,-0.006771,0.960994,0.980000,78.680000,-4.410000
63553,,,,,,,,,,,,,-2.597680,-2.183975,-0.101433,-0.104625,,,,,,,,,,,,
63560,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
63562,,,,,,,,,,,-8.079224,-7.825935,,,,,-0.022324,-0.003299,0.128918,,,,,,,,,
63561,,,,,,,,,,,,,,,,,,,,0.999660,0.024649,1.441957,,,,,,
63563,,,,,,,,,,,,,-2.716069,-2.898360,-0.092072,-0.086289,,,,,,,,,,,,
63565,,,,,,,,,,,,,,,,,,,,,,,-0.292800,-0.006771,0.960994,2.800000,84.419998,-2.380000
63571,,,,,,,,,,,,,,,,,,,,0.999735,0.024719,1.442287,-0.167201,-0.023119,1.080554,-2.730000,69.370003,4.900000
63573,,,,,,,,,,,,,-2.853836,-3.007215,-0.090580,-0.085110,,,,,,,,,,,,
63581,,,,,,,,,,,,,,,,,,,,0.999739,0.024030,1.445879,-0.167201,-0.023119,1.080554,-2.310000,-8.120000,1.330000
63583,,,,,,,,,,,,,-3.496106,-3.077715,-0.083623,-0.084346,,,,,,,,,,,,
63591,,,,,,,,,,,,,,,,,,,,0.999512,0.022829,1.445605,-0.169275,0.011285,0.937570,0.560000,-51.169998,8.120000
63593,,,,,,,,,,,,,-3.488518,-3.136484,-0.083706,-0.083710,,,,,,,,,,,,
63601,,,,,,,,,,,,,,,,,,,,0.999410,0.021905,1.445537,-0.169275,0.011285,0.937570,1.680000,-58.939999,12.250000
63603,,,,,,,,,,,,,-3.483234,-2.639037,-0.083763,-0.089098,,,,,,,,,,,,
