ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
50026,,,,,,,,,,,,,,,,,,,,,,,-0.062220,-0.005307,1.016016,0.630000,0.140000,-0.280000
50027,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
50032,,,,1.000000,0.000062,1.570858,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,
50033,,,,,,,,,,,-0.011867,-0.011867,,,,,-0.000034,0.025099,-0.027094,,,,,,,,,
50037,,,,,,,,,,,,,0.000000,0.000000,-0.000188,-0.000188,,,,,,,,,,,,
50038,,,,,,,,,,,,,,,,,,,,,,,-0.062830,-0.006832,1.016016,0.700000,0.070000,-0.280000
50039,,,,1.000000,0.000062,1.570858,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,
50040,,,,,,,,,,,-0.011867,-0.011867,,,,,-0.000034,0.025099,-0.027094,,,,,,,,,
50046,,,,,,,,,,,,,,,,,,,,1.025096,0.000780,1.597975,-0.061732,-0.006466,1.017114,0.770000,0.280000,-0.280000
50047,,,,,,,,,,,,,0.000000,0.000000,-0.000188,-0.000188,,,,,,,,,,,,
50053,,,,,,,,,,,,,,,,,,,,1.025080,0.000771,1.597975,,,,,,
50056,,,,,,,,,,,,,,,,,,,,,,,-0.061732,-0.006466,1.017114,0.700000,-0.070000,-0.210000
50057,,,,,,,,,,,,,0.000000,0.000000,-0.000188,-0.000188,,,,,,,,,,,,
50061,,,,,,,,,,,,,,,,,,,,1.025135,0.000843,1.601806,,,,,,
50066,,,,,,,,,,,,,,,,,,,,,,,-0.062281,-0.006283,1.016321,0.700000,0.280000,-0.210000
50067,,,,,,,,,,,,,0.000000,0.000000,-0.000188,-0.000188,,,,,,,,,,,,
50068,,,,,,,,,,,,,,,,,,,,1.025160,0.000849,1.601833,,,,,,
50075,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
50076,,,,,,,,,,,0.375207,0.397225,,,,,0.000419,0.025155,-0.030373,1.025137,0.000849,1.601806,,,,,,
50077,,,,,,,,,,,,,0.000000,0.000000,0.005929,0.006277,,,,,,,,,,,,
50079,,,,,,,,,,,,,,,,,,,,,,,-0.062281,-0.006283,1.016321,0.560000,0.000000,-0.210000
50084,,,,,,,,,,,,,,,,,,,,1.025103,0.000826,1.601833,,,,,,
50087,,,,,,,,,,,,,0.000000,0.000000,0.005929,0.006277,,,,,,,,,,,,
50089,,,,,,,,,,,,,,,,,,,,,,,-0.061549,-0.006832,1.016565,0.700000,0.210000,-0.280000
50092,,,,,,,,,,,,,,,,,,,,1.025130,0.000846,1.601833,,,,,,
50096,,,,,,,,,,,,,,,,,,,,,,,-0.061549,-0.006832,1.016565,0.700000,0.140000,-0.280000
50097,,,,,,,,,,,,,0.000000,0.000000,0.005929,0.006277,,,,,,,,,,,,
50100,,,,,,,,,,,,,,,,,,,,1.025142,0.000839,1.601833,,,,,,
50106,,,,,,,,,,,,,,,,,,,,,,,-0.061610,-0.006039,1.016321,0.700000,0.210000,-0.280000
50107,,,,,,,,,,,,,0.000000,0.000000,0.005929,0.006277,,,,1.025133,0.000845,1.601833,,,,,,
50116,,,,,,,,,,,,,,,,,,,,,,,-0.061610,-0.006039,1.016321,0.630000,0.000000,-0.280000
50117,,,,,,,,,,,,,0.000000,0.000000,0.005929,0.006277,,,,,,,,,,,,
50121,,,,,,,,,,,,,,,,,,,,1.025117,0.000843,1.601833,,,,,,
50125,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
50126,,,,,,,,,,,1.440582,1.527531,,,,,0.001556,0.025085,-0.029402,,,,,,,,,
50128,,,,,,,,,,,,,0.000000,0.000000,0.022764,0.024138,,,,1.025089,0.000835,1.601806,-0.061732,-0.005917,1.015833,0.700000,0.280000,-0.210000
50136,,,,,,,,,,,,,,,,,,,,,,,-0.061732,-0.005917,1.015833,0.630000,0.000000,-0.280000
50142,,,,,,,,,,,,,0.000000,0.000000,0.022764,0.024138,,,,1.025101,0.000836,1.601806,,,,,,
