ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15010,,,,,,,,,,,,,,,,,,,,-0.012783,0.067482,0.151254,0.104493,0.008479,1.019859,-1.064000,5.831000,0.287000
15014,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15020,,,,,,,,,,,,,,,,,,,,-0.012969,0.067316,0.152336,0.095160,-0.006527,1.019005,0.049000,15.743000,0.350000
15024,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15030,,,,,,,,,,,,,,,,,,,,-0.012801,0.067435,0.150359,0.095526,-0.008296,1.019615,-0.084000,25.101999,-0.350000
15034,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15040,,,,,,,,,,,,,,,,,,,,-0.012672,0.067364,0.151582,0.091988,0.002318,1.018944,0.973000,32.928001,0.840000
15046,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15050,,,,0.000138,0.000000,0.000054,0.001043,0.000410,,,,,,,,,,,,-0.012713,0.067404,0.151358,0.074054,0.000366,1.020713,-0.210000,38.570000,-0.434000
15052,,,,,,,,,,,0.783948,0.774122,,,,,0.002541,-0.068571,-0.151306,,,,,,,,,
15056,,,,,,,,,,,,,0.000000,0.000000,0.012100,0.011949,,,,,,,,,,,,
15060,,,,,,,,,,,,,,,,,,,,-0.012460,0.067522,0.151462,0.092720,0.008906,1.016809,0.196000,44.233002,1.029000
15064,,,,,,,,,,,,,0.000000,0.000000,0.012276,0.012122,,,,,,,,,,,,
15070,,,,,,,,,,,,,,,,,,,,-0.012538,0.067339,0.151931,0.073566,-0.001830,1.019005,-0.140000,48.076000,0.651000
15074,,,,,,,,,,,,,0.000000,0.000000,0.012452,0.012296,,,,,,,,,,,,
15080,,,,,,,,,,,,,,,,,,,,-0.012349,0.067588,0.150829,0.047580,-0.009089,1.024861,0.609000,50.112999,-0.497000
15084,,,,,,,,,,,,,0.000000,0.000000,0.012628,0.012469,,,,,,,,,,,,
15090,,,,,,,,,,,,,,,,,,,,-0.012197,0.067626,0.152080,0.037942,0.002745,1.012966,-0.595000,50.952999,-0.812000
15094,,,,,,,,,,,,,0.000000,0.000000,0.012803,0.012643,,,,,,,,,,,,
15100,,,,0.000462,0.000000,0.000182,0.004120,0.001619,,,,,,,,,,,,-0.011915,0.067567,0.151493,-0.249673,-0.007625,1.023397,0.000000,35.293999,-0.147000
15102,,,,,,,,,,,0.866582,0.827756,,,,,0.002107,-0.068658,-0.151300,,,,,,,,,
15104,,,,,,,,,,,,,0.000000,0.000000,0.014255,0.013644,,,,,,,,,,,,
15110,,,,,,,,,,,,,,,,,,,,-0.011696,0.067519,0.150838,-0.242475,-0.003538,1.031510,0.357000,-39.060001,0.406000
15114,,,,,,,,,,,,,0.544543,0.544543,0.008222,0.007603,,,,,,,,,,,,
15120,,,,,,,,,,,,,,,,,,,,-0.011674,0.067711,0.151484,0.024766,-0.001891,1.024739,-1.043000,-53.067001,-0.728000
15124,,,,,,,,,,,,,0.458179,0.458179,0.009282,0.008654,,,,,,,,,,,,
15130,,,,,,,,,,,,,,,,,,,,-0.011613,0.067672,0.149845,0.051118,0.003355,1.017602,0.476000,-48.153000,-0.539000
15134,,,,,,,,,,,,,0.930055,0.930055,0.003977,0.003341,,,,,,,,,,,,
15140,,,,,,,,,,,,,,,,,,,,-0.011454,0.067454,0.151573,0.059536,-0.001037,1.025715,-0.203000,-43.007999,-1.505000
15144,,,,,,,,,,,,,0.782548,0.782548,0.005650,0.005005,,,,,,,,,,,,
15150,,,,0.000462,0.000000,0.000182,0.004120,0.001619,,,,,,,,,,,,-0.011441,0.067620,0.152079,0.069052,-0.001830,1.015345,0.119000,-36.645000,-0.903000
15152,,,,,,,,,,,0.700924,0.661961,,,,,0.001518,-0.068644,-0.151846,,,,,,,,,
15154,,,,,,,,,,,,,0.658436,0.658436,0.004531,0.003875,,,,,,,,,,,,
15160,,,,,,,,,,,,,,,,,,,,-0.011374,0.067489,0.150053,0.073017,-0.003172,1.017785,-0.679000,-30.870001,-0.616000
15164,,,,,,,,,,,,,1.098551,1.098551,-0.000492,-0.001157,,,,,,,,,,,,
15170,,,,,,,,,,,,,,,,,,,,-0.011121,0.067626,0.151931,0.072712,-0.002623,1.016321,0.420000,-21.721001,-1.722000
15174,,,,,,,,,,,,,0.924321,0.924321,0.001411,0.000738,,,,,,,,,,,,
15180,,,,,,,,,,,,,,,,,,,,-0.011003,0.067792,0.150940,0.080276,0.009577,1.022787,0.133000,-14.511000,-0.378000
15186,,,,,,,,,,,,,0.777723,0.777723,0.003037,0.002355,,,,,,,,,,,,
15190,,,,,,,,,,,,,,,,,,,,-0.011053,0.067832,0.150643,0.096746,0.002501,1.018090,0.385000,-5.691000,-0.546000
15196,,,,,,,,,,,,,1.198919,1.198919,-0.001796,-0.002487,,,,,,,,,,,,
15200,,,,0.002097,0.000001,0.000826,0.016049,0.006322,,,,,,,,,,,,-0.010802,0.067947,0.149180,0.074786,0.004575,1.027789,-0.546000,4.060000,-0.749000
15202,,,,,,,,,,,1.802219,1.653497,,,,,0.002616,-0.069090,-0.148593,,,,,,,,,
15206,,,,,,,,,,,,,1.008771,1.008771,0.017265,0.014871,,,,,,,,,,,,
15210,,,,,,,,,,,,,,,,,,,,-0.010609,0.067857,0.150168,0.111020,0.006100,1.026386,0.021000,12.390000,0.301000
15216,,,,,,,,,,,,,0.848779,0.848779,0.019272,0.016845,,,,,,,,,,,,
15220,,,,,,,,,,,,,,,,,,,,-0.010487,0.067611,0.149200,0.113521,0.003355,1.011990,0.168000,20.006001,-0.812000
15226,,,,,,,,,,,,,1.258706,0.714163,0.014799,0.018565,,,,,,,,,,,,
15230,,,,,,,,,,,,,,,,,,,,-0.010105,0.067902,0.150452,0.093025,-0.003355,1.007171,0.119000,26.802999,-1.932000
15236,,,,,,,,,,,,,1.059075,1.145440,0.017203,0.013844,,,,,,,,,,,,
15240,,,,,,,,,,,,,,,,,,,,-0.009716,0.068066,0.149336,0.091256,-0.006588,1.027667,-0.105000,31.681999,-1.183000
15246,,,,,,,,,,,,,0.891106,0.963773,0.019291,0.016035,,,,,,,,,,,,
15250,,,,0.003585,0.000003,0.001415,0.024728,0.009768,,,,,,,,,,,,-0.009495,0.067868,0.150670,0.079239,-0.004941,1.021689,0.973000,36.638000,-2.562000
15252,,,,,,,,,,,2.428380,2.198447,,,,,0.002791,-0.069081,-0.149209,,,,,,,,,
15256,,,,,,,,,,,,,1.294319,0.810918,0.024549,0.026349,,,,,,,,,,,,
15260,,,,,,,,,,,,,,,,,,,,-0.009030,0.068088,0.148752,0.091256,-0.005429,1.017358,-0.553000,40.264000,-2.114000
15266,,,,,,,,,,,,,1.089040,1.226850,0.027151,0.021904,,,,,,,,,,,,
15270,,,,,,,,,,,,,,,,,,,,-0.008770,0.068153,0.147396,0.079117,-0.002196,1.018212,-0.315000,42.188999,-1.456000
15276,,,,,,,,,,,,,1.460861,1.576814,0.023199,0.018120,,,,,,,,,,,,
15280,,,,,,,,,,,,,,,,,,,,-0.008408,0.068103,0.148349,0.050264,0.000671,1.023885,-0.140000,42.861000,-2.870000
15286,,,,,,,,,,,,,1.773712,1.326731,0.019839,0.021119,,,,,,,,,,,,
15290,,,,,,,,,,,,,,,,,,,,-0.007901,0.068267,0.147389,-0.247416,-0.003050,1.019554,-0.042000,27.160000,-3.836000
15296,,,,,,,,,,,,,1.492401,1.660855,0.023202,0.017494,,,,,,,,,,,,
15300,,,,0.003585,0.000003,0.001415,0.024728,0.009768,,,,,,,,,,,,-0.007722,0.068280,0.146615,0.021167,-0.004636,1.023519,0.553000,-46.858002,-3.962000
15302,,,,,,,,,,,1.986888,1.762226,,,,,0.001228,-0.069186,-0.145674,,,,,,,,,
15306,,,,,,,,,,,,,1.800249,1.941986,0.013077,0.007667,,,,,,,,,,,,
15310,,,,,,,,,,,,,,,,,,,,-0.007167,0.068086,0.149372,0.017507,-0.004636,1.022421,0.490000,-45.241001,-4.088000
15316,,,,,,,,,,,,,2.059273,1.633987,0.010157,0.011148,,,,,,,,,,,,
15320,,,,,,,,,,,,,,,,,,,,-0.006852,0.068290,0.144218,0.046116,0.004697,1.017297,-0.826000,-41.090000,-5.152000
15326,,,,,,,,,,,,,2.277215,1.919380,0.007649,0.007914,,,,,,,,,,,,
15330,,,,,,,,,,,,,,,,,,,,-0.006583,0.068456,0.146348,0.051728,-0.000976,1.024373,-0.091000,-36.687000,-4.669000
15336,,,,,,,,,,,,,2.460592,2.159509,0.005487,0.005132,,,,,,,,,,,,
15340,,,,,,,,,,,,,,,,,,,,-0.006243,0.068409,0.145823,0.058560,-0.009760,1.018090,-0.273000,-31.031000,-2.807000
15346,,,,,,,,,,,,,2.614885,2.361554,0.003616,0.002733,,,,,,,,,,,,
15350,,,,0.008313,0.000014,0.003303,0.047035,0.018765,,,,,,,,,,,,-0.005791,0.068395,0.143538,0.062037,-0.009394,1.021506,0.308000,-24.304001,-3.731000
15352,,,,,,,,,,,4.289497,3.877764,,,,,0.004170,-0.069709,-0.140327,,,,,,,,,
15356,,,,,,,,,,,,,2.200163,1.987011,0.043759,0.039535,,,,,,,,,,,,
15360,,,,,,,,,,,,,,,,,,,,-0.005459,0.068490,0.142812,0.151646,-0.001037,1.010465,-0.105000,-17.395000,-3.262000
15366,,,,,,,,,,,,,2.395761,2.216414,0.041990,0.037335,,,,,,,,,,,,
15370,,,,,,,,,,,,,,,,,,,,-0.005171,0.068687,0.143284,0.148291,-0.005551,1.022909,0.518000,-9.345000,-3.794000
15376,,,,,,,,,,,,,2.560336,2.409434,0.040533,0.035501,,,,,,,,,,,,
15380,,,,,,,,,,,,,,,,,,,,-0.004528,0.068788,0.143109,0.147437,-0.000671,1.020530,0.413000,-2.002000,-5.376000
15386,,,,,,,,,,,,,2.698809,2.571840,0.039337,0.033973,,,,,,,,,,,,
15390,,,,,,,,,,,,,,,,,,,,-0.003996,0.068771,0.143250,0.127429,0.004209,1.017480,-0.441000,6.349000,-5.278000
15396,,,,,,,,,,,,,2.815321,2.708489,0.038362,0.032703,,,,,,,,,,,,
15400,,,,0.011699,0.000027,0.004671,0.060449,0.024301,,,,,,,,,,,,-0.003364,0.068840,0.140516,0.127124,-0.003172,1.009672,-0.777000,13.524000,-6.349000
