ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
42754,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
42755,,,,,,,,,,,,,0.000000,0.000000,,,,,,0.986530,-0.001610,1.547544,,,,,,
42763,,,,,,,,,,,,,,,,,,,,,,,-0.052521,-0.007930,1.015894,0.560000,-0.070000,-0.280000
42764,,,,,,,,,,,,,,,0.000000,0.000000,,,,0.986505,-0.001636,1.547544,,,,,,
42765,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42773,,,,,,,,,,,,,,,,,,,,,,,-0.052460,-0.007991,1.017419,0.630000,0.070000,-0.210000
42774,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,0.986490,-0.001649,1.547544,,,,,,
42783,,,,,,,,,,,,,,,,,,,,,,,-0.052460,-0.007991,1.017419,0.700000,0.350000,-0.210000
42784,,,,,,,,,,,,,,,0.000000,0.000000,,,,0.986477,-0.001662,1.547544,,,,,,
42785,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42793,,,,,,,,,,,,,,,,,,,,,,,-0.053497,-0.008357,1.017907,0.700000,0.070000,-0.280000
42794,,,,,,,,,,,,,,,0.000000,0.000000,,,,0.986487,-0.001658,1.547544,,,,,,
42795,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42803,,,,,,,,,,,,,,,,,,,,,,,-0.053497,-0.008357,1.017907,0.700000,0.280000,-0.210000
42804,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,0.986473,-0.001655,1.547544,,,,,,
42806,,,,,,,,,,,1.401814,1.428565,,,,,0.002460,-0.013459,0.023740,,,,,,,,,
42807,,,,,,,,,,,,,0.000000,0.000000,0.018889,0.019249,,,,,,,,,,,,
42814,,,,,,,,,,,,,,,0.018889,0.019249,,,,0.986507,-0.001607,1.547544,,,,,,
42815,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42818,,,,,,,,,,,,,,,,,,,,,,,-0.052765,-0.008967,1.017114,0.630000,0.140000,-0.280000
42823,,,,,,,,,,,,,,,,,,,,,,,-0.052765,-0.008967,1.017114,0.700000,0.280000,-0.210000
42824,,,,,,,,,,,,,,,0.018889,0.019249,,,,0.986529,-0.001615,1.547544,,,,,,
42825,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42833,,,,,,,,,,,,,,,,,,,,,,,-0.053375,-0.008052,1.017663,0.630000,0.070000,-0.280000
42834,,,,,,,,,,,,,,,0.018889,0.019249,,,,0.986502,-0.001640,1.547544,,,,,,
42835,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42843,,,,,,,,,,,,,,,,,,,,,,,-0.053375,-0.008052,1.017663,0.840000,0.490000,-0.210000
42844,,,,,,,,,,,,,,,0.018889,0.019249,,,,0.986484,-0.001648,1.547544,,,,,,
42845,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42853,,,,,,,,,,,,,,,,,,,,,,,-0.052155,-0.007808,1.016687,0.770000,0.280000,-0.210000
42854,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,0.986468,-0.001668,1.547544,,,,,,
42856,,,,,,,,,,,2.605364,2.711436,,,,,0.003583,-0.013435,0.024873,,,,,,,,,
42857,,,,,,,,,,,,,0.000000,0.000000,0.035134,0.036565,,,,,,,,,,,,
42863,,,,,,,,,,,,,,,,,,,,,,,-0.052155,-0.007808,1.016687,0.630000,0.070000,-0.280000
42869,,,,,,,,,,,,,0.000000,0.000000,0.035134,0.036565,,,,,,,,,,,,
42864,,,,,,,,,,,,,,,,,,,,0.986480,-0.001653,1.547544,,,,,,
42875,,,,,,,,,,,,,0.000000,0.000000,0.035134,0.036565,,,,,,,-0.053497,-0.008113,1.017114,0.700000,0.210000,-0.210000
42874,,,,,,,,,,,,,,,,,,,,0.986493,-0.001649,1.547544,,,,,,
42883,,,,,,,,,,,,,,,,,,,,,,,-0.053497,-0.008113,1.017114,0.630000,0.210000,-0.210000
42884,,,,,,,,,,,,,,,0.035134,0.036565,,,,0.986496,-0.001641,1.547544,,,,,,
42885,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42893,,,,,,,,,,,,,,,,,,,,,,,-0.052033,-0.008784,1.017297,0.630000,0.210000,-0.210000
42894,,,,,,,,,,,,,,,0.035134,0.036565,,,,0.986513,-0.001603,1.547544,,,,,,
42895,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42903,,,,,,,,,,,,,,,,,,,,,,,-0.052033,-0.008784,1.017541,0.630000,0.140000,-0.210000
42904,,,,0.999993,0.003784,1.574580,0.031924,0.031924,,,,,,,,,,,,0.986524,-0.001621,1.547544,,,,,,
42906,,,,,,,,,,,4.699845,4.938890,,,,,0.005703,-0.013353,0.027036,,,,,,,,,
42907,,,,,,,,,,,,,0.000000,0.000000,0.063480,0.066708,,,,,,,,,,,,
42913,,,,,,,,,,,,,,,,,,,,,,,-0.053436,-0.009028,1.017541,0.700000,0.140000,-0.210000
42914,,,,,,,,,,,,,,,0.063480,0.066708,,,,0.986508,-0.001637,1.547544,,,,,,
42915,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,,,
42923,,,,,,,,,,,,,,,,,,,,,,,-0.046848,-0.008296,1.018883,0.560000,-0.700000,0.560000
42929,,,,,,,,,,,,,0.367686,0.000000,0.060041,0.066708,,,,,,,,,,,,
