ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
80542,,,,,,,,,,,,,,,,,,,,,,,-0.061793,-0.003294,1.016504,0.700000,0.210000,-0.210000
80544,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
80543,,,,,,,,,,,,,,,,,,,,0.995464,-0.046330,1.563045,,,,,,
80552,,,,,,,,,,,,,,,,,,,,,,,-0.061793,-0.003294,1.016504,0.770000,0.420000,-0.210000
80551,,,,,,,,,,,,,,,,,,,,0.995456,-0.046325,1.563045,,,,,,
80554,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
80562,,,,,,,,,,,,,,,,,,,,,,,-0.061244,-0.002989,1.016382,0.700000,0.140000,-0.280000
80561,,,,,,,,,,,,,,,,,,,,0.995478,-0.046322,1.563045,,,,,,
80564,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
80572,,,,,,,,,,,,,,,,,,,,,,,-0.061244,-0.002989,1.016382,0.630000,0.210000,-0.210000
80570,,,,,,,,,,,,,,,,,,,,0.995490,-0.046326,1.563045,,,,,,
80574,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
80583,,,,,,,,,,,,,,,,,,,,,,,-0.061732,-0.003355,1.017480,0.630000,-0.070000,-0.280000
80581,,,,,,,,,,,,,,,,,,,,0.995492,-0.046330,1.563045,,,,,,
80584,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
80592,,,,1.000000,0.000488,1.571284,0.003695,0.003695,,,,,,,,,,,,,,,,,,,,
80593,,,,,,,,,,,18.290552,18.313559,,,,,0.046852,-0.004145,0.008239,,,,,,,,,
80594,,,,,,,,,,,,,0.000000,0.000000,0.185030,0.185263,,,,,,,,,,,,
80591,,,,,,,,,,,,,,,,,,,,0.995481,-0.046326,1.563045,,,,,,
80601,,,,,,,,,,,,,,,,,,,,0.995491,-0.046325,1.563045,-0.061732,-0.003355,1.015894,0.770000,0.280000,-0.210000
80604,,,,,,,,,,,,,0.000000,0.000000,0.185588,0.185821,,,,,,,,,,,,
80607,,,,,,,,,,,,,,,,,,,,,,,-0.061915,-0.003233,1.015894,0.350000,-17.709999,-2.310000
80613,,,,,,,,,,,,,,,,,,,,,,,-0.061915,-0.005673,1.058594,0.770000,-35.490002,0.700000
80611,,,,,,,,,,,,,,,,,,,,0.995485,-0.046337,1.563045,,,,,,
80614,,,,,,,,,,,,,0.532144,1.064288,0.182974,0.180036,,,,,,,,,,,,
80623,,,,,,,,,,,,,,,,,,,,,,,0.106933,-0.005673,1.058594,0.140000,-10.920000,3.010000
80621,,,,,,,,,,,,,,,,,,,,0.995486,-0.046255,1.563171,,,,,,
80624,,,,,,,,,,,,,1.578794,1.461016,0.177276,0.178197,,,,,,,,,,,,
80633,,,,,,,,,,,,,,,,,,,,,,,0.241438,-0.005368,0.991799,0.350000,8.610000,-0.280000
80631,,,,,,,,,,,,,,,,,,,,0.995424,-0.045512,1.567073,,,,,,
80634,,,,,,,,,,,,,2.423067,1.776634,0.172753,0.176829,,,,,,,,,,,,
80642,,,,0.999999,0.001621,1.572417,0.014482,0.014482,,,,,,,,,,,,,,,,,,,,
80644,,,,,,,,,,,18.957630,19.046173,3.096133,3.080907,0.176055,0.177053,0.046775,-0.004376,0.005680,,,,,,,,,
80641,,,,,,,,,,,,,,,,,,,,0.995414,-0.044474,1.567024,,,,,,
80647,,,,,,,,,,,,,,,,,,,,,,,0.241438,-0.005368,0.991799,0.700000,9.800000,0.560000
80656,,,,,,,,,,,,,3.946986,3.934175,0.171462,0.172448,,,,,,,,,,,,
80657,,,,,,,,,,,,,,,,,,,,,,,0.130418,-0.003660,1.064877,-0.560000,-13.860000,1.330000
80650,,,,,,,,,,,,,,,,,,,,0.995391,-0.043292,1.566982,,,,,,
80663,,,,,,,,,,,,,,,,,,,,,,,0.130418,-0.003660,1.064877,-0.210000,-9.170000,-6.650000
80664,,,,,,,,,,,,,4.783444,4.772665,0.166929,0.167906,,,,,,,,,,,,
80661,,,,,,,,,,,,,,,,,,,,0.995183,-0.042148,1.563045,,,,,,
80673,,,,,,,,,,,,,,,,,,,,,,,0.143411,-0.005246,1.003877,0.280000,7.770000,-11.060000
80671,,,,,,,,,,,,,,,,,,,,0.995145,-0.040590,1.559123,,,,,,
80674,,,,,,,,,,,,,6.232099,5.671201,0.158717,0.162980,,,,,,,,,,,,
80683,,,,,,,,,,,,,,,,,,,,,,,0.143411,-0.005246,1.003877,-1.820000,-8.330000,-7.210000
80681,,,,,,,,,,,,,,,,,,,,0.995170,-0.038826,1.555236,,,,,,
80684,,,,,,,,,,,,,6.898331,6.426392,0.155130,0.158881,,,,,,,,,,,,
80692,,,,0.999993,0.003784,1.574580,0.031924,0.031924,,,,,,,,,,,,,,,,,,,,
80694,,,,,,,,,,,18.482729,18.695446,7.914274,7.517184,0.149030,0.153863,0.042439,-0.004068,0.020750,,,,,,,,,
80691,,,,,,,,,,,,,,,,,,,,0.995190,-0.037087,1.559150,,,,,,
80697,,,,,,,,,,,,,,,,,,,,,,,0.113582,-0.004026,1.020225,-2.100000,-0.490000,-10.780000
80703,,,,,,,,,,,,,,,,,,,,,,,0.113582,-0.004026,1.020225,-0.280000,-0.140000,-12.040000
80701,,,,,,,,,,,,,,,,,,,,0.995255,-0.035133,1.559333,,,,,,
80704,,,,,,,,,,,,,8.945385,8.611274,0.142764,0.147213,,,,,,,,,,,,
80716,,,,,,,,,,,,,10.122593,9.408813,0.135536,0.142424,,,,,,,,,,,,
80711,,,,,,,,,,,,,,,,,,,,0.995265,-0.032958,1.555338,,,,,,
80719,,,,,,,,,,,,,,,,,,,,,,,0.067832,-0.013847,1.019249,-0.070000,4.340000,-13.860000
80721,,,,,,,,,,,,,,,,,,,,0.995192,-0.030744,1.555339,,,,,,
80724,,,,,,,,,,,,,10.620714,10.020141,0.132606,0.138800,,,,,,,0.067832,-0.013847,1.019249,0.000000,-9.520000,-10.780000
80733,,,,,,,,,,,,,,,,,,,,,,,0.042944,-0.013420,1.052372,-1.400000,-15.050000,-14.700000
80731,,,,,,,,,,,,,,,,,,,,0.995179,-0.028552,1.551564,,,,,,
80734,,,,,,,,,,,,,11.805909,10.726659,0.125276,0.134550,,,,,,,,,,,,
80742,,,,0.999974,0.007277,1.578073,0.055590,0.055590,,,,,,,,,,,,,,,,,,,,
80744,,,,,,,,,,,17.160877,17.542154,12.555267,11.647186,0.103966,0.113178,0.035748,-0.004192,0.023950,,,,,,,,,
80741,,,,,,,,,,,,,,,,,,,,0.994822,-0.026422,1.547755,,,,,,
80747,,,,,,,,,,,,,,,,,,,,,,,0.042944,-0.013420,1.052372,-4.410000,-2.870000,-10.920000
80753,,,,,,,,,,,,,,,,,,,,,,,0.020191,-0.005551,0.984906,-0.070000,6.370000,-8.820000
80751,,,,,,,,,,,,,,,,,,,,0.994786,-0.023979,1.547635,,,,,,
80754,,,,,,,,,,,,,12.855125,12.091066,0.102376,0.110796,,,,,,,,,,,,
80763,,,,,,,,,,,,,,,,,,,,,,,0.020191,-0.005551,0.984906,-4.130000,0.560000,-16.379999
80761,,,,,,,,,,,,,,,,,,,,0.994770,-0.021341,1.543679,,,,,,
80764,,,,,,,,,,,,,13.496140,12.853260,0.098806,0.106562,,,,,,,,,,,,
80770,,,,,,,,,,,,,,,,,,,,0.994764,-0.018965,1.547635,,,,,,
80777,,,,,,,,,,,,,13.953868,13.412950,0.096275,0.103473,,,,,,,,,,,,
80778,,,,,,,,,,,,,,,,,,,,,,,-0.028670,-0.009089,1.018334,-0.770000,0.770000,-10.010000
80781,,,,,,,,,,,,,,,,,,,,0.994753,-0.016698,1.539968,,,,,,
80784,,,,,,,,,,,,,14.731546,13.528727,0.091882,0.102932,,,,,,,-0.028670,-0.009089,1.018334,1.330000,1.680000,-6.020000
80792,,,,0.999923,0.012379,1.583176,0.085059,0.085059,,,,,,,,,,,,,,,,,,,,
80794,,,,,,,,,,,16.634684,17.271029,14.543432,14.068458,0.089365,0.099615,0.029208,-0.004171,0.044395,,,,,,,,,
80791,,,,,,,,,,,,,,,,,,,,0.994818,-0.014083,1.543770,,,,,,
80797,,,,,,,,,,,,,,,,,,,,,,,-0.061549,-0.024705,1.013332,0.910000,-3.360000,-8.890000
80803,,,,,,,,,,,,,,,,,,,,,,,-0.061549,-0.024705,1.013576,1.330000,2.380000,-5.530000
80801,,,,,,,,,,,,,,,,,,,,0.994907,-0.011537,1.543721,,,,,,
80804,,,,,,,,,,,,,15.102255,14.129529,0.085787,0.099312,,,,,,,,,,,,
80813,,,,,,,,,,,,,,,,,,,,,,,-0.049288,-0.016775,1.013576,-0.700000,8.610000,-2.240000
80811,,,,,,,,,,,,,,,,,,,,0.994958,-0.009139,1.539912,,,,,,
80814,,,,,,,,,,,,,14.867706,14.049255,0.087360,0.099928,,,,,,,,,,,,
80823,,,,,,,,,,,,,,,,,,,,,,,-0.049288,-0.012993,0.992653,2.940000,7.770000,-0.700000
80820,,,,,,,,,,,,,,,,,,,,0.995054,-0.006692,1.539821,,,,,,
80824,,,,,,,,,,,,,15.299640,14.610995,0.084598,0.096364,,,,,,,,,,,,
80836,,,,,,,,,,,,,15.155931,14.576507,0.085574,0.096667,,,,,,,,,,,,
