ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
90695,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90699,,,,,,,,,,,,,,,,,,,,-0.511854,-1.006368,-0.027673,,,,,,
90704,,,,,,,,,,,,,,,,,,,,,,,-0.052216,-0.004819,1.016382,0.630000,0.280000,-0.140000
90705,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90706,,,,,,,,,,,,,,,,,,,,-0.511857,-1.006367,-0.027669,,,,,,
90713,,,,,,,,,,,,,,,,,,,,,,,-0.052460,-0.004636,1.017358,0.700000,0.280000,-0.280000
90715,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90716,,,,,,,,,,,,,,,,,,,,-0.511852,-1.006366,-0.027673,,,,,,
90724,,,,,,,,,,,,,,,,,,,,,,,-0.052460,-0.004636,1.016565,0.560000,0.070000,-0.210000
90725,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90727,,,,,,,,,,,,,,,,,,,,-0.511858,-1.006366,-0.027673,,,,,,
90734,,,,,,,,,,,,,,,,,,,,,,,-0.052460,-0.004148,1.016565,0.770000,0.280000,-0.280000
90735,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90737,,,,,,,,,,,,,,,,,,,,-0.511859,-1.006364,-0.027673,,,,,,
90744,,,,,,,,,,,,,,,,,,,,,,,-0.053192,-0.003965,1.017846,0.560000,0.000000,-0.280000
90745,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
90746,,,,-0.499734,-1.000000,0.000111,0.002007,0.000840,,,,,,,,,,,,,,,,,,,,
90748,,,,,,,,,,,4.972943,4.983948,,,,,0.011945,0.006698,0.027784,,,,,,,,,
90747,,,,,,,,,,,,,,,,,,,,-0.511851,-1.006364,-0.027673,,,,,,
