ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15010,,,,,,,,,,,,,,,,,,,,-0.500087,-1.003856,0.092532,0.002562,-0.007381,1.019310,-0.224000,-0.021000,-0.406000
15015,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15020,,,,,,,,,,,,,,,,,,,,-0.500165,-1.003680,0.091994,0.001098,-0.008296,1.021384,-0.861000,0.063000,0.875000
15025,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15030,,,,,,,,,,,,,,,,,,,,-0.500069,-1.003749,0.092616,0.001891,-0.003721,1.019188,0.567000,0.525000,-0.126000
15035,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15040,,,,,,,,,,,,,,,,,,,,-0.500112,-1.003767,0.091491,0.007625,-0.000732,1.020408,0.602000,-0.329000,-0.784000
15045,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
15050,,,,-0.499666,-1.000000,0.000106,0.002523,0.000800,,,,,,,,,,,,-0.500149,-1.003803,0.091141,0.006100,0.006405,1.014613,0.294000,0.224000,0.154000
15052,,,,,,,,,,,0.394531,0.384554,,,,,0.000827,0.003743,-0.091037,,,,,,,,,
15055,,,,,,,,,,,,,0.000000,0.000000,0.005602,0.005461,,,,,,,,,,,,
15060,,,,,,,,,,,,,,,,,,,,-0.500170,-1.003859,0.091646,0.012444,-0.006100,1.017114,0.595000,0.630000,0.574000
15065,,,,,,,,,,,,,0.000000,0.000000,0.005681,0.005538,,,,,,,,,,,,
15070,,,,,,,,,,,,,,,,,,,,-0.500126,-1.003667,0.092795,0.022753,-0.003965,1.016931,-0.119000,-0.154000,0.105000
15075,,,,,,,,,,,,,0.000000,0.000000,0.005760,0.005614,,,,,,,,,,,,
15080,,,,,,,,,,,,,,,,,,,,-0.499996,-1.003734,0.090371,0.013969,0.001464,1.027606,0.462000,-0.483000,0.049000
15085,,,,,,,,,,,,,0.000000,0.000000,0.005839,0.005691,,,,,,,,,,,,
