ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
26409,,,,,,,,,,,,,,,,,,,,,,,1.065914,-0.115534,1.141249,17.360001,0.630000,-59.919998
26414,,,,,,,,,,,,,,,,,,,,,,,1.065914,-0.115534,1.141249,7.560000,-0.630000,-59.639999
81708,,,,,,,,,,,,,,,,,,,,-0.489762,-1.023152,-0.030138,,,,,,
81718,,,,,,,,,,,,,,,,,,,,-0.489750,-1.023173,-0.030118,,,,,,
81727,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
81728,,,,,,,,,,,,,0.000000,0.000000,,,,,,-0.489759,-1.023155,-0.030138,,,,,,
81736,,,,,,,,,,,,,,,,,,,,,,,-0.042883,-0.002318,1.016443,0.700000,0.140000,-0.280000
81737,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.489761,-1.023155,-0.030138,,,,,,
81746,,,,,,,,,,,,,,,,,,,,,,,-0.042883,-0.003233,1.017053,0.630000,0.140000,-0.280000
81747,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81748,,,,,,,,,,,,,,,,,,,,-0.489758,-1.023164,-0.030118,,,,,,
81756,,,,,,,,,,,,,,,,,,,,,,,-0.042883,-0.003233,1.017053,0.630000,0.140000,-0.280000
81757,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81758,,,,,,,,,,,,,,,,,,,,-0.489745,-1.023169,-0.030118,,,,,,
81766,,,,,,,,,,,,,,,,,,,,,,,-0.043005,-0.002013,1.016077,0.700000,0.140000,-0.350000
81767,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81768,,,,,,,,,,,,,,,,,,,,-0.489744,-1.023169,-0.030118,,,,,,
81776,,,,,,,,,,,,,,,,,,,,,,,-0.043005,-0.002013,1.017236,0.630000,0.140000,-0.350000
81777,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81778,,,,,,,,,,,,,,,,,,,,-0.489740,-1.023154,-0.030118,,,,,,
81786,,,,,,,,,,,,,,,,,,,,,,,-0.043066,-0.002074,1.017236,0.700000,0.140000,-0.280000
81787,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81788,,,,,,,,,,,,,,,,,,,,-0.489753,-1.023150,-0.030138,,,,,,
81796,,,,,,,,,,,,,,,,,,,,,,,-0.042822,-0.002501,1.016687,0.630000,0.210000,-0.350000
81797,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81798,,,,,,,,,,,,,,,,,,,,-0.489740,-1.023171,-0.030118,,,,,,
81806,,,,,,,,,,,,,,,,,,,,,,,-0.042822,-0.002501,1.016687,0.630000,0.140000,-0.280000
81807,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81816,,,,,,,,,,,,,,,,,,,,,,,-0.042639,-0.002745,1.016260,0.770000,0.210000,-0.350000
81817,,,,,,,,,,,,,,,0.000000,0.000000,,,,,,,,,,,,
81818,,,,,,,,,,,,,0.000000,0.000000,,,,,,-0.489757,-1.023150,-0.030138,,,,,,
81826,,,,,,,,,,,,,,,,,,,,,,,-0.042639,-0.002745,1.016260,0.700000,0.280000,-0.350000
81827,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81828,,,,,,,,,,,,,,,,,,,,-0.489747,-1.023170,-0.030118,,,,,,
81835,,,,,,,,,,,,,,,,,,,,,,,-0.043920,-0.001830,1.017785,0.770000,0.000000,-0.350000
81837,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81838,,,,,,,,,,,,,,,,,,,,-0.489757,-1.023152,-0.030138,,,,,,
81845,,,,,,,,,,,,,,,,,,,,,,,-0.043920,-0.001830,1.017785,0.700000,0.280000,-0.350000
81847,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81848,,,,,,,,,,,,,,,,,,,,-0.489748,-1.023151,-0.030118,,,,,,
81855,,,,,,,,,,,,,,,,,,,,,,,-0.044347,-0.002806,1.016870,0.630000,0.210000,-0.350000
81857,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.489745,-1.023156,-0.030138,,,,,,
81865,,,,,,,,,,,,,,,,,,,,,,,-0.044347,-0.002806,1.016870,0.700000,0.140000,-0.350000
81867,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81868,,,,,,,,,,,,,,,,,,,,-0.489753,-1.023152,-0.030138,,,,,,
81876,,,,,,,,,,,,,,,,,,,,,,,-0.043859,-0.002440,1.017480,0.630000,0.210000,-0.350000
81877,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81878,,,,,,,,,,,,,,,,,,,,-0.489757,-1.023155,-0.030138,,,,,,
81885,,,,,,,,,,,,,,,,,,,,,,,-0.043859,-0.002440,1.017480,0.700000,0.140000,-0.350000
81887,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,-0.489742,-1.023170,-0.030118,,,,,,
81896,,,,,,,,,,,,,,,,,,,,,,,-0.044103,-0.002745,1.017541,0.630000,0.210000,-0.280000
81897,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81898,,,,,,,,,,,,,,,,,,,,-0.489742,-1.023158,-0.030118,,,,,,
81905,,,,,,,,,,,,,,,,,,,,,,,-0.044103,-0.002745,1.017541,0.700000,0.000000,-0.350000
81907,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81908,,,,,,,,,,,,,,,,,,,,-0.489745,-1.023160,-0.030138,,,,,,
81915,,,,,,,,,,,,,,,,,,,,,,,-0.043371,-0.001952,1.017663,0.630000,0.350000,-0.280000
81917,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81918,,,,,,,,,,,,,,,,,,,,-0.489758,-1.023170,-0.030138,,,,,,
81925,,,,,,,,,,,,,,,,,,,,,,,-0.043371,-0.001952,1.017663,0.700000,0.070000,-0.350000
81927,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81928,,,,,,,,,,,,,,,,,,,,-0.489744,-1.023156,-0.030138,,,,,,
81935,,,,,,,,,,,,,,,,,,,,,,,-0.043859,-0.002501,1.017175,0.700000,0.280000,-0.280000
81937,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81938,,,,,,,,,,,,,,,,,,,,-0.489755,-1.023167,-0.030118,,,,,,
81945,,,,,,,,,,,,,,,,,,,,,,,-0.043859,-0.002501,1.017175,0.700000,0.140000,-0.350000
81947,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81948,,,,,,,,,,,,,,,,,,,,-0.489743,-1.023171,-0.030118,,,,,,
81955,,,,,,,,,,,,,,,,,,,,,,,-0.043066,-0.002074,1.017419,0.630000,0.210000,-0.280000
81957,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81958,,,,,,,,,,,,,,,,,,,,-0.489753,-1.023157,-0.030138,,,,,,
81965,,,,,,,,,,,,,,,,,,,,,,,-0.043066,-0.002074,1.017419,0.700000,0.210000,-0.280000
81967,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81968,,,,,,,,,,,,,,,,,,,,-0.489743,-1.023165,-0.030118,,,,,,
81976,,,,,,,,,,,,,,,,,,,,,,,-0.043066,-0.002135,1.016870,0.630000,0.140000,-0.280000
81977,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
81979,,,,,,,,,,,,,,,,,,,,-0.489738,-1.023151,-0.030118,,,,,,
81985,,,,,,,,,,,,,,,,,,,,,,,-0.043066,-0.002135,1.017846,0.630000,-0.070000,-0.350000
81987,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
