ts,x,y,yaw,x_des,y_des,yaw_des,v_ff,w_ff,v_actual,w_actual,omega_l_cmd,omega_r_cmd,omega_l_meas,omega_r_meas,duty_l,duty_r,x_err,y_err,yaw_err,x_raw,y_raw,yaw_raw,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
31358,,,,,,,,,,,,,,,,,,,,,,,-0.048800,-0.011895,1.022116,1.400000,-4.620000,1.260000
31363,,,,,,,,,,,,,,,,,,,,,,,-0.017446,-0.011041,1.019005,1.610000,-3.080000,-1.890000
61513,,,,,,,,,,,,,,,,,,,,-0.002547,-0.031122,-0.022070,,,,,,
61523,,,,,,,,,,,,,,,,,,,,-0.002547,-0.031120,-0.022070,,,,,,
61532,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61541,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.008235,1.017480,0.770000,0.140000,-0.280000
61542,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61544,,,,,,,,,,,,,,,,,,,,-0.002543,-0.031118,-0.022070,,,,,,
61551,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.008235,1.017480,0.770000,0.140000,-0.210000
61552,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61554,,,,,,,,,,,,,,,,,,,,-0.002541,-0.031123,-0.022070,,,,,,
61560,,,,,,,,,,,,,,,,,,,,,,,-0.032208,-0.008601,1.018090,0.700000,0.140000,-0.280000
61562,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61564,,,,,,,,,,,,,,,,,,,,-0.002541,-0.031129,-0.022070,,,,,,
61571,,,,,,,,,,,,,,,,,,,,,,,-0.032208,-0.008601,1.018090,0.700000,0.280000,-0.210000
61572,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61574,,,,,,,,,,,,,,,,,,,,-0.002544,-0.031117,-0.022070,,,,,,
61581,,,,,,,,,,,,,,,,,,,,,,,-0.031720,-0.007625,1.018151,0.700000,0.140000,-0.280000
61582,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61585,,,,,,,,,,,,,,,,,,,,-0.002546,-0.031113,-0.022109,,,,,,
61592,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61594,,,,,,,,,,,,,,,,,,,,,,,-0.032452,-0.008113,1.018029,0.770000,0.140000,-0.280000
61595,,,,,,,,,,,,,,,,,,,,-0.002546,-0.031121,-0.022070,,,,,,
61601,,,,,,,,,,,,,,,,,,,,,,,-0.032452,-0.008113,1.018029,0.700000,0.070000,-0.280000
61602,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61603,,,,,,,,,,,,,,,,,,,,-0.002544,-0.031129,-0.022070,,,,,,
61610,,,,,,,,,,,,,,,,,,,,,,,-0.033367,-0.007686,1.019127,0.700000,0.280000,-0.280000
61612,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61614,,,,,,,,,,,,,,,,,,,,-0.002541,-0.031119,-0.022070,,,,,,
61621,,,,,,,,,,,,,,,,,,,,,,,-0.033367,-0.007686,1.019127,0.770000,0.140000,-0.210000
61622,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61624,,,,,,,,,,,,,,,,,,,,-0.002542,-0.031118,-0.022070,,,,,,
61631,,,,,,,,,,,,,,,,,,,,,,,-0.033184,-0.007930,1.019371,0.700000,0.070000,-0.280000
61632,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61634,,,,,,,,,,,,,,,,,,,,-0.002547,-0.031124,-0.022070,,,,,,
61641,,,,,,,,,,,,,,,,,,,,,,,-0.033184,-0.007930,1.019371,0.770000,0.210000,-0.280000
61642,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61645,,,,,,,,,,,,,,,,,,,,-0.002540,-0.031116,-0.022070,,,,,,
61652,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61654,,,,,,,,,,,,,,,,,,,,,,,-0.032330,-0.007869,1.018029,0.630000,0.140000,-0.280000
61655,,,,,,,,,,,,,,,,,,,,-0.002544,-0.031109,-0.022109,,,,,,
61661,,,,,,,,,,,,,,,,,,,,,,,-0.032330,-0.007869,1.018029,0.770000,0.070000,-0.210000
61662,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61665,,,,,,,,,,,,,,,,,,,,-0.002545,-0.031119,-0.022070,,,,,,
61671,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.008296,1.017968,0.630000,0.210000,-0.210000
61672,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61676,,,,,,,,,,,,,,,,,,,,-0.002549,-0.031118,-0.022109,,,,,,
61681,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.008296,1.017968,0.770000,0.140000,-0.280000
61682,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61686,,,,,,,,,,,,,,,,,,,,-0.002542,-0.031124,-0.022070,,,,,,
61691,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.007259,1.017907,0.700000,0.210000,-0.280000
61692,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61694,,,,,,,,,,,,,,,,,,,,-0.002534,-0.031113,-0.022109,,,,,,
61700,,,,,,,,,,,,,,,,,,,,,,,-0.032025,-0.007259,1.017907,0.700000,0.140000,-0.350000
61702,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
61704,,,,,,,,,,,,,,,,,,,,-0.002539,-0.031122,-0.022070,,,,,,
61712,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,
