order,trajectory_path,trajectory_final_loss,wheel_radius_bias_mm,base_diameter_bias_mm,average_abs_geometry_bias_mm,wheel_radius_std_mm,base_diameter_std_mm,average_geometry_std_mm,mean_geometry_loss,mean_motor_loss
2,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_02/bezier_order_02.pkl,0.16506293416023254,-0.019332394003868103,5.079247057437897,2.5492897257208824,0.06550230464460641,10.520118629141972,5.29281046689329,0.039683498442173004,0.11117307841777802
3,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_03/bezier_order_03.pkl,0.06759808957576752,-0.01804344356060028,1.5196725726127625,0.7688580080866814,0.06352999936164425,7.454540954881663,3.7590354771216536,0.03650585934519768,0.11076750606298447
4,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_04/bezier_order_04.pkl,0.05726005136966705,-0.017648562788963318,1.0665804147720337,0.5421144887804985,0.07177766999983222,6.641547887498573,3.356662778749203,0.038267627358436584,0.13054369390010834
5,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_05/bezier_order_05.pkl,0.04188847541809082,-0.01819990575313568,0.9552091360092163,0.486704520881176,0.0653066437686361,6.576968442284812,3.3211375430267243,0.03572896122932434,0.11701588332653046
6,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_06/bezier_order_06.pkl,0.040087081491947174,-0.018345192074775696,1.4454275369644165,0.7318863645195961,0.0661281635530255,6.253671755011657,3.1598999592823414,0.03667157143354416,0.11615543812513351
7,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_07/bezier_order_07.pkl,0.037374116480350494,-0.01837126910686493,1.3377070426940918,0.6780391559004784,0.06510635702654377,5.830115537028187,2.9476109470273655,0.0367501862347126,0.11265873163938522
8,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_08/bezier_order_08.pkl,0.03492347151041031,-0.018455088138580322,1.25972181558609,0.6390884518623352,0.06425978867952689,5.6138033572428165,2.8390315729611717,0.03681911155581474,0.10942833125591278
9,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_09/bezier_order_09.pkl,0.03337708115577698,-0.018388032913208008,1.2347400188446045,0.6265640258789062,0.06479519060383443,5.499326871526892,2.7820610310653633,0.036991722881793976,0.11073079705238342
10,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_10/bezier_order_10.pkl,0.031456392258405685,-0.01841038465499878,1.2320131063461304,0.6252117455005646,0.06385603631657172,5.577602375745133,2.8207292060308524,0.03669197857379913,0.10820915549993515
11,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_11/bezier_order_11.pkl,0.03034159168601036,-0.018088147044181824,1.2272149324417114,0.6226515397429466,0.06596534188779318,5.422282033955248,2.7441236879215207,0.03728918731212616,0.11339603364467621
12,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_12/bezier_order_12.pkl,0.03874759376049042,-0.016713514924049377,1.551508903503418,0.7841112092137337,0.07005420520126536,8.38724588995999,4.2286500475806275,0.03582865372300148,0.12298478186130524
13,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_13/bezier_order_13.pkl,0.03780881687998772,-0.01679733395576477,1.5692636370658875,0.7930304855108261,0.07045750888430793,8.240080314498295,4.1552689116913015,0.03623998910188675,0.12360122799873352
14,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_14/bezier_order_14.pkl,0.043872978538274765,-0.01567043364048004,1.8373951315879822,0.9265327826142311,0.07232078060950034,8.850305653462739,4.461313217036119,0.036282118409872055,0.13269534707069397
15,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_15/bezier_order_15.pkl,0.06274160742759705,-0.015094876289367676,2.7645379304885864,1.389816403388977,0.07374853095595876,11.001384206801148,5.5375663688785535,0.03632831573486328,0.13759927451610565
16,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_16/bezier_order_16.pkl,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_17/bezier_order_17.pkl,0.03222839534282684,-0.017004087567329407,1.6944259405136108,0.8557150140404701,0.0721987663171052,8.13682393371976,4.104511350018433,0.036563675850629807,0.12759235501289368
18,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_18/bezier_order_18.pkl,0.03114566020667553,-0.017022714018821716,1.6883686184883118,0.8526956662535667,0.07272854854505603,8.116226766085713,4.094477657315385,0.03662246838212013,0.12865951657295227
19,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_19/bezier_order_19.pkl,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,visualize/analysis_outputs/bezier_order_bootstrap_sweep/order_20/bezier_order_20.pkl,nan,nan,nan,nan,nan,nan,nan,nan,nan
